File Name,Ediast (mV),Peak (mV),APA (mV),dV/dt max y (V/s),Negative dV/dt max y (V/s),RR (ms),Frequency (Hz),SD1,SD2,SD1_SD2 Ratio,APD 20 (ms),APD 50 (ms),APD 90 (ms),Folder,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5
C1 2019_04_23_0000 Iso 100nM,-64.43562164,22.27373962,86.70936127,50.71424179,,,8.1,,,,18.27458305,33.92687454,51.75497665,MM_SAN_CTRL_100nM.ISO_Spont,MM,SAN,CTRL,100nM.ISO,Spont
C1 2019_04_30_0000 Iso 100nM,-65.81561584,22.55773926,88.3733551,68.07492218,,,6.3,,,,14.3546463,34.2753212,63.16971359,MM_SAN_CTRL_100nM.ISO_Spont,MM,SAN,CTRL,100nM.ISO,Spont
C1 2019_05_15_0000 Iso 100nM,-76.3205719,10.45305176,86.77362366,34.99610138,,,8.45,,,,18.40773697,38.28892136,53.19953232,MM_SAN_CTRL_100nM.ISO_Spont,MM,SAN,CTRL,100nM.ISO,Spont
C1 2019_06_06_0000 Iso 100nM,-77.20677795,31.04511261,108.2518906,141.9859039,,,5.733333333,,,,21.04286766,47.19651947,69.32435455,MM_SAN_CTRL_100nM.ISO_Spont,MM,SAN,CTRL,100nM.ISO,Spont
C1 2019_06_14_0000 Iso 100nM,-61.16942978,38.96125565,100.1306854,141.9117493,,,7.9,,,,16.97325745,35.98823929,52.43752823,MM_SAN_CTRL_100nM.ISO_Spont,MM,SAN,CTRL,100nM.ISO,Spont
C1 2019_07_03_0000 Iso 100nM,-58.49608994,24.1189827,82.61507263,14.89149036,,,7.116666667,,,,14.08233986,26.32412491,41.37573853,MM_SAN_CTRL_100nM.ISO_Spont,MM,SAN,CTRL,100nM.ISO,Spont
C2 2019_05_16_0001 Iso 100nM,-60.77002716,22.30536957,83.07539673,28.55741425,,,7.2,,,,13.82617722,29.75690842,48.35280075,MM_SAN_CTRL_100nM.ISO_Spont,MM,SAN,CTRL,100nM.ISO,Spont
C2 2019_06_03_0001 Iso 100nM,-76.68112335,24.65589447,101.3370178,60.78906231,,,5.8,,,,11.10641918,29.44901962,54.97165833,MM_SAN_CTRL_100nM.ISO_Spont,MM,SAN,CTRL,100nM.ISO,Spont
C3 2019_05_31_0003 Iso 100nM,-63.15924301,12.31747971,75.47672272,6.101072216,,,7.133333333,,,,16.39600315,31.05014839,55.85873489,MM_SAN_CTRL_100nM.ISO_Spont,MM,SAN,CTRL,100nM.ISO,Spont
C3 2019_06_03_0002 Iso 100nM,-63.41546021,18.82030029,82.2357605,30.98225746,,,6.95,,,,14.77515125,28.87082443,50.79894257,MM_SAN_CTRL_100nM.ISO_Spont,MM,SAN,CTRL,100nM.ISO,Spont
C3 2019_06_14_0002 Iso 100nM,-64.73387909,31.90305634,96.63693542,102.4509689,,,9.6,,,,13.58575745,27.70258789,39.96855621,MM_SAN_CTRL_100nM.ISO_Spont,MM,SAN,CTRL,100nM.ISO,Spont
C6 2019_05_27_0005 Iso 100nM,-61.07180176,9.764833069,70.83663483,12.11516552,,,6.7,,,,24.13231392,43.36985321,69.89454803,MM_SAN_CTRL_100nM.ISO_Spont,MM,SAN,CTRL,100nM.ISO,Spont
C1 2019_04_23_0000 Tyr,-64.13573608,13.22158661,77.35732269,47.19630585,,,4.383333333,,,,17.24302626,33.47223969,63.42507858,MM_SAN_CTRL_Tyr_Spont,MM,SAN,CTRL,Tyr,Spont
C1 2019_04_30_0000 Tyr,-64.1248558,16.14197006,80.26682587,45.38158722,,,3.9,,,,13.96354542,31.47974243,67.4144989,MM_SAN_CTRL_Tyr_Spont,MM,SAN,CTRL,Tyr,Spont
C1 2019_05_15_0000 Tyr,-72.83422546,10.59057617,83.42480164,40.10628052,,,3.35,,,,17.2884079,35.43579865,56.07447052,MM_SAN_CTRL_Tyr_Spont,MM,SAN,CTRL,Tyr,Spont
C1 2019_06_06_0000 Tyr,-67.88205566,27.56647949,95.44853516,89.75263824,,,3.066666667,,,,16.531147,42.43214493,75.97262421,MM_SAN_CTRL_Tyr_Spont,MM,SAN,CTRL,Tyr,Spont
C1 2019_06_14_0000 Tyr,-53.0151329,30.23732834,83.25246124,63.84623337,,,2.9,,,,13.00805435,28.84561844,48.68844147,MM_SAN_CTRL_Tyr_Spont,MM,SAN,CTRL,Tyr,Spont
C1 2019_07_03_0000 Tyr,-48.48632431,7.810219574,56.29654388,7.590865326,,,5.5,,,,11.954282,22.80096931,43.10753708,MM_SAN_CTRL_Tyr_Spont,MM,SAN,CTRL,Tyr,Spont
C2 2019_05_16_0001 Tyr,-52.21858826,8.060961914,60.27955017,13.35396385,,,5,,,,12.01079655,26.05653419,53.83849792,MM_SAN_CTRL_Tyr_Spont,MM,SAN,CTRL,Tyr,Spont
C2 2019_06_03_0001 Tyr,-71.30082245,8.960879517,80.26170197,24.70380516,,,2.533333333,,,,7.82100029,19.89806976,53.07834702,MM_SAN_CTRL_Tyr_Spont,MM,SAN,CTRL,Tyr,Spont
C3 2019_05_31_0003 Tyrode,-56.59345703,-3.313452911,53.28000412,1.811824226,,,3.833333333,,,,13.18921432,25.48059235,58.43613205,MM_SAN_CTRL_Tyr_Spont,MM,SAN,CTRL,Tyr,Spont
C3 2019_06_03_0002 Tyr,-55.63496246,4.456164551,60.09112701,9.498681641,,,3.2,,,,12.36558132,25.91955338,53.39483414,MM_SAN_CTRL_Tyr_Spont,MM,SAN,CTRL,Tyr,Spont
C3 2019_06_14_0002 Tyr,-61.07177353,33.5672142,94.63898773,112.9901871,,,3,,,,8.824460983,23.99909439,39.56528931,MM_SAN_CTRL_Tyr_Spont,MM,SAN,CTRL,Tyr,Spont
C6 2019_05_27_0005 Tyr,-65.21921539,7.491572571,72.71078796,13.0073988,,,4,,,,13.96354542,31.47974243,67.4144989,MM_SAN_CTRL_Tyr_Spont,MM,SAN,CTRL,Tyr,Spont
