"File Name","Folder","Parameter","Operator","Value"
"1","C1 2019_04_23_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","Peak (mV)","Value",1.13333225264196
"2","C3 2019_05_31_0003 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","Peak (mV)","Value",0.86169769868773
"3","C3 2019_06_03_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","Peak (mV)","Value",1.13448061758141
"4","C6 2019_05_27_0005 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","Peak (mV)","Value",0.883906215483403
"5","C1 2019_04_23_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","Peak (mV)","Value",0.795821068750061
"6","C1 2019_05_15_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","Peak (mV)","Value",0.827843573016868
"7","C2 2019_05_16_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","Peak (mV)","Value",0.823384120101951
"8","C3 2019_06_03_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","Peak (mV)","Value",0.873323040001634
"9","C6 2019_05_27_0005 Tyr","MM_SAN_CTRL_Tyr_Spont","Peak (mV)","Value",0.8767280357376
"10","C1 2019_04_23_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","dV/dt max y (V/s)","Value",1.23646174412134
"11","C1 2019_04_30_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","dV/dt max y (V/s)","Value",0.796671124843535
"12","C1 2019_05_15_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","dV/dt max y (V/s)","Value",0.805303546368303
"13","C1 2019_06_06_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","dV/dt max y (V/s)","Value",0.778546617400694
"14","C1 2019_07_03_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","dV/dt max y (V/s)","Value",0.892617724601216
"15","C2 2019_06_03_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","dV/dt max y (V/s)","Value",0.730538928837817
"16","C3 2019_05_31_0003 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","dV/dt max y (V/s)","Value",0.576692129221039
"17","C3 2019_06_03_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","dV/dt max y (V/s)","Value",1.20860311004108
"18","C3 2019_06_14_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","dV/dt max y (V/s)","Value",1.1403239245922
"19","C6 2019_05_27_0005 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","dV/dt max y (V/s)","Value",0.360899767053486
"20","C1 2019_04_23_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","dV/dt max y (V/s)","Value",0.776369851498218
"21","C1 2019_05_15_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","dV/dt max y (V/s)","Value",0.779611711908408
"22","C2 2019_05_16_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","dV/dt max y (V/s)","Value",0.754453315870783
"23","C3 2019_05_31_0003 Tyrode","MM_SAN_CTRL_Tyr_Spont","dV/dt max y (V/s)","Value",0.240688606367856
"24","C3 2019_06_03_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","dV/dt max y (V/s)","Value",0.801018235326729
"25","C6 2019_05_27_0005 Tyr","MM_SAN_CTRL_Tyr_Spont","dV/dt max y (V/s)","Value",0.490160410453027
"26","C1 2019_05_15_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","Frequency (Hz)","Value",1.3961125
"27","C1 2019_06_06_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","Frequency (Hz)","Value",0.827448000089941
"28","C2 2019_06_03_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","Frequency (Hz)","Value",1.12003733318596
"29","C3 2019_05_31_0003 Tyrode","MM_SAN_CTRL_Tyr_Spont","Frequency (Hz)","Value",1.10296499990409
"30","C3 2019_06_03_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","Frequency (Hz)","Value",0.714783999999999
"31","C3 2019_06_14_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","Frequency (Hz)","Value",0.84306
"32","C6 2019_05_27_0005 Tyr","MM_SAN_CTRL_Tyr_Spont","APD 20 (ms)","Value",0.595460359061844
"33","C6 2019_05_27_0005 Tyr","MM_SAN_CTRL_Tyr_Spont","APD 50 (ms)","Value",0.734992818818587
