File Name,Ediast (mV),Peak (mV),APA (mV),dV/dt max y (V/s),Negative dV/dt max y (V/s),SD1,APD 20 (ms),APD 50 (ms),APD 90 (ms),Folder,Condition 1,Condition 2,Condition 3,Condition 4
18711000,-74.2785,,136.028,182.666,,0.22569645,,6.69624,27.8782,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18711005,-69.9125,,143.688,232.582,,0.282645837,,4.61267,25.1481,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18711019,-75.2885,,124.013,333.4186656,,0.281698876,,4.5521,31.7769,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18711023,-74.6898,,137.74,207.999,,0.251382164,,1.14119,18.3383,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18711027,-78.2929,,128.976,384.582,,0.33376023,,6.00162,34.0649,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18711031,-70.3492,,123.599,367.165,,0.47123357,,6.10876,36.1262,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18712004,-76.0887,,129.705,364.501,,0.426316928,,11.8028,39.2311,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18712008,-74.768,,142.268,361.333,,0.008938743,,11.6512,37.621,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18712010,-78.3356,,137.886,363.165,,0.249154461,,3.46985,19.3777,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18712017,-74.1417,,127.984,342.504,,0.387368933,,6.17701,36.5489,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18712021,-70.0113,,142.32,275.667,,0.359028848,,6.59118,29.3276,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18712026,-74.2148,,130.24,365.082,,0.416313974,,10.6455,29.8778,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18712032,-74.5803,,126.58,351.749,,0.653336495,,15.992,44.7157,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18712036,-72.057,,150.107,290.582,,0.426199026,,9.85466,35.9171,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18712040,-74.7545,,133.446,365.832,,0.244956396,,5.20958,23.3545,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18712044,-72.321,,140.813,295.666,,0.429838773,,7.7646,36.1064,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18713000,-76.6944,,139.053,493.338,,0.199387463,,7.60022,22.799,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18713004,-73.1432,,136.393,428.169,,,,,,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18713008,-77.4991,,140.141,482.581,,0.307400775,,11.3564,26.038,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18713012,-76.2562,,140.023,449.3344777,,0.210641226,,3.49945,20.571,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18713017,-78.3213,,139.488,455.415,,0.702481178,,4.20636,35.2928,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18713021,-76.4444,,153.561,329.169,,0.6832516,,3.37546,31.8137,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18713025,-81.3365,,141.136,398.916,,0.233429717,,4.01231,24.1097,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18716001,-81.057,,130.982,389.332,,0.62024838,,6.76467,34.8005,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18716005,-84.4698,,140.003,365.999,,0.151398006,,4.29037,17.6667,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18716009,-77.726,,150.734,456.415,,0.331516256,,5.27563,27.4724,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18716016,-77.7724,,137.331,420.582,,0.292897604,,5.17511,28.8336,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18716020,-87.4926,,147.484,365.999,,0.111298961,,3.70556,18.1765,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18716023,-82.6521,,145.827,344.499,,0.388677824,,3.82651,27.124,RN_CTR_1Hz,RN,CTR,DMSO,1Hz
18711001,-77.2845,,138.934,200.8338242,,0.383572869,,7.12511,29.3996,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18711006,-69.8261,,140.926,196.334,,0.173398653,,5.40844,28.2002,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18711020,-78.5851,,129.168,351.833,,0.262337852,,4.59507,28.3228,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18711024,-76.0623,,139.129,205.001,,0.21763313,,1.2825,18.3643,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18711028,-78.1761,,127.718,359.169,,0.341625442,,6.7728,36.5635,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18711032,-73.7193,,126.403,364.915,,0.39887037,,6.46689,34.444,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18712005,-75.5255,,133.725,324.001,,0.553888845,,13.2921,44.824,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18712011,-79.2927,,140.576,344.082,,0.241752287,,3.49363,19.6966,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18712018,-75.4258,,129.434,331.834,,0.29166952,,6.45231,36.3849,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18712022,-71.3898,,133.998,293.501,,0.311226266,,8.33257,30.7587,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18712027,-74.5167,,130.833,362.499,,0.233625026,,9.94727,27.268,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18712033,-75.8716,,128.946,391.832,,0.570814491,,17.7052,43.6771,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18712037,-72.7058,,148.831,288.75,,0.358855365,,10.0368,36.988,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18712041,-74.5268,,135.418,357.832,,0.490914723,,5.29142,24.533,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18713001,-76.7839,,147.867,351.582,,0.189773739,,7.49426,24.8956,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18713005,-73.6079,,141.825,378.666,,,,,,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18713009,-77.7577,,141.974,452.665,,0.266030167,,12.865,29.9566,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18713013,-76.3753,,140.15,434.998,,0.191557089,,3.71335,21.5966,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18713018,-79.6081,,142.866,446.415,,0.640634319,,4.00245,32.8476,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18713022,-79.2736,,152.174,344.915,,0.617819724,,3.67579,32.5359,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18713026,-83.2597,,142.585,379.585,,0.275777084,,4.12458,25.4397,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18716002,-81.7214,,128.605,421.248,,0.557043744,,7.01512,34.9177,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18716006,-81.2868,,137.954,391.332,,0.105973745,,4.76111,18.9,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18716010,-77.5642,,149.164,443.336,,0.36925529,,5.4407,28.3455,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18716017,-77.7657,,139.474,399.082,,0.293024645,,5.33785,28.7575,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18716021,-89.1698,,151.536,319.415,,0.165134962,,3.96078,19.7761,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18716024,-83.1375,,146.637,251.332,,0.412340172,,3.89297,27.959,RN_CTR_2Hz,RN,CTR,DMSO,2Hz
18711002,-79.9289,,143.837,264.2491913,,0.268889376,,7.26225,30.3079,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18711007,-73.5288,,130.854,323.834,,0.262960601,,8.1956,35.6138,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18711021,-78.548,,127.731,340.3325755,,0.218656955,,4.42911,26.7881,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18711025,-77.7125,,140.837,222.582,,0.234928971,,1.50552,20.6104,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18711029,-78.2247,,126.408,352.334,,0.275309183,,7.23233,38.0719,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18711033,-77.2944,,126.211,369.9157766,,0.313903492,,6.88434,32.0282,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18712012,-80.1794,,142.679,306.417,,0.161454952,,3.47527,20.7769,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18712019,-77.3926,,134.051,307.1654714,,0.299094681,,6.1214,34.655,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18712028,-75.2308,,137.322,347.1675415,,0.247415187,,10.3655,28.792,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18712038,-73.8173,,144.684,309.082,,0.391536284,,11.574,40.8929,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18713002,-78.7412,,136.875,415.6670888,,0.210950769,,9.541,28.266,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18713010,-78.7344,,140.918,426.0836589,,0.300936083,,13.1461,31.1445,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18713014,-76.8518,,140.493,417.25,,0.210162808,,3.88408,23.0465,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18713019,-82.5299,,145.905,417.582,,0.462505007,,3.87691,31.0358,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18713023,-78.7774,,138.027,336.7503001,,,,4.18886,38.864,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18713027,-85.1561,,140.349,351.0003052,,0.264744556,,4.66803,29.1667,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18716003,-83.6409,,127.216,373.0836639,,0.427715646,,6.89993,30.2486,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18716007,-83.2056,,140.756,370.75,,0.107924495,,4.94314,19.6744,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18716011,-75.8125,,147.037,423.4170532,,0.365312178,,5.685,30.3816,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18716018,-78.888,,137.013,386.082,,0.260928619,,6.11767,31.0341,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18716022,-90.3137,,150.922,305.9164632,,0.408565521,,4.44853,22.7279,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18716025,-84.4176,,148.143,267.3329366,,0.298241262,,4.22825,29.9029,RN_CTR_4Hz,RN,CTR,DMSO,4Hz
18711003_errore_dvdtmax,-82.0375,,144.229,264.916,,0.221743218,,7.38318,31.7989,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18711008,-73.5972,,135.355,230.834,,0.236310441,,7.59881,34.1182,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18711022,-77.1432,,120.243,252.501,,0.18732497,,4.36275,25.7022,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18711026,-79.1917,,137.292,219,,0.213644744,,2.09906,22.1406,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18711030,-80.3136,,127.072,352.499,,0.211815685,,6.8529,35.8736,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18711034,-78.824,,115.057,341.666,,0.374355173,,7.81378,33.6771,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18712013,-81.6806,,143.072,279.832,,0.183227765,,3.32079,21.179,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18712020,-79.8477,,124.623,334.166,,0.165168915,,7.26484,34.0205,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18712031,-76.0792,,138.287,318.5,,0.23102209,,11.3089,31.6654,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18712039,-74.6319,,142.007,306.917,,0.31981017,,12.7395,43.0875,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18713003,-79.1121,,127.837,460.833,,0.193884158,,10.8725,32.032,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18713011,-77.5767,,140.868,370.332,,0.274103078,,13.0758,36.4426,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18713015,-75.7713,,136.238,397,,0.250612097,,4.1224,26.1208,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18713020,-84.4986,,155.307,359.834,,0.369912112,,2.74807,28.6579,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18713028,-87.006,,139.696,354.084,,0.236193698,,4.83018,30.0115,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18716004,-84.6219,,125.797,371.5,,0.306937105,,6.54116,31.0793,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18716008,-84.7594,,141.442,347.083,,0.125208147,,4.93605,20.3468,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18716012,-74.384,,145.042,401.834,,0.422199212,,5.99832,35.9184,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18716019,-78.8635,,132.047,357.833,,0.269404978,,6.73495,32.0339,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18716026,-84.5434,,145.852,266.167,,0.362781012,,4.70379,34.015,RN_CTR_7.1Hz,RN,CTR,DMSO,7.1Hz
18703008,-78.4518,,103.602,86.835,,1.76488909,,65.1509,118.458,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18703012,-69.789,,123.256,188.67,,0.979235462,,50.9306,83.2258,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18703016,-72.2719,,89.272,97.50047429,,0.230663713,,10.0674,29.4789,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18703019,-78.3992,,131.391,324.6654104,,1.568458629,,38.1874,84.521,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18703024,-76.1183,,139.643,302.249,,0.422739047,,8.87787,35.778,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18703028,-76.5095,,107.977,215.582,,0.36182344,,5.67235,29.4647,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18703032,-76.9796,,138.18,347.625,,0.585616397,,15.5921,40.3862,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18703036,-78.7439,,132.114,346.502,,1.639354957,,29.8513,72.7607,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18704002,-73.5316,,129.119,207.249,,0.710603828,,10.188,47.0082,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18704006,-76.2593,,133.109,312.332,,0.714463718,,12.3897,39.774,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18704011,-75.8441,,130.611,350.582,,0.462474334,,6.74425,27.8387,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18704015,-76.2031,,135.553,328.584,,0.841855923,,31.0853,64.4163,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18704018,-75.6221,,127.18,318.249,,0.337559472,,16.7949,40.3594,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18704022,-70.1819,,129.582,381.832,,0.259738617,,8.4345,24.5494,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18704025,-71.1714,,129.255,400.665,,0.455252311,,12.3513,29.654,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18710000,-75.4048,,129.13,251.082,,2.473337087,,8.10998,70.2002,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18710002,-69.9804,,120.889,250.335,,1.443116185,,12.6609,63.2998,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18710006,-82.2556,,141.756,245.917,,0.655893368,,8.2529,40.73,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18710009,-80.5836,,130.559,378.915,,0.868209591,,11.4263,46.9629,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18710014,-73.62,,142.987,270.832,,1.173590406,,11.654,47.4151,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18710017,-65.3382,,128.355,283.582,,0.598223036,,5.94098,31.6299,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18710021,-78.2668,,118.842,247.082,,0.627455481,,7.50433,35.8559,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18710026,-79.3814,,126.673,365.499,,1.754688052,,27.7519,61.6192,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18710031,-81.8261,,127.884,358.334,,0.459258687,,14.1328,33.6296,RN_STZ_1Hz,RN,STZ,DMSO,1Hz
18703009,-78.6083,,100.642,58.166,,0.696746973,,67.9417,117.341,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18703013,-70.03,,124.33,166.834,,0.76837739,,49.61,81.8382,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18703017,-73.7423,,98.467,135.667,,0.128345173,,6.32264,22.6322,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18703020,-79.4337,,132.375,337.666,,0.815876459,,37.3522,70.2738,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18703025,-76.547,,139.539,299.252,,0.392011996,,9.69627,41.2574,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18703029,-76.5847,,102.468,185.333,,0.320761913,,5.83345,27.5091,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18703033,-76.4894,,138.964,300.335,,0.584629507,,18.9892,52.4342,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18703037,-78.6734,,132.448,316.084,,0.941592885,,35.4826,83.4246,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18704003,-73.5417,,127.4,196.833,,0.93373071,,11.6824,54.2836,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18704007,-77.1164,,143.508,283.666,,0.597615417,,11.9871,41.7287,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18704012,-75.1755,,133.742,306.083,,0.24418214,,7.02624,31.1113,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18704016,-75.2735,,134.757,302.416,,,,38.2745,77.9441,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18704019,-77.1093,,127.526,391.418,,0.24587563,,14.4812,33.1422,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18704023,-69.5222,,128.697,378.332,,0.153909951,,9.24974,25.6013,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18710001,-75.9837,,130.104,253.582,,2.007941923,,8.5431,79.3333,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18710003,-71.7101,,120.41,272.332,,0.823751064,,13.0894,61.0162,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18710007,-78.9776,,118.615,148.999,,0.731728792,,8.5607,60.257,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18710010,-81.7527,,129.378,374.249,,0.653742246,,12.7781,50.9653,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18710015,-73.1543,,142.038,267.666,,0.9230927,,13.4423,56.4005,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18710018,-64.9675,,131.017,275.334,,0.30873982,,6.01546,32.0278,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18710022,-80.4189,,121.986,258.833,,0.335328234,,8.42581,37.0544,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18710027,-81.8276,,125.636,360.166,,0.771953929,,32.5531,61.9284,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18710032,-83.292,,127.325,350.918,,0.29153264,,14.2866,33.1097,RN_STZ_2Hz,RN,STZ,DMSO,2Hz
18703010,-76.5646,,67.931,16.667,,1.620719219,,71.2734,111.364,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18703014,-70.7805,,123.047,156.667,,0.713146336,,40.0451,66.2213,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18703018,-73.253,,92.473,109.3,,0.219232423,,6.95136,23.8325,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18703021,-76.7508,,138.542,272.5840098,,0.997627475,,34.2919,68.9679,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18703026,-77.4006,,138.376,286.917,,0.442207232,,9.2907,40.5326,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18703030,-75.935,,95.394,168.4269358,,0.328338966,,5.05379,29.2198,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18703034,-78.0917,,140.092,316.6656799,,0.65870942,,16.7015,44.1604,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18703038,-75.0312,,117.565,221.7496694,,1.123819833,,32.4542,73.7051,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18704004,-76.0139,,134.514,198.4992269,,0.564539693,,11.1021,52.3167,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18704008,-76.7531,,135.87,264.2493896,,0.550417691,,11.1663,39.2938,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18704013,-75.8871,,138.187,255.1668981,,0.371192519,,6.29541,29.0197,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18704020,-76.1814,,125.465,340.1669922,,0.378310246,,17.5918,39.5777,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18704024,-68.3057,,127.439,368.4997508,,0.365957016,,12.5071,33.3757,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18710004,-74.9615,,122.06,280.9169108,,0.840558266,,12.4559,50.5571,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18710011,-82.4417,,133.508,331.917,,0.865813338,,10.9635,45.7782,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18710019,-64.8087,,130.75,258.332751,,0.359009947,,5.80179,29.8603,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18710023,-83.352,,123.635,259.4173101,,0.482673094,,8.22366,35.4432,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18710028,-83.4771,,120.852,331.7502899,,0.767417216,,28.7708,52.0884,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18710033,-85.2289,,125.221,342.5011139,,0.514245179,,12.178,30.9513,RN_STZ_4Hz,RN,STZ,DMSO,4Hz
18703015,-70.4816,,102.082,101.857,,0.737514141,,38.3905,70.1893,RN_STZ_7.1Hz,RN,STZ,DMSO,7.1Hz
18703022,-66.8017,,83.768,70.584,,2.122763356,,40.361,99.0163,RN_STZ_7.1Hz,RN,STZ,DMSO,7.1Hz
18703027,-78.1386,,133.222,257.333,,0.324720364,,8.77089,39.7927,RN_STZ_7.1Hz,RN,STZ,DMSO,7.1Hz
18703031,-75.1533,,82.593,99.8,,0.246828415,,7.86334,29.8309,RN_STZ_7.1Hz,RN,STZ,DMSO,7.1Hz
18703035,-77.3048,,135.638,257.083,,0.638917624,,18.5796,56.3432,RN_STZ_7.1Hz,RN,STZ,DMSO,7.1Hz
18703039,-75.6483,,108.198,176.667,,0.533183933,,33.5295,81.7038,RN_STZ_7.1Hz,RN,STZ,DMSO,7.1Hz
18704005,-74.9683,,120.918,143.417,,0.371265312,,10.6602,47.9925,RN_STZ_7.1Hz,RN,STZ,DMSO,7.1Hz
18704014,-71.89,,125.365,191.334,,0.376803803,,5.56817,32.5842,RN_STZ_7.1Hz,RN,STZ,DMSO,7.1Hz
18704021,-75.9575,,119.374,340.584,,0.26384439,,15.8756,34.935,RN_STZ_7.1Hz,RN,STZ,DMSO,7.1Hz
18710005,-76.3426,,120.859,270.166,,0.439389803,,10.5156,43.3982,RN_STZ_7.1Hz,RN,STZ,DMSO,7.1Hz
18710012,-83.3991,,129.299,308.75,,0.523132052,,10.4755,41.3332,RN_STZ_7.1Hz,RN,STZ,DMSO,7.1Hz
18710020,-64.313,,117.846,218.167,,0.297908055,,6.04568,28.6031,RN_STZ_7.1Hz,RN,STZ,DMSO,7.1Hz
18710024,-85.4515,,119.635,226.084,,0.323712823,,7.64304,34.0504,RN_STZ_7.1Hz,RN,STZ,DMSO,7.1Hz
18711036,-71.321,,147.99,244.9,,,,1.10797,18.3277,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18711040,-72.8105,,125.7305,312.5987793,,0.246735287,,5.22,26.82,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18711044,-71.1825,,128.4725,373.5,,0.222808842,,9.14,32.62,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18711048,-68.8539,,126.664,309.8987915,,0.313833243,,3.46999,25.2339,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18711052,-74.0235,,128.3335,347.5,,0.291038749,,4.16,24.58,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18711056,-74.7417,,128.9333191,356.0819651,,0.218020437,,6.14898,27.334,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18711069,-72.4806,,127.091,358.8013306,,0.162993164,,4.47271,23.7077,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18712047,-72.592,,125.302,358.399,,,,7.213,28.184,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18712051,-75.951,,129.151,339,,0.162961622,,5.72,22.86,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18712055,-73.514,,131.884,384.8,,0.386957058,,11.4,30,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18712059,-68.9639,,124.0222168,317.084137,,0.505069647,,13.9315,43.50333,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18712064,-74.4269,,135.8268738,361.9986023,,0.428168561,,12.6877,33.259,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18712068,-71.422,,124.322,303.799,,,,3.68,17.48,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18713029,-77.3575,,128.1975,342.9,,0.618814148,,7.08,37.68,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
