"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","Parameter","Operator","Value"
"1","18711055","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)","Value",0.878636388243788
"2","18704028","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","Ediast (mV)","Value",0.897609155290355
"3","18704029","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","Ediast (mV)","Value",0.886617748277381
"4","18703057","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APA (mV)","Value",0.821996902517152
"5","18704028","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APA (mV)","Value",3.83340887112507
"6","18711040","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","dV/dt max y (V/s)","Value",0.895185570259953
"7","18713029","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","dV/dt max y (V/s)","Value",1.11730213082857
"8","18716032","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","dV/dt max y (V/s)","Value",0.877840970407387
"9","18716050","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","dV/dt max y (V/s)","Value",0.823672568879317
"10","18711038","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","dV/dt max y (V/s)","Value",1.10644884053544
"11","18711043","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","dV/dt max y (V/s)","Value",1.14675060420862
"12","18711055","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","dV/dt max y (V/s)","Value",0.715920615472652
"13","18712050","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","dV/dt max y (V/s)","Value",25.8125018029825
"14","18712063","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","dV/dt max y (V/s)","Value",1.11978576516598
"15","18703040","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","dV/dt max y (V/s)","Value",1.17886347856907
"16","18704051","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","dV/dt max y (V/s)","Value",0.860321477935935
"17","18703057","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","dV/dt max y (V/s)","Value",0.495153911807428
"18","18704028","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","dV/dt max y (V/s)","Value",26.1667197764419
"19","18704029","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","dV/dt max y (V/s)","Value",19.2906990218581
"20","18711040","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",1.17619007592613
"21","18711044","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",0.695071954793481
"22","18711048","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",1.51304737013908
"23","18711052","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",1.52441091115518
"24","18711056","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",1.56776674006733
"25","18712051","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",0.864234509920199
"26","18712055","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",1.42758239864241
"27","18712059","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",1.29086086397058
"28","18713029","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",1.14646553802177
"29","18713036","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",1.23497762777691
"30","18713040","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",1.10493108851402
"31","18713042","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",1.43553358418748
"32","18716035","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",1.42968240338642
"33","18716044","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",1.1739070382302
"34","18716053","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","SD1","Value",0.892868690025748
"35","18711045","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",1.20358479399265
"36","18711049","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",1.21827379970921
"37","18711070","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",1.20471724659932
"38","18712048","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",1.31117019167566
"39","18712052","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",1.36527408476206
"40","18712060","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",1.23382340792351
"41","18712065","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",1.6598594217576
"42","18712069","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",1.15875019417165
"43","18713032","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",1.1193811250456
"44","18713037","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",1.25799603123247
"45","18716028","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",1.96646405128756
"46","18716032","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",5.03624106777557
"47","18716040","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",0.635286027867073
"48","18716045","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",1.84781797065663
"49","18716050","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",2.3651655669072
"50","18716054","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","SD1","Value",0.244588642578176
"51","18711038","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.51100111746289
"52","18711042","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.61495894367175
"53","18711046","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.6156801006838
"54","18711050","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.97164843435574
"55","18711054","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.54369198792806
"56","18711058","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.41438760287259
"57","18711071","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.79295218732392
"58","18712049","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.86745305274407
"59","18712053","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.31669813814505
"60","18712061","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.55240018007245
"61","18712066","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.29184567862738
"62","18712072","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.6097624212115
"63","18713033","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.40562263092684
"64","18713038","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.19483186835957
"65","18713044","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.28569986145825
"66","18716029","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.33016090719384
"67","18716037","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.35033229274141
"68","18716042","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.53431589813889
"69","18716046","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.34745870067398
