Exp,Cell,Cm,Rs,File Name,APD 90 (ms),APD 50 (ms),APD 20 (ms),Ediast (mV),dV/dt max y (V/s),Peak (mV),Condition 1,Condition 2,Condition 3,Condition 4,Folder
Cvie_203_APD1,2,166.5,2.9,17n30003,266.7997,226.9383,58.15549,-74.5373,337.423,62.10327,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_203_APD1,3,106,4.4,17n30007,250.437,203.1168,48.3368,-73.1504,335.686,57.83081,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_203_APD1,4,102.9,2.9,17n30012,230.1733,202.5181,68.67765,-75.7568,305.169,57.22046,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_203_APD4,2,195.4,2.2,18215005,219.642,198.292,107.665,-81.9329,269.431,55.8685,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_203_APD4,6,138,1.7,18215021,101.269,83.3796,32.1199,-84.7425,244.636,50.0855,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_203_APD4,8,153,2.9,18215028,241.315,218.936,117.233,-90.5094,273.785,46.2021,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_203_APD4,9,163.6,2.4,18215032,358.892,338.331,215.038,-85.7224,218.662,53.0563,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_203_APD4,13,175.9,2.3,18215048,151.318,131.4205,58.2601,-81.5476,234.966,54.8752,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_203_APD4,17,121.1,1.8,18215062,138.223,123.352,64.3253,-76.4867,267.028,58.2916,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_203_APD4,18,163.6,2.7,18215067,260.583,239.44,141.539,-96.0552,265.362,42.2836,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_203_APD1,2,166.5,2.9,17n30004,181.0364,139.9597,37.9988,-76.1261,366.203,59.35669,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
