File Name,Cycle length,APA (mV),dV/dt max y (V/s),Negative dV/dt max y (V/s),Ediast (mV),APD 90 (ms),APD 50 (ms),APD 20 (ms),Folder,Condition 1,Condition 2,Condition 3,Condition 4
14116026,2000,109.4263977,28.44238281,,-80.80090942,297.2557922,9.379824638,2.318345833,HS_Atrial_Tyr_0.5Hz,HS,Atrial,Tyr,0.5Hz
14116029,2000,113.1286621,36.37695313,,-85.90698242,222.6150024,10.23291664,2.76159935,HS_Atrial_Tyr_0.5Hz,HS,Atrial,Tyr,0.5Hz
14121000,2000,85.99853668,16.35742188,,-75.74463043,136.8100006,15.65069447,2.821011925,HS_Atrial_Tyr_0.5Hz,HS,Atrial,Tyr,0.5Hz
14121027,2000,105.3721115,18.92089844,,-88.16019745,225.2774994,19.54444466,4.89711113,HS_Atrial_Tyr_0.5Hz,HS,Atrial,Tyr,0.5Hz
14204058,2000,100.7843033,24.78027344,,-83.57238922,156.5125,22.48541679,5.840388966,HS_Atrial_Tyr_0.5Hz,HS,Atrial,Tyr,0.5Hz
14204068,2000,114.3188477,64.08691406,,-76.11083984,123.2699997,13.1825758,3.074961472,HS_Atrial_Tyr_0.5Hz,HS,Atrial,Tyr,0.5Hz
14205006,2000,113.9678955,88.37890625,,-79.97131348,273.8525024,11.59097233,2.559476471,HS_Atrial_Tyr_0.5Hz,HS,Atrial,Tyr,0.5Hz
14205013,2000,119.9849442,93.26171875,,-82.814534,251.625,11.7041666,2.441048574,HS_Atrial_Tyr_0.5Hz,HS,Atrial,Tyr,0.5Hz
14206021,2000,124.6744797,103.7597656,,-64.3717453,78.04000092,5.728032398,1.607562399,HS_Atrial_Tyr_0.5Hz,HS,Atrial,Tyr,0.5Hz
14731025,2000,108.1034348,86.05957031,,-61.71671524,41.50499954,4.812840939,1.43973887,HS_Atrial_Tyr_0.5Hz,HS,Atrial,Tyr,0.5Hz
14731028,2000,114.440918,83.984375,,-64.69726563,43.97874985,4.568181896,1.219653726,HS_Atrial_Tyr_0.5Hz,HS,Atrial,Tyr,0.5Hz
14116027,1000,105.9221542,26.73339844,,-80.59256439,300.6885742,9.761309433,2.300444794,HS_Atrial_Tyr_1Hz,HS,Atrial,Tyr,1Hz
14116030,1000,112.8976013,36.49902344,,-85.92006226,220.1742828,10.38214283,3.075987387,HS_Atrial_Tyr_1Hz,HS,Atrial,Tyr,1Hz
14121001,1000,85.23995514,15.99121094,,-74.31466217,120.8914291,15.91190472,2.808061218,HS_Atrial_Tyr_1Hz,HS,Atrial,Tyr,1Hz
14121028,1000,105.2420486,19.28710938,,-88.39634552,178.6857178,20.01190491,5.015618992,HS_Atrial_Tyr_1Hz,HS,Atrial,Tyr,1Hz
14204059,1000,94.68296509,21.24023438,,-83.0862854,156.5157135,27.26428604,5.964095211,HS_Atrial_Tyr_1Hz,HS,Atrial,Tyr,1Hz
14204067,1000,115.4000412,64.69726563,,-78.90101776,127.0642868,13.99880924,3.106080818,HS_Atrial_Tyr_1Hz,HS,Atrial,Tyr,1Hz
14205008,1000,121.1722244,95.82519531,,-83.39146271,238.6757141,11.37976189,2.319095802,HS_Atrial_Tyr_1Hz,HS,Atrial,Tyr,1Hz
14205014,1000,122.5324371,98.51074219,,-85.17892151,231.6814301,11.85952358,2.344024706,HS_Atrial_Tyr_1Hz,HS,Atrial,Tyr,1Hz
14206023,1000,122.7765762,87.40234375,,-63.20626297,78.54142609,5.556349182,1.467069769,HS_Atrial_Tyr_1Hz,HS,Atrial,Tyr,1Hz
14731026,1000,110.3602814,91.67480469,,-64.40080872,41.43285675,4.5125,1.387403607,HS_Atrial_Tyr_1Hz,HS,Atrial,Tyr,1Hz
,,,,,,,,,,,,,
