File Name,Ediast (mV),Peak (mV),APA (mV),dV/dt max y (V/s),Negative dV/dt max y (V/s),SD1,SD2,SD1_SD2 Ratio,APD 20 (ms),APD 50 (ms),APD 90 (ms),Folder,Condition 1,Condition 2,Condition 3,Condition 4
21412009,-48.8014503187742,44.7436502185407,93.5451005373149,114.303583438058,-19.7418203513761,41.2667517500469,12.7322222222222,3.24112719914846,372.44,959.04,1244.24,WTC11_Expanded.D14_Tyr_0.5Hz,WTC11,Expanded.D14,Tyr,0.5Hz
21412014,-49.790708084287,60.1409883543938,109.931696438681,144.097893546342,-15.6982414418733,0.131993265821489,1.12311111111111,0.117524672773387,42.88,77.72,126.08,WTC11_Expanded.D14_Tyr_0.5Hz,WTC11,Expanded.D14,Tyr,0.5Hz
21412023,-45.8395363969576,60.1702852280023,106.00982162496,205.93260740623,-5.21850561150932,0.499688792038496,2.84288888888889,0.175767964056377,17.8,31.56,43.2,WTC11_Expanded.D14_Tyr_0.5Hz,WTC11,Expanded.D14,Tyr,0.5Hz
21420007,-50.9113134998111,59.5989961926371,110.510309692448,206.036367166925,-11.8988031457746,77.055782968502,7.18377777777778,10.7263594938676,408.4,736.04,665.04,WTC11_Expanded.D14_Tyr_0.5Hz,WTC11,Expanded.D14,Tyr,0.5Hz
21420015,-40.094419482336,59.0789766860867,99.1733961684227,65.0146453494709,-27.7496324710253,18.1773583217022,15.4404444444444,1.17725615911545,37.88,79.24,232.08,WTC11_Expanded.D14_Tyr_0.5Hz,WTC11,Expanded.D14,Tyr,0.5Hz
21420024,-49.5648780168884,48.7414527630302,98.3063307799186,168.182365058642,-7.82775841726381,255.355114867294,18.5307777777778,13.7800538072135,23.04,53,213.56,WTC11_Expanded.D14_Tyr_0.5Hz,WTC11,Expanded.D14,Tyr,0.5Hz
21420034,-47.3825050736705,51.6748022330786,99.0573073067491,56.1981174479205,-26.8981920817791,111.779439969969,17.9504444444444,6.22711266653704,48.52,91.16,135.4,WTC11_Expanded.D14_Tyr_0.5Hz,WTC11,Expanded.D14,Tyr,0.5Hz
21412010,-50.8738379156536,47.9009987013871,98.7748366170408,143.652336926881,-15.5456535584961,5.30801490410702,7.52311111111111,0.705561146939256,36.12,63.88,114.08,WTC11_Expanded.D14_Tyr_1Hz,WTC11,Expanded.D14,Tyr,1Hz
21412015,-55.9946872818013,57.0544406494345,113.049127931236,173.525992734521,-13.6138909549374,3.43653895656662,9.67388888888889,0.355238621823919,37.4,68.24,148.04,WTC11_Expanded.D14_Tyr_1Hz,WTC11,Expanded.D14,Tyr,1Hz
21412024,-50.2620825736167,56.869504134781,107.131586708398,244.061267704586,-7.37304652479911,0.90509667991878,2.846,0.318024132086711,12.36,24.56,43.84,WTC11_Expanded.D14_Tyr_1Hz,WTC11,Expanded.D14,Tyr,1Hz
21420008,-50.1704688084369,59.8498506729096,110.020319481346,254.046618792811,-6.74133268761639,178.370042576911,14.8735555555556,11.9924278973286,7.36,34.48,93.16,WTC11_Expanded.D14_Tyr_1Hz,WTC11,Expanded.D14,Tyr,1Hz
21420016,-49.6172461784635,51.3433813503827,100.960627528846,120.440668107499,-25.006102327899,7.37748075037964,14.5752222222222,0.506165918975253,33.32,66.96,212.56,WTC11_Expanded.D14_Tyr_1Hz,WTC11,Expanded.D14,Tyr,1Hz
