"Sweep (n)","APD","APD value (ms)","APD value (mV)"
18,"APD 20",1993.18,52.4902318818478
18,"APD 50",0.24,51.8798803483379
18,"APD 90",0.1,51.269528814828
19,"APD 20",1,50.9643530480731
19,"APD 50",0.14,50.3540015145633
19,"APD 90",0.04,49.7436499810534
20,"APD 20",0.3,50.3540015145633
20,"APD 50",0.02,50.0488257478083
20,"APD 90",0.04,49.7436499810534
21,"APD 20",0.0199999999999999,50.3540015145633
21,"APD 50",0.3,50.0488257478083
21,"APD 90",0.0399999999999999,49.7436499810534
22,"APD 20",0.0200000000000002,50.0488257478083
22,"APD 50",0.0200000000000002,50.0488257478083
22,"APD 90",0.14,49.4384742142985
