"Sweep (n)","APD","APD value (ms)","APD value (mV)"
14,"APD 20",226.2,25.3356939256719
14,"APD 50",352,-16.4611820085611
14,"APD 90",372.4,-71.8841568801736
15,"APD 20",224.8,25.2990728311033
15,"APD 50",350.6,-16.2963870830026
15,"APD 90",371.2,-72.1008316897042
16,"APD 20",226.6,25.3479009571947
16,"APD 50",349.4,-16.2353519253884
16,"APD 90",369.8,-71.594239881506
17,"APD 20",227.6,25.3356939256719
17,"APD 50",349.6,-16.3696292721397
17,"APD 90",369.8,-71.9177262168614
18,"APD 20",226,25.3540044729562
18,"APD 50",351.8,-16.3116458724062
18,"APD 90",372.4,-71.4080826507825
