"Sweep (n)","APD","APD value (ms)","APD value (mV)"
50,"APD 10",22.4,41.2384042420627
50,"APD 20",73.6,27.7130133147466
50,"APD 50",143.4,-12.8509524356787
50,"APD 70",156.8,-39.9963387846128
50,"APD 90",164.4,-66.5954604728995
51,"APD 10",22.8,41.1651620529256
51,"APD 20",73.6,27.6550299150131
51,"APD 50",143.4,-12.8417971620365
51,"APD 70",157,-39.6698006913766
51,"APD 90",164.8,-66.9921889973921
52,"APD 10",22.4,41.149903263522
52,"APD 20",70,27.6733404622974
52,"APD 50",141.2,-12.7990725517066
52,"APD 70",155.2,-39.9322518691179
52,"APD 90",163,-67.1020522810977
53,"APD 10",22,41.2719735787505
53,"APD 20",73.2,27.719116830508
53,"APD 50",141.2,-12.8021243095873
53,"APD 70",154.6,-39.538575102506
53,"APD 90",162.4,-66.89758450309
54,"APD 10",22.6,41.1224374425956
54,"APD 20",75.4,27.6489263992517
54,"APD 50",144,-12.6800539943588
54,"APD 70",158,-40.0482186685849
54,"APD 90",165.6,-66.7724624299808
