"Sweep (n)","APD","APD value (ms)","APD value (mV)"
27,"APD 10",57.4,36.8927010199286
27,"APD 20",189.8,23.0438237572571
27,"APD 50",315.6,-18.5272220938032
27,"APD 70",331.4,-46.0510264199457
27,"APD 90",338.4,-73.6572282088673
28,"APD 10",57.2,36.8438728938372
28,"APD 20",190.6,23.0163579363307
28,"APD 50",315.2,-18.4875492413539
28,"APD 70",331,-45.9991465359736
28,"APD 90",338,-73.565675472446
29,"APD 10",57.2,36.825562346553
29,"APD 20",190.4,22.9766850838814
29,"APD 50",317.8,-18.5546879147296
29,"APD 70",334,-46.3317881449712
29,"APD 90",341,-73.9593522390578
30,"APD 10",55.4,36.8164070729108
30,"APD 20",188.2,22.9949956311657
30,"APD 50",315.6,-18.5760502198946
30,"APD 70",331.2,-46.4019785762275
30,"APD 90",338.2,-74.0386979439564
31,"APD 10",55.6,36.8011482835073
31,"APD 20",188.4,22.9858403575236
31,"APD 50",317.8,-18.6004642829403
31,"APD 70",333.8,-46.121216851202
31,"APD 90",340.8,-73.7426774295273
