"Sweep (n)","APD","APD value (ms)","APD value (mV)"
19,"APD 10",15.2,38.8488751079024
19,"APD 20",39.8,26.0925280575464
19,"APD 50",100.2,-11.7492670200648
19,"APD 70",116.2,-36.6821271639425
19,"APD 90",123.2,-62.3168915713565
20,"APD 10",15,38.9709454146044
20,"APD 20",40.2,26.2451159409239
20,"APD 50",100.8,-11.7492670200648
20,"APD 70",116.8,-36.6210920105915
20,"APD 90",123.6,-62.22533884133
21,"APD 10",16,38.6047344944985
21,"APD 20",40.8,26.0009753275199
21,"APD 50",101.4,-11.7492670200648
21,"APD 70",117.6,-37.1093732373994
21,"APD 90",124.4,-62.0117158046016
22,"APD 10",15.8,38.9404278379289
22,"APD 20",41.2,26.4587389776523
22,"APD 50",101.8,-11.5356439833363
22,"APD 70",118,-36.8652326239954
22,"APD 90",124.6,-61.7980927678731
23,"APD 10",15.6,38.4216290344455
23,"APD 20",40.4,25.7263171374405
23,"APD 50",98.6,-11.7797845967403
23,"APD 70",114.8,-37.1704083907503
23,"APD 90",121.6,-62.408444301383
