"Sweep (n)","APD","APD value (ms)","APD value (mV)"
114,"APD 10",9.4,36.7431623172934
114,"APD 20",25.4,24.8413074138512
114,"APD 50",72.6,-10.2539057629656
114,"APD 70",90,-33.5693343430422
114,"APD 90",97.4,-56.9457980764697
115,"APD 10",8.2,36.7431623172934
115,"APD 20",23.6,25.0549304505797
115,"APD 50",70.8,-10.0708003029127
115,"APD 70",89.8,-33.3557113063137
115,"APD 90",97.8,-56.9763156531452
116,"APD 10",7.8,36.3769513971875
116,"APD 20",22.8,24.6582019537983
116,"APD 50",71,-9.76562453615772
116,"APD 70",90.4,-32.8063949261549
116,"APD 90",98.4,-55.847165316152
117,"APD 10",7.8,36.2243635138101
117,"APD 20",23.4,24.8413074138512
117,"APD 50",70.4,-9.76562453615772
117,"APD 70",89.8,-32.6843246194529
117,"APD 90",98.4,-55.8776828928275
118,"APD 10",7.8,36.2548810904855
118,"APD 20",22.8,24.9633777205532
118,"APD 50",70,-9.36889603937632
118,"APD 70",89.8,-32.5927718894264
118,"APD 90",98,-55.3588840893441
