"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"21412009","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Ediast (mV)",-48.8014503187742
"21412014","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Ediast (mV)",-49.790708084287
"21412023","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Ediast (mV)",-45.8395363969576
"21420007","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Ediast (mV)",-50.9113134998111
"21420015","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Ediast (mV)",-40.094419482336
"21420024","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Ediast (mV)",-49.5648780168884
"21420034","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Ediast (mV)",-47.3825050736705
"21412010","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Ediast (mV)",-50.8738379156536
"21412015","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Ediast (mV)",-55.9946872818013
"21412024","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Ediast (mV)",-50.2620825736167
"21420008","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Ediast (mV)",-50.1704688084369
"21420016","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Ediast (mV)",-49.6172461784635
"21420025","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Ediast (mV)",-50.9858374220527
"21420035","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Ediast (mV)",-50.0882544568731
"21412011","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Ediast (mV)",-55.6580784110706
"21412016","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Ediast (mV)",-62.4909638287135
"21412025","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Ediast (mV)",-55.0062229732821
"21420009","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Ediast (mV)",-53.9497655039299
"21420017","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Ediast (mV)",-53.066037518561
"21420026","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Ediast (mV)",-53.8498509578943
"21420036","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Ediast (mV)",-51.9476293685575
"21412026","WTC11_Expanded.D14_Tyr_3.33Hz","WTC11","Expanded.D14","Tyr","3.33Hz","Ediast (mV)",-58.2535983073213
"21420010","WTC11_Expanded.D14_Tyr_3.33Hz","WTC11","Expanded.D14","Tyr","3.33Hz","Ediast (mV)",-60.5030488840719
"21420018","WTC11_Expanded.D14_Tyr_3.33Hz","WTC11","Expanded.D14","Tyr","3.33Hz","Ediast (mV)",-59.2717257003691
"21420037","WTC11_Expanded.D14_Tyr_3.33Hz","WTC11","Expanded.D14","Tyr","3.33Hz","Ediast (mV)",-52.9381078371373
"21412017","WTC11_Expanded.D14_Tyr_4Hz","WTC11","Expanded.D14","Tyr","4Hz","Ediast (mV)",-63.9833953984518
"21412027","WTC11_Expanded.D14_Tyr_4Hz","WTC11","Expanded.D14","Tyr","4Hz","Ediast (mV)",-60.6223115737197
"21420011","WTC11_Expanded.D14_Tyr_4Hz","WTC11","Expanded.D14","Tyr","4Hz","Ediast (mV)",-60.0279512503878
"21420019","WTC11_Expanded.D14_Tyr_4Hz","WTC11","Expanded.D14","Tyr","4Hz","Ediast (mV)",-55.327389950215
"21420038","WTC11_Expanded.D14_Tyr_4Hz","WTC11","Expanded.D14","Tyr","4Hz","Ediast (mV)",-53.2207005971524
"21412020","WTC11_Expanded.D14_Tyr_5Hz","WTC11","Expanded.D14","Tyr","5Hz","Ediast (mV)",-60.4388399027466
"21412028","WTC11_Expanded.D14_Tyr_5Hz","WTC11","Expanded.D14","Tyr","5Hz","Ediast (mV)",-63.9057586833893
"21420012","WTC11_Expanded.D14_Tyr_5Hz","WTC11","Expanded.D14","Tyr","5Hz","Ediast (mV)",-61.7665375935906
"21420039","WTC11_Expanded.D14_Tyr_5Hz","WTC11","Expanded.D14","Tyr","5Hz","Ediast (mV)",-54.1497166663077
"21412033","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-52.8098119447935
"21504001","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-58.4237032797105
"21504019","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-62.4080170553095
"21504028","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-71.711910656367
"21504037","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-63.2130096928556
"21504046","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-60.9208345087594
"21504054","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-62.6891449716441
"21504062","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-61.3917817520156
"21504071","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-64.4644744771643
"21504079","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-67.1075407578754
"21621010","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-67.7712980505673
"21621014","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-65.3941619330065
"21621026","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-64.7940032701062
"21621030","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-68.722286774929
"21621042","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-46.2969948713232
"21621056","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-70.1345791883175
"21621066","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-71.504269064667
"21621079","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-65.7071501993903
"21621087","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-71.2104458364353
"21621095","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-67.9119840790413
"21621111","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-63.271847580686
"21621119","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-64.61101988036
"21723034","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-63.029965267956
"21723048","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-65.6207244222453
"21723062","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-65.6169402427376
"21723071","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-72.2380336782525
"21726003","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Ediast (mV)",-70.3262295698396
