"Sweep (n)","APD","APD value (ms)","APD value (mV)"
96,"APD 20",11,35.7391340446697
96,"APD 50",41,-0.210571279060901
96,"APD 90",94.8,-48.3947730919966
97,"APD 20",11.4,35.8947736857147
97,"APD 50",43.4,-0.34484861643307
97,"APD 90",94.8,-48.4619117606827
98,"APD 20",11,35.8337385323637
98,"APD 50",39.6,-0.491332984475435
98,"APD 90",93.6,-48.757932254435
99,"APD 20",11.2,35.8489973207015
99,"APD 50",40.2,-0.292968736084732
99,"APD 90",93,-48.6572242514059
100,"APD 20",11,35.9069807163849
100,"APD 50",39.6,-0.0122070306701972
100,"APD 90",94.6,-48.0499244755636
