"Sweep (n)","APD","APD value (ms)","APD value (mV)"
9,"APD 20",13.4,31.823728957204
9,"APD 50",25.2,-2.75573717379701
9,"APD 90",74.4,-49.3774390609475
10,"APD 20",13.4,31.9976791442543
10,"APD 50",24.8,-2.12402333661431
10,"APD 90",74.8,-48.1811500552682
11,"APD 20",14.8,31.9915756289192
11,"APD 50",26.2,-2.98156724119566
11,"APD 90",74.8,-49.346921484272
12,"APD 20",14.4,32.0465072669351
12,"APD 50",26,-2.94799790685261
12,"APD 90",74.6,-49.346921484272
13,"APD 20",14.4,31.884764110555
13,"APD 50",25.8,-2.91442857250957
13,"APD 90",74.6,-48.9929175948363
