"Sweep (n)","APD","APD value (ms)","APD value (mV)"
22,"APD 20",53.2,28.1768785444826
22,"APD 50",90.6,-4.41284158727627
22,"APD 90",223.2,-47.7813698008192
23,"APD 20",51.6,28.47900255357
23,"APD 50",90.8,-4.17785624687498
23,"APD 90",225.2,-47.6379371904444
24,"APD 20",56.6,28.5949693449368
24,"APD 50",100.4,-4.10766582052134
24,"APD 90",240.6,-47.2259499053252
25,"APD 20",57.6,28.3355699431951
25,"APD 50",93.6,-4.44335916395176
25,"APD 90",238.8,-48.1628395092629
26,"APD 20",52.8,28.4942613419077
26,"APD 50",92.4,-4.04357890950281
26,"APD 90",231.8,-47.0428444452723
