"Sweep (n)","APD","APD value (ms)","APD value (mV)"
376,"APD 20",41.6,21.4019765225232
376,"APD 50",66.6,-10.5957026217311
376,"APD 90",159.8,-52.9022191669669
377,"APD 20",41.6,21.4813222218794
377,"APD 50",67.6,-10.2478022476305
377,"APD 90",160.4,-52.1881078727604
378,"APD 20",42.2,21.3989247648556
378,"APD 50",66.8,-9.74121047481733
378,"APD 90",157.6,-51.6204809465962
379,"APD 20",44.8,21.3714589458477
379,"APD 50",69,-9.58557083377232
379,"APD 90",158.4,-51.1352514774559
380,"APD 20",42.8,21.2463368814782
380,"APD 50",66.8,-9.96093702688088
380,"APD 90",158,-51.3214086951764
