"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"14116026","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Ediast (mV)",-78.9855919515107
"14116029","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Ediast (mV)",-86.4746052676767
"14121000","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Ediast (mV)",-75.1403772903986
"14121027","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Ediast (mV)",-86.2976033229588
"14204058","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Ediast (mV)",-83.4716757228082
"14204068","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Ediast (mV)",-76.1962854433706
"14205006","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Ediast (mV)",-78.6987267307611
"14205013","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Ediast (mV)",-81.5002402695713
"14206021","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Ediast (mV)",-63.9099090738172
"14731025","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Ediast (mV)",-60.9497041362944
"14731028","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Ediast (mV)",-65.0146453494701
"14116027","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Ediast (mV)",-81.5673789382574
"14116030","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Ediast (mV)",-87.176509531213
"14121001","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Ediast (mV)",-73.8952601620385
"14121028","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Ediast (mV)",-88.7512164876684
"14204059","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Ediast (mV)",-82.7941855206122
"14204067","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Ediast (mV)",-78.5644493933889
"14205008","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Ediast (mV)",-82.781978489942
"14205014","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Ediast (mV)",-84.6313436364769
"14206023","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Ediast (mV)",-64.270016478588
"14731026","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Ediast (mV)",-64.5690887300078
"14116026","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Peak (mV)",26.5502917076788
"14116029","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Peak (mV)",28.0151353881025
"14121000","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Peak (mV)",10.4980463763696
"14121027","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Peak (mV)",19.3481436122625
"14204058","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Peak (mV)",16.0522453313093
"14204068","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Peak (mV)",37.8417950776112
"14205006","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Peak (mV)",29.7851548352811
"14205013","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Peak (mV)",34.9121077167639
"14206021","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Peak (mV)",60.180661204072
"14731025","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Peak (mV)",46.3256813933982
"14731028","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Peak (mV)",48.8891578341396
"14116027","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Peak (mV)",26.6113268610298
"14116030","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Peak (mV)",28.0151353881025
"14121001","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Peak (mV)",10.7421869897735
"14121028","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Peak (mV)",17.272948398329
"14204059","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Peak (mV)",12.0849603634952
"14204067","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Peak (mV)",36.1328107837836
"14205008","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Peak (mV)",37.4145490041543
"14205014","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Peak (mV)",36.8652326239954
"14206023","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Peak (mV)",59.8144502839661
"14731026","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Peak (mV)",42.6025370389881
"14116026","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APA (mV)",105.535883659189
"14116029","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APA (mV)",114.489740655779
"14121000","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APA (mV)",85.6384236667681
"14121027","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APA (mV)",105.645746935221
"14204058","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APA (mV)",99.5239210541174
"14204068","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APA (mV)",114.038080520982
"14205006","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APA (mV)",108.483881566042
"14205013","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APA (mV)",116.412347986335
"14206021","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APA (mV)",124.090570277889
"14731025","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APA (mV)",107.275385529693
"14731028","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APA (mV)",113.90380318361
"14116027","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",108.178705799287
"14116030","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",115.191644919315
"14121001","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",84.637447151812
"14121028","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",106.024164885997
"14204059","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",94.8791458841074
"14204067","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",114.697260177172
"14205008","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",120.196527494096
"14205014","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",121.496576260472
"14206023","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",124.084466762554
"14731026","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",107.171625768996
"14116026","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","dV/dt max y (V/s)",24.1088855736394
"14116029","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","dV/dt max y (V/s)",36.3769513971875
