"Sweep (n)","APD","APD value (ms)","APD value (mV)"
9,"APD 20",2,6.71386686860844
9,"APD 50",9.5,-26.5502917076788
9,"APD 70",54,-47.6074196137689
9,"APD 90",305.5,-68.664547519859
10,"APD 20",2,6.40869110185351
10,"APD 50",9,-25.939940174169
10,"APD 70",47,-47.302243847014
10,"APD 90",297.5,-68.3593717531041
11,"APD 20",2,5.79833956834365
11,"APD 50",9,-25.634764407414
11,"APD 70",43,-46.997068080259
11,"APD 90",297,-67.7490202195942
12,"APD 20",2,6.10351533509858
12,"APD 50",9,-26.2451159409239
12,"APD 70",53,-47.302243847014
12,"APD 90",300.5,-68.664547519859
13,"APD 20",2,6.71386686860844
13,"APD 50",9,-25.939940174169
13,"APD 70",47,-47.6074196137689
13,"APD 90",299,-68.664547519859
