"Time (ms)","Sweep 21. Voltage (mV)","Sweep 22. Voltage (mV)","Sweep 23. Voltage (mV)","Sweep 24. Voltage (mV)","Sweep 25. Voltage (mV)"
0,-86.6699177583998,-86.9750935251547,-87.2802692919097,-86.3647419916449,-85.1440389246252
0.5,-86.6699177583998,-86.9750935251547,-87.2802692919097,-86.3647419916449,-85.1440389246252
1,-86.6699177583998,-86.9750935251547,-87.2802692919097,-86.3647419916449,-85.1440389246252
1.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
2,-86.6699177583998,-87.2802692919097,-86.9750935251547,-86.3647419916449,-85.1440389246252
2.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
3,-86.6699177583998,-86.9750935251547,-87.2802692919097,-86.3647419916449,-85.1440389246252
3.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
4,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.6699177583998,-85.1440389246252
4.5,-86.6699177583998,-87.2802692919097,-87.2802692919097,-86.3647419916449,-85.1440389246252
5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.6699177583998,-85.4492146913801
5.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
6,-86.6699177583998,-86.9750935251547,-87.2802692919097,-86.3647419916449,-85.1440389246252
6.5,-86.6699177583998,-87.2802692919097,-87.2802692919097,-86.3647419916449,-85.1440389246252
7,-86.6699177583998,-87.2802692919097,-87.2802692919097,-86.3647419916449,-85.1440389246252
7.5,-86.6699177583998,-86.9750935251547,-87.2802692919097,-86.3647419916449,-85.1440389246252
8,-86.6699177583998,-87.2802692919097,-86.9750935251547,-86.3647419916449,-85.1440389246252
8.5,-86.6699177583998,-87.2802692919097,-87.2802692919097,-86.3647419916449,-85.1440389246252
9,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.6699177583998,-85.1440389246252
9.5,-86.6699177583998,-87.2802692919097,-86.9750935251547,-86.3647419916449,-85.1440389246252
10,-86.6699177583998,-87.2802692919097,-87.2802692919097,-86.3647419916449,-85.1440389246252
10.5,-86.6699177583998,-87.2802692919097,-87.2802692919097,-86.3647419916449,-85.4492146913801
11,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
11.5,-86.6699177583998,-87.2802692919097,-86.9750935251547,-86.6699177583998,-85.1440389246252
12,-86.6699177583998,-87.2802692919097,-86.9750935251547,-86.3647419916449,-85.1440389246252
12.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
13,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
13.5,-86.6699177583998,-87.2802692919097,-86.9750935251547,-86.3647419916449,-85.1440389246252
14,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
14.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
15,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
15.5,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
16,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
16.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
17,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
17.5,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
18,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
18.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
19,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
19.5,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
20,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
20.5,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
21,-86.3647419916449,-86.9750935251547,-87.2802692919097,-86.3647419916449,-85.1440389246252
21.5,-86.6699177583998,-86.9750935251547,-87.2802692919097,-86.3647419916449,-85.1440389246252
22,-86.3647419916449,-87.2802692919097,-86.9750935251547,-86.3647419916449,-85.1440389246252
22.5,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
23,-86.6699177583998,-87.2802692919097,-87.2802692919097,-86.3647419916449,-85.1440389246252
23.5,-86.6699177583998,-86.9750935251547,-87.2802692919097,-86.3647419916449,-85.1440389246252
24,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.6699177583998,-85.1440389246252
24.5,-86.6699177583998,-87.2802692919097,-87.2802692919097,-86.6699177583998,-85.1440389246252
25,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
25.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
26,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
26.5,-86.6699177583998,-87.2802692919097,-86.9750935251547,-86.6699177583998,-85.1440389246252
27,-86.6699177583998,-86.9750935251547,-87.2802692919097,-86.3647419916449,-85.4492146913801
27.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
28,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.6699177583998,-85.1440389246252
28.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
29,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
29.5,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
30,-86.6699177583998,-86.9750935251547,-87.2802692919097,-86.3647419916449,-85.1440389246252
30.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
31,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
31.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
32,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
32.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
33,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
33.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
34,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
34.5,-86.6699177583998,-86.6699177583998,-86.9750935251547,-86.3647419916449,-85.1440389246252
35,-86.6699177583998,-86.6699177583998,-86.9750935251547,-86.3647419916449,-85.1440389246252
35.5,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
36,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
36.5,-86.6699177583998,-86.9750935251547,-86.6699177583998,-86.0595662248899,-85.1440389246252
37,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
37.5,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
38,-86.6699177583998,-86.9750935251547,-86.6699177583998,-86.3647419916449,-85.1440389246252
38.5,-86.6699177583998,-86.6699177583998,-86.9750935251547,-86.3647419916449,-85.4492146913801
39,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
39.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
40,-86.3647419916449,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
40.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.6699177583998,-85.4492146913801
41,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
41.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.1440389246252
42,-86.6699177583998,-86.6699177583998,-86.9750935251547,-86.3647419916449,-85.1440389246252
42.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.6699177583998,-85.4492146913801
43,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
43.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
44,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.6699177583998,-85.4492146913801
44.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
45,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.6699177583998,-85.4492146913801
45.5,-86.6699177583998,-86.6699177583998,-86.9750935251547,-86.3647419916449,-85.4492146913801
46,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
46.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
47,-86.6699177583998,-86.9750935251547,-87.2802692919097,-86.3647419916449,-85.4492146913801
47.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
48,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.6699177583998,-85.4492146913801
48.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
49,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
49.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
50,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
50.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
51,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
51.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
52,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
52.5,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
53,-86.6699177583998,-86.9750935251547,-86.9750935251547,-86.3647419916449,-85.4492146913801
53.5,-86.6699177583998,-86.6699177583998,-86.9750935251547,-86.3647419916449,-85.4492146913801
54,-86.6699177583998,-86.9750935251547,-86.6699177583998,-86.3647419916449,-85.4492146913801
