"Time (ms)","Sweep 19. Voltage (mV)","Sweep 20. Voltage (mV)","Sweep 21. Voltage (mV)","Sweep 22. Voltage (mV)","Sweep 23. Voltage (mV)"
0,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
0.5,-64.39208678529,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449
1,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
1.5,-64.39208678529,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449
2,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
2.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-65.0024383187999
3,-64.39208678529,-64.6972625520449,-64.39208678529,-65.0024383187999,-65.0024383187999
3.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
4,-64.39208678529,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449
4.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
5,-64.0869110185351,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449
5.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
6,-64.39208678529,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449
6.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.3076140855548,-64.6972625520449
7,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
7.5,-64.39208678529,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449
8,-64.39208678529,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449
8.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
9,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
9.5,-64.39208678529,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449
10,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
10.5,-64.6972625520449,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.6972625520449
11,-64.39208678529,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449
11.5,-64.0869110185351,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449
12,-64.39208678529,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449
12.5,-64.0869110185351,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.39208678529
13,-64.0869110185351,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.6972625520449
13.5,-64.0869110185351,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.6972625520449
14,-64.0869110185351,-64.0869110185351,-64.0869110185351,-65.0024383187999,-64.6972625520449
14.5,-64.39208678529,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.6972625520449
15,-64.39208678529,-64.0869110185351,-64.39208678529,-65.0024383187999,-64.6972625520449
15.5,-64.0869110185351,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449
16,-64.39208678529,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.39208678529
16.5,-64.39208678529,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449
17,-64.39208678529,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449
17.5,-64.39208678529,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449
18,-64.0869110185351,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.6972625520449
18.5,-64.39208678529,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.6972625520449
19,-64.39208678529,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449
19.5,-64.39208678529,-64.0869110185351,-64.0869110185351,-65.0024383187999,-64.6972625520449
20,-64.0869110185351,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449
20.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
21,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
21.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.3076140855548,-65.0024383187999
22,-64.39208678529,-64.6972625520449,-64.39208678529,-65.0024383187999,-65.0024383187999
22.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
23,-64.6972625520449,-64.6972625520449,-64.39208678529,-65.0024383187999,-65.0024383187999
23.5,-64.6972625520449,-64.39208678529,-64.39208678529,-65.3076140855548,-65.0024383187999
24,-64.6972625520449,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449
24.5,-64.39208678529,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449
25,-64.39208678529,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449
25.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
26,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
26.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
27,-64.39208678529,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449
27.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
28,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-65.0024383187999
28.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
29,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
29.5,-64.39208678529,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449
