"Sweep (n)","APD","APD value (ms)","APD value (mV)"
26,"APD 20",0,-63.7817352517801
26,"APD 50",0.5,-64.0869110185351
26,"APD 70",1,-64.39208678529
26,"APD 90",1,-64.39208678529
27,"APD 20",0,-63.7817352517801
27,"APD 50",0.499999999999998,-64.0869110185351
27,"APD 70",0.499999999999998,-64.0869110185351
27,"APD 90",0.999999999999998,-64.39208678529
28,"APD 20",0,-63.7817352517801
28,"APD 50",0.5,-64.0869110185351
28,"APD 70",3.5,-64.39208678529
28,"APD 90",3.5,-64.39208678529
29,"APD 20",0,-63.7817352517801
29,"APD 50",0.5,-64.0869110185351
29,"APD 70",0.5,-64.0869110185351
29,"APD 90",3.5,-64.39208678529
30,"APD 20",0,-63.7817352517801
30,"APD 50",0.5,-64.0869110185351
30,"APD 70",2.5,-64.39208678529
30,"APD 90",2.5,-64.39208678529
