"Sweep (n)","dV/dt max x (ms)","dV/dt max y (V/s)"
26,8.5,0.610351533509856
26,10.5,0.610351533509856
26,16,0.610351533509856
26,21.5,0.610351533509856
26,23.5,0.610351533509856
26,27,0.610351533509856
26,28.5,0.610351533509856
26,33,0.610351533509856
27,10.5,0.610351533509856
28,10.5,0.610351533509856
28,20.5,0.610351533509856
28,25,0.610351533509856
28,27,0.610351533509856
28,29,0.610351533509856
28,31,0.610351533509856
29,10.5,0.610351533509856
30,10,0.610351533509856
30,11.5,0.610351533509856
