"Sweep (n)","APA (mV)"
1,84.1735780265257
2,83.8470399637008
3,86.148065191458
4,85.6353699152469
5,84.1491639657538
6,82.461542014892
7,82.9193056543663
8,81.9854678298388
9,85.7421814311242
10,80.1147404231874
11,81.0974063692588
12,75.9124702128137
13,76.364130337095
14,78.9520207789228
15,76.4007514282529
16,75.9612983343576
17,68.7469433762434
18,74.847406811637
19,75.8361762729013
20,66.4489699060827
21,67.480463973698
22,73.6053414698635
23,69.5068310177707
24,58.4564167608622
25,58.3923298513358
26,86.0900817971246
27,90.8080990413059
28,90.7318051013935
29,85.5285583993695
30,84.6618592419649
31,79.3792668424321
32,73.8189645016181
33,70.3216502960348
34,66.9799757278728
35,64.2974808005536
36,57.0953328728254
37,54.6813926139978
38,52.1881066576614
39,56.414790928807
40,54.2419395201025
41,57.6202351794225
42,50.9948694374318
43,48.2238735398144
44,59.774776042548
45,60.5285601688823
46,53.683467879944
47,64.5294143778873
48,67.5506543984174
49,69.329829077174
50,67.5476026408209
51,72.7233835244764
52,67.2119093052064
53,65.8874465083276
54,60.089107074987
55,59.2590290087404
56,54.7637900691032
57,52.3956261742231
58,59.1033893713191
59,55.7159384392097
60,43.7042205394052
61,49.0295375452891
62,51.4343225313271
63,50.3967249485188
64,52.9754601175571
65,51.7211877453977
66,48.3184780253057
67,52.6367150243462
68,52.2033654456439
69,65.9118605690995
70,69.7479198678938
71,71.8505808518788
72,71.5637156378083
73,74.0661568669342
74,77.270502343254
75,75.9307807583927
76,78.2043401677815
77,75.8789008792523
78,71.6216990321417
79,70.828242057053
80,69.9737499300344
81,71.1212107863165
82,70.4894969638421
83,66.1804152375911
84,61.3372759319535
85,63.2965043089033
86,59.1186481593016
87,61.2396196888656
88,62.1398881798317
89,59.0576130073717
90,55.2215537085774
91,59.8968463464078
92,53.8696250933302
93,50.1922571895537
94,54.7027549171733
95,45.2178923072668
96,36.9873020695197
97,33.1695533163044
98,31.6406227604604
99,41.076657248823
100,38.4796115342058
101,45.5047575213373
102,41.3604707052971
103,52.1667443544859
104,51.4709436224851
105,50.3631556149574
106,54.1595420649972
107,50.8636438607826
108,52.7130089642585
109,48.2910122069373
110,53.646846788786
111,54.2297324897166
112,49.3011439713771
113,48.5992397241832
114,58.1481892436162
115,47.6867642028312
116,51.8371545340645
117,58.9538532490909
