"Sweep (n)","APA (mV)"
1,50.2471888262906
2,52.9510460567852
3,47.0794644411287
4,41.076657248823
5,37.0330784334671
6,32.3333717348648
7,51.211544226783
8,45.095822003407
9,55.4687460738935
10,57.5927693610541
11,56.9244344474217
12,58.3007771234409
13,57.6019246338436
14,51.4099084705552
15,44.9157683052138
16,53.1555138157503
17,46.7773404390757
18,56.8572957802988
19,58.892818097161
20,61.7889360562347
21,61.0931353242339
22,58.9202839155294
23,55.7067831664202
24,56.8725545682813
25,56.3323934737016
26,47.0611538955498
27,38.7786837786623
28,45.6390348555831
29,49.6673548829565
30,53.7567100622598
31,57.2692830558256
32,61.8896440569191
33,63.0676224891662
34,62.9638627308853
35,62.2833207868669
36,62.7166703655692
37,61.3983110838834
38,54.6752890988048
39,50.6042444650805
40,44.2718474523533
41,40.5059785782784
42,22.6074202748351
43,58.4320027000902
44,72.4731394015638
45,77.7008001643598
46,75.421137239778
47,75.2044624504269
48,75.0244087522337
49,76.1138862141824
50,71.7102000024401
51,70.6664989044388
52,74.2614693531099
53,72.2900339457741
54,72.2534128546162
55,74.6581978406543
56,74.0753121397237
57,77.7831976194652
58,73.8220162592146
59,75.4241889973745
60,77.2094671913241
61,73.5198922571616
62,73.0712838904768
63,74.0142769877938
64,70.6237742980878
65,72.5982614630201
66,69.0277050751209
67,71.0906932103516
68,72.3602243704935
69,69.7112987767358
70,69.3939159867003
71,72.949213586617
72,68.5089062837168
73,69.6990917463498
74,66.2811232382754
75,67.5506543984174
76,66.2628126926964
77,72.036738065265
78,68.5546826476642
79,68.9453076200156
80,67.6300000959262
81,65.4632522024148
82,69.0368603479104
83,69.1924999853317
84,64.9505569262036
85,66.6534376650478
86,72.1282907931599
87,71.3622996364396
88,70.193476476982
89,71.3775584244221
90,64.071650738413
91,67.160029426066
92,70.7855174507021
93,71.8444773366859
94,68.0938672505935
95,66.7205763321707
96,63.1683304898505
97,64.712519833677
98,59.6099811323373
99,62.9608109732888
100,65.5792189910816
101,57.1899373583167
102,56.0516317748241
103,57.2112996614922
104,51.3824426521867
105,49.8535120963427
106,50.8117639816421
107,45.657345401162
