"Sweep (n)","APA (mV)"
1,91.1193783161484
2,91.967766927974
3,91.2811214687626
4,92.565911416887
5,91.1987240136573
6,91.0278255882536
7,90.0726254605506
8,90.9667904363237
9,91.1956722560608
10,90.5364926152179
11,89.2852720006549
12,91.690056986693
13,91.7358333506404
14,89.8193295800415
15,89.55077491155
16,90.3991635233756
17,89.0411313929353
18,89.2761167278654
19,89.7552426705151
20,87.7777037479864
21,87.4420104123719
22,88.1469664171623
23,88.4490904192153
24,88.4155210856538
25,87.7593932024074
26,87.2863707749507
27,87.1765075014768
28,86.9567809545292
29,87.4694762307404
30,86.5051208302479
31,86.2396179193529
32,86.8011413171079
33,85.6933533095803
34,85.1776062757726
35,85.9466491900893
36,85.1074158510532
37,86.1877380402125
38,85.7086120975627
39,84.5580994836841
40,84.7869813034212
41,84.6527039691755
42,84.933465668053
43,85.6567322184223
44,84.6618592419649
45,85.0921570630707
46,84.5855653020526
47,85.4492127018607
48,85.1928650637551
49,83.5266054160688
50,84.2010438448942
51,84.1583192385433
52,84.4299256646313
53,84.9029480920881
54,84.3017518455785
55,83.9416444491921
56,83.9050233580342
57,84.649652211579
58,83.9660585099641
59,84.4024598462629
60,84.2040956024907
61,84.6801697875439
62,85.8306824014225
63,85.9313904021069
64,76.5411322776917
65,77.4566595566402
66,80.1727238175208
67,84.8541199705441
68,89.1998227879531
69,90.1763852188315
70,91.085808982587
71,91.2719661959732
72,90.4174740689546
73,88.9434751498475
74,88.0584654468639
75,87.1612487134944
76,85.9344421597034
77,85.6231628848609
78,85.1470886998077
79,85.4705750050361
80,84.909051607281
81,83.2153261412263
82,83.5296571736653
83,82.3638857718042
84,82.0129336482073
85,83.2092226260333
86,83.2458437171913
87,82.5988711067343
88,83.2580507475772
89,83.9141786308237
90,83.2427919595948
91,82.3150576502603
92,82.8643740176294
93,81.9763125570493
94,82.8857363208049
95,82.6476992282782
96,82.4096621357516
97,83.2275331716123
98,82.775873047331
99,83.3251894147001
100,83.9996278435255
101,83.7951600845604
102,83.3099306267177
103,83.4930360825074
104,83.2549989899807
105,83.5266054160688
106,82.6995791074186
107,81.0455264901183
108,82.3791445597867
109,82.171625043225
110,82.5591982579799
111,83.7493837206129
112,83.2366884444018
113,83.398431597016
114,83.7768495389814
115,82.1075381336986
116,81.7626895252947
117,82.504266621243
118,81.881708071558
119,83.0352724430331
120,82.8460634720504
121,82.5591982579799
122,82.7453554713661
123,83.9019716004377
124,83.6425722047356
125,82.8979433511908
126,83.4533632337529
127,82.5927675915413
128,83.3373964450861
129,83.6181581439637
130,83.0932558373665
131,84.0301454194905
132,83.4442079609634
133,82.9559267455242
134,82.5286806820149
135,82.5073183788395
136,82.7423037137696
137,83.4869325673144
138,83.9263856612097
139,83.2275331716123
140,83.1603945044894
141,82.3486269838217
142,83.3831728090335
143,83.4747255369284
144,82.7056826226116
145,82.9467714727348
146,82.5897158339448
147,82.8155458960855
148,82.516473651629
149,83.6334169319461
150,82.7911318353135
151,83.0200136550506
152,78.2867376228868
153,98.3611990926311
154,57.3547322685275
155,42.0837372556664
156,44.6746794550906
157,44.4580046657395
158,45.996090494373
159,47.5707974141644
160,48.5778774210078
161,47.3419155944273
162,50.878902648765
163,45.5108610365303
164,46.7040982567598
165,52.74657829782
166,54.1168174586463
167,53.9092979420846
168,53.8330040021722
169,51.6387902902923
170,53.5095176969437
171,52.2766076279598
172,52.4810753869249
173,51.9317590195558
174,52.3620568406616
175,53.7567100622598
176,53.1555138157503
177,53.2073936948907
178,53.0578575726625
179,51.6387902902923
180,53.0395470270835
181,52.9846153903466
182,54.2907676416465
183,51.9531213227313
184,53.1982384221013
185,51.9683801107138
186,52.2888146583457
187,52.6275597515567
188,52.136226778521
189,52.2338830216088
190,50.9918176798353
191,52.2857629007492
192,51.9287072619593
193,54.3273887328044
194,54.1717490953832
195,52.770992358592
196,52.4108849622055
197,53.1616173309433
198,52.4017296894161
199,50.2166712503256
200,50.2319300383081
201,51.4465295617131
202,49.2919886985876
203,50.5371057979576
204,51.7150842302047
205,50.9613001038704
206,51.211544226783
207,51.4556848345026
208,49.2095912434823
209,51.5899621687484
210,59.2315631903719
211,76.321405730744
212,60.3179888947241
213,71.8872019430368
214,66.0675002065208
215,68.5485791324712
216,69.287104470823
217,68.68895998191
218,69.1680859245597
219,68.8934277408752
220,69.7204540495253
221,69.2047070157176
222,71.4111277579836
223,71.8292185487034
