"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",282,21.0266098398507,4443.85
1,"APD 50",473.1,-4.21142548316313,4634.95
1,"APD 90",641.5,-37.9028293484682,4803.35
2,"APD 20",263.15,21.7895492389745,6364.85
2,"APD 50",459.95,-3.41796850807443,6561.65
2,"APD 90",628.849999999999,-36.8652317656599,6730.55
3,"APD 20",278.25,22.5524886380982,8332.9
3,"APD 50",458.699999999999,-3.41796850807443,8513.35
3,"APD 90",605.199999999999,-37.7502414686434,8659.85
4,"APD 20",244.300000000001,22.8576643977477,9884.9
4,"APD 50",424.150000000001,-2.83813456474037,10064.75
4,"APD 90",607.1,-37.1398899493444,10247.7
5,"APD 20",224.5,22.7966292458178,11333.15
5,"APD 50",392.4,-2.44140607719602,11501.05
5,"APD 90",571.199999999999,-36.163327518466,11679.85
6,"APD 20",217.799999999999,21.8200668149394,12769.25
6,"APD 50",402.35,-2.92968729263522,12953.8
6,"APD 90",573.85,-35.8886693347815,13125.3
7,"APD 20",233.25,22.1862777265188,14239.1
7,"APD 50",380.950000000001,-2.68554668491562,14386.8
7,"APD 90",545.15,-35.8581517588165,14551
8,"APD 20",228.200000000001,22.5830062140632,15690.2
8,"APD 50",370,-1.98364243772177,15832
8,"APD 90",513.300000000001,-34.7900366000433,15975.3
9,"APD 20",206.349999999999,25.2990704749437,17100.85
9,"APD 50",386.049999999999,-0.427246063509303,17280.55
9,"APD 90",539.299999999999,-34.7595190240783,17433.8
10,"APD 20",169.149999999998,22.0336898466941,18460.95
10,"APD 50",301.649999999998,-2.01416001368672,18593.45
10,"APD 90",447.049999999999,-34.0881323528494,18738.85
11,"APD 20",185.400000000001,22.9492171256426,19918.75
11,"APD 50",335.5,-1.34277334245781,20068.85
11,"APD 90",487.650000000001,-33.7829565931999,20221
12,"APD 20",148.75,19.4702134656383,20961.25
12,"APD 50",265.5,-3.29589820421463,21078
12,"APD 90",461.25,-33.6914038653051,21273.75
13,"APD 20",188,21.5454086312549,22237.5
13,"APD 50",300.650000000001,-1.34277334245781,22350.15
13,"APD 90",453.350000000002,-31.890866883373,22502.85
14,"APD 20",186.349999999999,22.6135237900281,23511.15
14,"APD 50",320.149999999998,-1.03759758280831,23644.95
14,"APD 90",482.449999999997,-32.6538062824968,23807.25
15,"APD 20",179.25,21.2097152956404,24736.1
15,"APD 50",309.450000000001,-1.73950183000216,24866.3
15,"APD 90",462.349999999999,-32.2570777949524,25019.2
16,"APD 20",177.25,21.6064437831848,25964.1
16,"APD 50",296.25,-1.19018546263306,26083.1
16,"APD 90",463.649999999998,-31.5551735477585,26250.5
17,"APD 20",149.049999999999,17.4255358759866,27143.5
17,"APD 50",259.150000000001,-3.17382790035482,27253.6
17,"APD 90",446.350000000002,-30.670163844775,27440.8
18,"APD 20",153.900000000001,21.3928207514301,28485.6
18,"APD 50",284.25,-1.06811515877326,28615.95
18,"APD 90",442.799999999999,-31.0058571803894,28774.5
19,"APD 20",180.700000000001,20.4467758965167,29667.7
19,"APD 50",295.100000000002,-2.31933577333622,29782.1
19,"APD 90",503.100000000002,-32.6538062824968,29990.1
20,"APD 20",133.600000000002,16.9677722365123,30889.9
20,"APD 50",227.550000000003,-2.96020486860017,30983.85
20,"APD 90",399.900000000001,-29.5410135340718,31156.2
21,"APD 20",124.299999999999,14.8315419189658,31957.7
21,"APD 50",244.649999999998,-5.37109336983124,32078.05
21,"APD 90",460.450000000001,-32.3486305228472,32293.85
22,"APD 20",165.599999999999,19.5617661935331,33385.95
22,"APD 50",289.549999999996,-2.53295880509087,33509.9
22,"APD 90",464.599999999999,-31.9519020353029,33684.95
23,"APD 20",178.849999999999,16.6625964768628,34709.85
23,"APD 50",301.75,-4.18090790719818,34832.75
23,"APD 90",507.299999999996,-32.0129371872328,35038.3
24,"APD 20",103.199999999997,11.1389152272068,35814.95
24,"APD 50",201.25,-6.40869095263955,35913
24,"APD 90",378.449999999997,-29.7851541417914,36090.2
25,"APD 20",94.0999999999985,11.2304679551017,36945.55
25,"APD 50",184.449999999997,-6.28662064877975,37035.9
25,"APD 90",1814.35,-29.6325662619667,38665.8
26,"APD 20",149.199999999997,33.5082984095154,39713.65
26,"APD 50",239.5,7.72094671913241,39803.95
26,"APD 90",334.900000000001,-26.7028789693315,39899.35
27,"APD 20",153,33.3557105296906,40647.55
27,"APD 50",243.900000000001,6.0729976170251,40738.45
27,"APD 90",341.050000000003,-30.2429177812657,40835.6
28,"APD 20",147.600000000006,32.8369117382865,41494.75
28,"APD 50",235.550000000003,5.58471640158589,41582.7
28,"APD 90",348.75,-30.7311989967049,41695.9
29,"APD 20",140.599999999999,32.1960426430225,42365.9
29,"APD 50",220.849999999999,6.5002436805344,42446.15
29,"APD 90",316.150000000001,-27.6794414002099,42541.45
30,"APD 20",124.75,31.4025856679338,43136.75
30,"APD 50",204.849999999999,5.98144488913025,43216.85
30,"APD 90",315.949999999997,-27.8930644319645,43327.95
31,"APD 20",100.400000000001,29.3579080782821,43898.35
31,"APD 50",172.5,5.58471640158589,43970.45
31,"APD 90",272.199999999997,-26.1535626019624,44070.15
32,"APD 20",87.5999999999985,26.1230450259974,44580
32,"APD 50",150.550000000003,3.96728487544353,44642.95
32,"APD 90",250,-25.5432110826633,44742.4
33,"APD 20",74.0499999999956,24.1394025882756,45236
33,"APD 50",136.049999999996,3.02124002053007,45298
33,"APD 90",260.349999999999,-25.115965019154,45422.3
34,"APD 20",67,22.674558941958,45896.7
34,"APD 50",120.5,2.59399395702077,45950.2
34,"APD 90",233.650000000001,-24.2004377402055,46063.35
35,"APD 20",58.8499999999985,21.5454086312549,46530.55
35,"APD 50",117.199999999997,2.25830062140632,46588.9
35,"APD 90",237.799999999996,-23.4680159170467,46709.5
36,"APD 20",50.25,17.150877692302,47164.45
36,"APD 50",101.75,0.0305175759649502,47215.95
36,"APD 90",223.900000000001,-22.7966292458178,47338.1
37,"APD 20",44.2999999999956,15.2282704065102,47748.25
37,"APD 50",98.0999999999985,-1.19018546263306,47802.05
37,"APD 90",224.599999999999,-23.0407698535374,47928.55
38,"APD 20",49.0500000000029,14.8925770708957,48390.1
38,"APD 50",93,-0.671386671228905,48434.05
38,"APD 90",189.800000000003,-21.5454086312549,48530.85
39,"APD 20",46.5499999999956,17.0593249644072,49008.9
39,"APD 50",95.25,0.122070303859801,49057.6
39,"APD 90",215,-22.4609359102034,49177.35
40,"APD 20",55.9500000000044,15.6555164700195,49621.2
40,"APD 50",103.25,-0.610351519299005,49668.5
40,"APD 90",211.100000000006,-22.3388656063436,49776.35
41,"APD 20",58.75,17.4560534519515,50248.6
41,"APD 50",108.649999999994,0.183105455789701,50298.5
41,"APD 90",214.699999999997,-22.8881819737127,50404.55
42,"APD 20",50.4499999999971,12.6037588735244,50841.8
42,"APD 50",97.3499999999985,-2.71606426088057,50888.7
42,"APD 90",208.549999999996,-23.1018050054673,50999.9
43,"APD 20",41.4500000000044,10.5285637079078,51402.35
43,"APD 50",87,-3.99780245140848,51447.9
43,"APD 90",191.700000000004,-23.1933577333622,51552.6
44,"APD 20",60.9499999999971,18.9514146742341,52019.65
44,"APD 50",112.099999999999,1.00708000684336,52070.8
44,"APD 90",223.75,-22.8881819737127,52182.45
45,"APD 20",54.0999999999985,19.1650377059887,52634.15
45,"APD 50",107.449999999997,1.00708000684336,52687.5
45,"APD 90",233.800000000003,-23.1933577333622,52813.85
46,"APD 20",45.5499999999956,14.8010243430009,53239.25
46,"APD 50",94.6500000000015,-1.31225576649286,53288.35
46,"APD 90",188.5,-22.7355940938879,53382.2
47,"APD 20",61.9499999999971,22.9797347016075,53926.3
47,"APD 50",115.949999999997,3.57055638789918,53980.3
47,"APD 90",211.449999999997,-22.2167953024838,54075.8
48,"APD 20",62.8000000000029,21.8811019668693,54543.8
48,"APD 50",118.800000000003,1.61743152614236,54599.8
48,"APD 90",232.800000000003,-25.4211407788035,54713.8
49,"APD 20",62.0499999999956,23.9868147084509,55197.9
49,"APD 50",112.099999999999,3.20434547631977,55247.95
49,"APD 90",212.149999999994,-24.53613107582,55348
50,"APD 20",67,23.3764631891519,55818.8
50,"APD 50",119.300000000003,3.14331032438987,55871.1
50,"APD 90",215.199999999997,-23.8647444045911,55967
51,"APD 20",76.8499999999985,25.7873516903829,56476.8
51,"APD 50",137.900000000001,4.02832002737343,56537.85
51,"APD 90",246.349999999999,-25.0549298672241,56646.3
52,"APD 20",66.75,22.2167953024838,57122.05
52,"APD 50",114.949999999997,2.07519516561662,57170.25
52,"APD 90",215.650000000001,-24.8718244114344,57270.95
53,"APD 20",63.3000000000029,21.5759262072198,57728.85
