"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",53.8999999999996,6.71386671228905,7662.7
1,"APD 50",105.25,-10.406493404048,7714.05
1,"APD 90",245.8,-33.2641578017958,7854.6
2,"APD 20",75.8000000000011,6.95800732000865,15287.15
2,"APD 50",135.049999999999,-11.3220206829965,15346.4
2,"APD 90",929.049999999999,-35.6140111510969,16140.4
3,"APD 20",61.3499999999985,20.3857407445868,18024.7
3,"APD 50",98.1500000000015,-2.62451153298572,18061.5
3,"APD 90",136.099999999999,-33.1726050739009,18099.45
4,"APD 20",77.6000000000022,26.4587383616119,21318.05
4,"APD 50",123.150000000001,0.671386671228905,21363.6
4,"APD 90",185.25,-33.5388159854803,21425.7
5,"APD 20",81.9500000000007,28.9916971667027,23200.65
5,"APD 50",136.350000000002,2.92968729263522,23255.05
5,"APD 90",195.150000000001,-31.8298317314431,23313.85
6,"APD 20",83.8500000000022,28.6560038310883,24960.8
6,"APD 50",134.450000000001,2.89916971667027,25011.4
6,"APD 90",214.400000000001,-31.4941383958286,25091.35
7,"APD 20",84.4500000000007,28.9306620147728,26698.95
7,"APD 50",139,3.11279274842492,26753.5
7,"APD 90",311.850000000002,-31.280515364074,26926.35
8,"APD 20",75.5999999999985,28.7780741349481,28099.4
8,"APD 50",125.899999999998,3.11279274842492,28149.7
8,"APD 90",194.25,-31.1584450602142,28218.05
9,"APD 20",92.3000000000029,30.2124002053007,29708.3
9,"APD 50",149.75,4.79125942649719,29765.75
9,"APD 90",207.950000000001,-29.0527323186326,29823.95
10,"APD 20",83.5,28.9611795907378,31409.5
10,"APD 50",131.049999999999,4.02832002737343,31457.05
10,"APD 90",198.100000000002,-29.3273905023172,31524.1
11,"APD 20",87.7499999999964,29.1137674705625,32798.9
11,"APD 50",136.200000000001,4.24194305912808,32847.35
11,"APD 90",191.350000000002,-29.0222147426677,32902.5
12,"APD 20",79.0500000000029,30.1513650533708,34445.95
12,"APD 50",138.5,5.15747033807659,34505.4
12,"APD 90",220.75,-28.0761698877542,34587.65
13,"APD 20",82.8499999999985,29.8767068696863,35786.85
13,"APD 50",134.799999999996,4.36401336298788,35838.8
13,"APD 90",203.849999999999,-29.449460806177,35907.85
14,"APD 20",85.4000000000015,29.7241189898615,37442.6
14,"APD 50",144.449999999997,5.06591761018174,37501.65
14,"APD 90",208.150000000001,-27.8625468559996,37565.35
15,"APD 20",90.1500000000015,29.9987771735461,38893.95
15,"APD 50",144.849999999999,4.97436488228689,38948.65
15,"APD 90",199.349999999999,-28.4423807993336,39003.15
16,"APD 20",63.4499999999971,28.9611795907378,40214.05
16,"APD 50",105,4.79125942649719,40255.6
16,"APD 90",146.400000000001,-27.4047832165253,40297
17,"APD 20",34.0999999999985,20.3552231686218,40751.65
17,"APD 50",61.9500000000044,0.549316367369104,40779.5
17,"APD 90",146.300000000003,-25.8483868423128,40863.85
18,"APD 20",64.4499999999971,28.3813456474037,41875.7
18,"APD 50",111.799999999996,4.66918912263739,41923.05
18,"APD 90",173.799999999996,-26.8859844251212,41985.05
19,"APD 20",55.1500000000015,27.9846171598594,43027.05
19,"APD 50",98,4.63867154667244,43069.9
19,"APD 90",179.350000000006,-26.4892559375768,43151.25
20,"APD 20",60.1000000000058,28.198240191614,44683.35
20,"APD 50",103.650000000001,4.51660124281264,44726.9
20,"APD 90",204.950000000004,-26.9165020010861,44828.2
21,"APD 20",69.0500000000029,28.5644511031934,46095.05
21,"APD 50",118.25,4.48608366684768,46144.25
21,"APD 90",193.650000000001,-27.587888672315,46219.65
22,"APD 20",50.8499999999985,26.8249492731913,47331.2
22,"APD 50",88.5999999999985,4.08935517930333,47368.95
22,"APD 90",127.149999999994,-26.1230450259974,47407.5
23,"APD 20",33.5500000000029,21.484373479325,48033.45
23,"APD 50",62,1.37329091842276,48061.9
23,"APD 90",172.450000000004,-25.4516583547685,48172.35
24,"APD 20",57.3000000000029,27.0690898809109,49271.45
24,"APD 50",102.300000000003,4.18090790719818,49316.45
24,"APD 90",177.099999999999,-26.367185633717,49391.25
25,"APD 20",50.5,25.756834114418,50486.9
25,"APD 50",92.2000000000044,3.08227517245997,50528.6
25,"APD 90",193.950000000004,-27.1911601847707,50630.35
26,"APD 20",57.0999999999985,27.0690898809109,51664.3
26,"APD 50",95.9000000000015,4.48608366684768,51703.1
26,"APD 90",151.799999999996,-25.6347638105582,51759
27,"APD 20",56.6999999999971,27.2827129126655,53550.05
27,"APD 50",102.549999999996,4.57763639474254,53595.9
27,"APD 90",171.899999999994,-25.726316538453,53665.25
28,"APD 20",57.4500000000044,27.4047832165253,54842.95
28,"APD 50",101.300000000003,4.21142548316313,54886.8
28,"APD 90",175.450000000004,-26.6418438174016,54960.95
29,"APD 20",53.5500000000029,26.5808086654717,56038.1
29,"APD 50",97.3499999999985,3.93676729947858,56081.9
29,"APD 90",160.75,-26.1840801779273,56145.3
30,"APD 20",24.9499999999971,16.5100085970381,56641.9
30,"APD 50",47.7999999999956,-1.25122061456296,56664.75
30,"APD 90",87.9499999999971,-24.8718244114344,56704.9
31,"APD 20",55.0500000000029,47.1191372898832,57252.05
31,"APD 50",96.25,16.6320789008979,57293.25
31,"APD 90",335.700000000004,-17.181395268267,57532.7
