"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",37.35,14.0075673679122,579.25
1,"APD 50",69.85,-1.03759758280831,611.75
1,"APD 90",148.2,-21.1486801437105,690.1
2,"APD 20",37.0999999999999,14.709471615106,1228.35
2,"APD 50",73.8999999999999,-1.22070303859801,1265.15
2,"APD 90",166.3,-22.3693831823085,1357.55
3,"APD 20",35.05,10.7421867396625,1972.05
3,"APD 50",69.3500000000001,-3.44848608403938,2006.35
3,"APD 90",162.2,-22.2167953024838,2099.2
4,"APD 20",28.4000000000001,6.95800732000865,2693.6
4,"APD 50",59.9499999999998,-5.37109336983124,2725.15
4,"APD 90",139.65,-21.8200668149394,2804.85
5,"APD 20",27.3499999999999,2.65502910895067,3387.2
5,"APD 50",54.3999999999996,-8.45336854229122,3414.25
5,"APD 90",128.55,-23.2543928852921,3488.4
6,"APD 20",35.6000000000004,-2.16674789351147,4083.45
6,"APD 50",72.5500000000002,-11.8713370503656,4120.4
6,"APD 90",145.3,-24.8107892595045,4193.15
7,"APD 20",32.8000000000002,12.3596182658048,4783.15
7,"APD 50",63.25,-2.96020486860017,4813.6
7,"APD 90",138,-23.4680159170467,4888.35
8,"APD 20",29.3999999999996,8.42285096632627,5703.3
8,"APD 50",58.25,-5.09643518614669,5732.15
8,"APD 90",126.55,-23.1323225814323,5800.45
9,"APD 20",36.1999999999998,15.1062001026504,6502.65
9,"APD 50",72.25,-1.52587879824751,6538.7
9,"APD 90",145.099999999999,-23.7121565247663,6611.55
10,"APD 20",42.8500000000004,15.5334461661597,7192.65
10,"APD 50",84.1999999999998,-1.77001940596711,7234
10,"APD 90",163.7,-24.7802716835396,7313.5
11,"APD 20",41.0500000000002,14.9841297987906,7896.9
11,"APD 50",75.0500000000002,-2.10571274158157,7930.9
11,"APD 90",161.9,-24.8718244114344,8017.75
12,"APD 20",39.6999999999989,15.930174653704,8655.6
12,"APD 50",79.1999999999989,-1.58691395017741,8695.1
12,"APD 90",166.25,-24.9328595633643,8782.15
13,"APD 20",40,14.6484364631761,9281.75
13,"APD 50",80.1999999999989,-2.71606426088057,9321.95
13,"APD 90",188.549999999999,-25.6652813865231,9430.3
14,"APD 20",35.3999999999996,10.9863273473821,9975.1
14,"APD 50",72.6499999999996,-4.51660124281264,10012.35
14,"APD 90",185.300000000001,-25.0549298672241,10125
15,"APD 20",32.8999999999996,6.95800732000865,10798.35
15,"APD 50",69.7000000000007,-6.5002436805344,10835.15
15,"APD 90",148.25,-24.4750959238901,10913.7
16,"APD 20",39.3999999999996,12.9699697851038,11486.85
16,"APD 50",78.3500000000004,-2.96020486860017,11525.8
16,"APD 90",167.6,-24.2919904681004,11615.05
17,"APD 20",32.1000000000004,8.45336854229122,12278.6
17,"APD 50",66.9000000000015,-5.58471640158589,12313.4
17,"APD 90",158.5,-24.2919904681004,12405
18,"APD 20",34.3999999999996,13.7329091842276,13065.35
18,"APD 50",73.7999999999993,-3.32641578017958,13104.75
18,"APD 90",166.9,-26.0925274500324,13197.85
19,"APD 20",40.5,15.319823134405,13814.8
19,"APD 50",78.6999999999989,-2.31933577333622,13853
19,"APD 90",161.25,-25.8789044182778,13935.55
20,"APD 20",43.5500000000011,15.5639637421246,14525.65
20,"APD 50",85.6000000000004,-2.96020486860017,14567.7
20,"APD 90",184.200000000001,-27.61840624828,14666.3
21,"APD 20",48.3499999999985,16.9677722365123,15375.9
21,"APD 50",91.2999999999993,-1.37329091842276,15418.85
21,"APD 90",191.449999999999,-25.756834114418,15519
22,"APD 20",41.6000000000004,15.8691395017741,16191.05
22,"APD 50",83.7999999999993,-1.86157213386196,16233.25
22,"APD 90",175.6,-25.4516583547685,16325.05
23,"APD 20",41.0999999999985,13.1835928168585,17124.2
23,"APD 50",78.9000000000015,-3.50952123596928,17162
23,"APD 90",181.349999999999,-25.8178692663479,17264.45
24,"APD 20",40.7999999999993,14.0686025198421,17873.55
24,"APD 50",82.6999999999971,-2.99072244456512,17915.45
24,"APD 90",183.199999999997,-25.726316538453,18015.95
25,"APD 20",42.8499999999985,13.519286152473,18633.65
25,"APD 50",86,-3.38745093210948,18676.8
25,"APD 90",208,-25.9399395702077,18798.8
26,"APD 20",30.8499999999985,8.66699157404587,19386.65
26,"APD 50",65.2000000000007,-5.43212852176114,19421
26,"APD 90",165.849999999999,-24.2919904681004,19521.65
27,"APD 20",29.7999999999993,1.31225576649286,20088.3
27,"APD 50",68.1499999999978,-10.3454582521181,20126.65
27,"APD 90",194.399999999998,-25.8178692663479,20252.9
28,"APD 20",29.5500000000029,6.46972610456945,20848.25
28,"APD 50",61.75,-7.20214792772826,20880.45
28,"APD 90",168.600000000002,-25.4516583547685,20987.3
29,"APD 20",31.25,10.0708000684336,21675.5
29,"APD 50",64.4499999999971,-4.79125942649719,21708.7
29,"APD 90",146.549999999999,-24.6582013796798,21790.8
30,"APD 20",37.25,11.4135734108914,22429.5
30,"APD 50",74.2000000000007,-4.63867154667244,22466.45
30,"APD 90",176.050000000003,-26.1535626019624,22568.3
31,"APD 20",37.3000000000029,13.9465322159823,23333.3
31,"APD 50",74.1000000000022,-3.20434547631977,23370.1
31,"APD 90",159.600000000002,-26.0925274500324,23455.6
32,"APD 20",45.1000000000022,15.3808582863349,24127.3
32,"APD 50",84,-3.14331032438987,24166.2
32,"APD 90",171.150000000001,-27.9235820079295,24253.35
33,"APD 20",43.75,17.3339831480917,25017.35
33,"APD 50",87.25,-1.61743152614236,25060.85
