"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",68.4499999999999,15.960692229669,656.1
1,"APD 50",135.6,-11.3830558349264,723.25
1,"APD 90",209.95,-47.821041537077,797.6
2,"APD 20",72.0999999999999,16.6625964768628,1130.2
2,"APD 50",143.35,-10.8947746194872,1201.45
2,"APD 90",223.35,-47.6989712332172,1281.45
3,"APD 20",64.3000000000002,15.960692229669,1576.3
3,"APD 50",128.85,-11.4746085628213,1640.85
3,"APD 90",206.4,-47.9431118409368,1718.4
4,"APD 20",73.8499999999999,16.8457019326525,2027.2
4,"APD 50",142.3,-10.9558097714171,2095.65
4,"APD 90",217.85,-47.9125942649719,2171.2
5,"APD 20",65.6500000000001,16.1743152614236,2446.25
5,"APD 50",133.55,-11.1389152272068,2514.15
5,"APD 90",216.1,-47.6684536572523,2596.7
6,"APD 20",66.4000000000001,16.6931140528278,2892.7
6,"APD 50",133.15,-10.6201164358027,2959.45
6,"APD 90",211.9,-47.0275845619883,3038.2
7,"APD 20",61.8999999999996,16.3879382931783,3348.5
7,"APD 50",125.9,-10.6201164358027,3412.5
7,"APD 90",202.6,-46.6613736504089,3489.2
8,"APD 20",67.6499999999996,16.9067370845824,3804.5
8,"APD 50",132.65,-10.3454582521181,3869.5
8,"APD 90",205.75,-46.7529263783038,3942.6
9,"APD 20",71.3999999999996,17.2729479961618,4236.9
9,"APD 50",136.599999999999,-10.0708000684336,4302.1
9,"APD 90",217.65,-46.5393033465491,4383.15
10,"APD 20",63.5,16.4184558691432,4657.1
10,"APD 50",126.900000000001,-10.7421867396625,4720.5
10,"APD 90",202.400000000001,-46.9970669860234,4796
11,"APD 20",65.4499999999998,16.3574207172133,5105.95
11,"APD 50",129.7,-10.4675285559779,5170.2
11,"APD 90",208.049999999999,-46.1425748590048,5248.55
12,"APD 20",71.5999999999995,17.3950183000216,5528.25
12,"APD 50",137.05,-10.1013176443985,5593.7
12,"APD 90",222,-46.7834439542687,5678.65
13,"APD 20",70.1999999999998,17.4865710279165,5948.6
13,"APD 50",135.65,-10.0402824924686,6014.05
13,"APD 90",216.4,-46.7224088023388,6094.8
14,"APD 20",68.3499999999995,17.2119128442319,6386.25
14,"APD 50",129.9,-9.73510673281913,6447.8
14,"APD 90",208.849999999999,-45.6542936435656,6526.75
15,"APD 20",68.0999999999995,17.8832995154608,6854
15,"APD 50",133.8,-8.97216733369537,6919.7
15,"APD 90",215.599999999999,-44.8303190925119,7001.5
16,"APD 20",73.25,18.3715807309,7304.05
16,"APD 50",138.2,-8.72802672597577,7369
16,"APD 90",213.2,-44.8913542444418,7444
17,"APD 20",68.4000000000005,17.2119128442319,7732.6
17,"APD 50",130.1,-9.49096612509952,7794.3
17,"APD 90",205.650000000001,-45.1049772761964,7869.85
18,"APD 20",67.25,17.7307116356361,8147.4
18,"APD 50",130,-9.15527278948507,8210.15
18,"APD 90",210.299999999999,-44.769283940582,8290.45
19,"APD 20",73.3500000000004,18.6157213386196,8594.95
19,"APD 50",139.950000000001,-8.33129823843142,8661.55
19,"APD 90",219.700000000001,-44.2504851491778,8741.3
20,"APD 20",69.4000000000015,17.3339831480917,9018.5
20,"APD 50",131.950000000001,-9.00268490966032,9081.05
20,"APD 90",222.800000000001,-44.158932421283,9171.9
21,"APD 20",76.3999999999996,18.0053698193206,9482.9
21,"APD 50",139.799999999999,-8.23974551053656,9546.3
21,"APD 90",224.849999999999,-43.3044402942644,9631.35
22,"APD 20",78.8000000000011,18.8903795223042,9967.75
22,"APD 50",147.75,-7.47680611141281,10036.7
22,"APD 90",225.35,-42.8161590788252,10114.3
23,"APD 20",77.1999999999989,18.3105455789701,10409.2
23,"APD 50",144.049999999999,-8.20922793457161,10476.05
23,"APD 90",228.449999999999,-43.6401336298788,10560.45
24,"APD 20",83.0499999999993,19.7753892252878,10898.55
24,"APD 50",151.4,-6.77490186421895,10966.9
24,"APD 90",232.849999999999,-42.0532196797014,11048.35
25,"APD 20",79.1000000000004,19.012449826164,11355.1
25,"APD 50",144.150000000001,-7.35473580755301,11420.15
25,"APD 90",229.700000000001,-42.3889130153159,11505.7
26,"APD 20",78.75,18.8293443703743,11832.7
26,"APD 50",141.9,-7.38525338351796,11895.85
26,"APD 90",223.799999999999,-42.2363251354911,11977.75
27,"APD 20",81.4500000000007,19.8364243772177,12327.55
27,"APD 50",147.35,-6.34765580070965,12393.45
27,"APD 90",229.300000000001,-41.1682099767179,12475.4
28,"APD 20",78.1999999999989,19.4702134656383,12801.6
28,"APD 50",144,-6.5612788324643,12867.4
28,"APD 90",225,-41.3513154325076,12948.4
29,"APD 20",77.6499999999996,18.9514146742341,13249.85
29,"APD 50",140.9,-7.29370065562311,13313.1
29,"APD 90",222.4,-42.297360287421,13394.6
30,"APD 20",68.1999999999989,18.1884752751103,13657.1
30,"APD 50",127.4,-7.75146429509736,13716.3
30,"APD 90",216.799999999999,-42.3889130153159,13805.7
31,"APD 20",77.1000000000004,18.6462389145846,14105.15
31,"APD 50",139.5,-7.26318307965816,14167.55
31,"APD 90",221.15,-41.7785614960169,14249.2
32,"APD 20",78.6499999999996,19.4091783137084,14562.55
32,"APD 50",142.849999999999,-6.65283156035915,14626.75
32,"APD 90",231.599999999999,-41.3207978565426,14715.5
33,"APD 20",75.2999999999993,18.8598619463392,15033.35
33,"APD 50",132.299999999999,-6.77490186421895,15090.35
33,"APD 90",220.85,-41.0461396728581,15178.9
34,"APD 20",73.5,18.8293443703743,15485
34,"APD 50",132.75,-6.744384288254,15544.25
34,"APD 90",219.25,-40.8019990651385,15630.75
35,"APD 20",78.4500000000007,19.1955552819537,15958.85
35,"APD 50",140.550000000001,-6.6223139843942,16020.95
35,"APD 90",224.150000000001,-41.076657248823,16104.55
36,"APD 20",71.7000000000007,19.012449826164,16423.6
36,"APD 50",130.150000000001,-6.46972610456945,16482.05
36,"APD 90",210.850000000002,-40.496823305489,16562.75
37,"APD 20",78.7000000000007,18.981932250199,16873.55
37,"APD 50",141.150000000001,-6.8664545921138,16936
37,"APD 90",232.900000000001,-41.4123505844375,17027.75
38,"APD 20",81.3500000000022,19.8059068012527,17368.05
38,"APD 50",150.200000000001,-6.0119624650952,17436.9
38,"APD 90",232.350000000002,-40.2221651218044,17519.05
39,"APD 20",79.0999999999985,19.7143540733579,17865.9
39,"APD 50",138.799999999999,-5.70678670544569,17925.6
39,"APD 90",219.399999999998,-39.5812960265405,18006.2
40,"APD 20",81.5999999999985,19.5312486175682,18349.45
40,"APD 50",142.450000000001,-5.9509273131653,18410.3
40,"APD 90",227.700000000001,-39.855954210225,18495.55
41,"APD 20",82.25,19.6838364973929,18836.65
41,"APD 50",144.600000000002,-5.70678670544569,18899
41,"APD 90",227.600000000002,-39.6423311784704,18982
42,"APD 20",88.2999999999993,19.9584946810775,19353.55
42,"APD 50",155.549999999999,-5.52368124965599,19420.8
42,"APD 90",236.099999999999,-39.5507784505755,19501.35
43,"APD 20",91.5499999999993,19.622801345463,19862.35
43,"APD 50",159.899999999998,-6.10351519299005,19930.7
43,"APD 90",242.899999999998,-40.3137178496993,20013.7
44,"APD 20",88.1500000000015,19.5312486175682,20380.6
44,"APD 50",153.900000000001,-5.82885700930549,20446.35
44,"APD 90",232.5,-39.7338839063652,20524.95
45,"APD 20",85.8499999999985,18.8293443703743,20843.7
45,"APD 50",152.400000000001,-6.6833491363241,20910.25
45,"APD 90",238.25,-40.8019990651385,20996.1
46,"APD 20",93.5,18.9514146742341,21336.3
46,"APD 50",160.5,-6.40869095263955,21403.3
46,"APD 90",245.349999999999,-40.2526826977694,21488.15
47,"APD 20",92.5999999999985,19.9584946810775,21869
47,"APD 50",161.900000000001,-5.67626912948074,21938.3
