"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",32.8,25.6347638105582,367.25
1,"APD 50",59.45,-5.55419882562094,393.9
1,"APD 90",122.45,-47.210690017778,456.9
2,"APD 20",32.2,26.3061504817871,729.45
2,"APD 50",58.1,-5.24902306597144,755.35
2,"APD 90",118.75,-47.3327603216378,816
3,"APD 20",31.7,25.8789044182778,1077.75
3,"APD 50",57.75,-5.43212852176114,1103.8
3,"APD 90",119.05,-47.1801724418131,1165.1
4,"APD 20",30.75,24.8413068354695,1447.3
4,"APD 50",55.6499999999999,-5.98144488913025,1472.2
4,"APD 90",117.4,-47.0581021379533,1533.95
5,"APD 20",31.45,25.0549298672241,1802.95
5,"APD 50",56.8500000000001,-5.82885700930549,1828.35
5,"APD 90",121,-47.0275845619883,1892.5
6,"APD 20",32.0499999999997,25.9704571461726,2155.55
6,"APD 50",58.5499999999997,-5.37109336983124,2182.05
6,"APD 90",119.45,-46.9970669860234,2242.95
7,"APD 20",31.3499999999999,26.1840801779273,2510.3
7,"APD 50",58.8499999999999,-5.21850549000649,2537.8
7,"APD 90",120.5,-47.1496548658481,2599.45
8,"APD 20",32.75,26.4282207856469,2838.7
8,"APD 50",62.5,-5.03540003421679,2868.45
8,"APD 90",121.35,-47.0581021379533,2927.3
9,"APD 20",32.4000000000001,26.1535626019624,3175.6
9,"APD 50",59.4000000000001,-5.15747033807659,3202.6
9,"APD 90",117.95,-46.9360318340935,3261.15
10,"APD 20",31.4499999999998,25.8483868423128,3517.5
10,"APD 50",58.5500000000002,-5.43212852176114,3544.6
10,"APD 90",119.6,-47.241207593743,3605.65
11,"APD 20",30.9000000000001,25.8178692663479,3860.25
11,"APD 50",60.1000000000004,-5.34057579386629,3889.45
11,"APD 90",121.9,-46.9055142581285,3951.25
12,"APD 20",32,25.9704571461726,4201.6
12,"APD 50",60.3000000000002,-5.12695276211164,4229.9
12,"APD 90",119.05,-46.4172330426893,4288.65
13,"APD 20",32.1000000000004,25.7873516903829,4533.2
13,"APD 50",59.25,-5.21850549000649,4560.35
13,"APD 90",117.3,-46.4782681946192,4618.4
14,"APD 20",27.7999999999993,25.6652813865231,4866.05
14,"APD 50",54.4499999999998,-5.18798791404154,4892.7
14,"APD 90",111.5,-46.3256803147945,4949.75
