"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,1983.6,-4.88281215446321
2,1970.85,-5.49316367367103
3,1274.2,-4.88281215446314
4,1362.85,-4.88281215446307
5,385.5,-4.27246063515518
6,356.049999999999,-4.88281215446307
7,543.799999999999,-4.88281215446321
8,864,-4.27246063515533
9,17.0500000000011,-4.88281215428543
10,957.450000000001,-4.27246063515521
11,126.450000000001,-4.88281215446307
12,598.300000000003,-4.88281215410781
13,939.599999999999,-5.49316367377102
14,1043.25,-4.88281215446314
15,837.799999999999,-4.8828121544631
16,65.2000000000007,-4.88281215446307
17,609.950000000001,-4.88281215410776
18,699.450000000001,-4.27246063515533
19,559,-4.27246063515533
20,787.700000000001,-4.88281215446307
21,486.299999999999,-4.88281215446307
22,895.799999999996,-4.27246063546605
23,223.25,-3.66210911611383
24,226.799999999996,-4.88281215481841
25,617.400000000001,-4.88281215481841
26,762.650000000001,-4.88281215481834
27,408.75,-4.8828121541078
28,541.849999999999,-4.8828121541078
29,241.900000000001,-4.88281215481827
30,51.5499999999956,-4.88281215481848
31,606.899999999994,-4.27246063546612
32,508.199999999997,-4.88281215481834
33,554.400000000001,-4.88281215481841
34,455.5,-4.27246063546619
35,87.9499999999971,-4.27246063546605
36,378,-4.27246063546606
37,328.75,-4.88281215410781
38,41.8500000000058,-4.8828121541078
39,283.75,-4.27246063546619
40,105.699999999997,-4.27246063546619
41,442.149999999994,-4.88281215481834
42,178.849999999999,-4.27246063546605
43,281.5,-4.27246063546608
44,416.5,-4.27246063546606
45,369.75,-4.88281215481836
46,422.949999999997,-4.27246063546612
47,357.25,-4.27246063546605
48,255.25,-4.88281215481848
49,417.099999999999,-4.27246063546607
50,395.699999999997,-4.27246063546605
51,491.449999999997,-4.88281215481834
52,284.900000000001,-4.8828121541078
53,387.5,-4.27246063546607
54,453.300000000003,-4.27246063484436
55,403.75,-4.88281215481836
56,24.1999999999971,-4.88281215481834
57,368.450000000004,-4.88281215410782
58,520.349999999999,-4.8828121541078
59,93.4000000000015,-4.88281215410787
60,293.75,-4.27246063546608
61,363.849999999999,-4.27246063546607
62,85.75,-4.8828121541078
63,330.799999999996,-4.27246063546608
64,536.5,-4.88281215481848
65,114.5,-4.27246063546605
66,355.549999999996,-4.27246063546607
67,512.899999999994,-4.27246063608784
68,435.050000000003,-4.27246063484439
69,465.849999999991,-4.27246063608781
70,345.149999999994,-4.27246063608791
71,451.699999999997,-4.27246063608784
72,578.149999999994,-4.27246063608777
73,457.099999999991,-4.27246063608777
74,530.199999999997,-4.88281215552888
75,485.150000000009,-4.8828121541078
76,436.149999999994,-4.27246063608779
77,454.149999999994,-4.27246063608784
78,423.199999999997,-6.10351519263478
79,438.149999999994,-4.8828121555289
80,181.350000000006,-4.8828121541078
81,394.399999999994,-4.27246063608781
82,359.299999999988,-4.27246063608784
83,348.150000000009,-4.27246063484432
84,324,-4.27246063484439
85,390.899999999994,-4.27246063608779
86,467,-4.27246063484439
87,336.049999999988,-4.27246063608779
88,417.699999999997,-4.27246063608779
89,380.649999999994,-4.88281215552892
90,406.850000000006,-4.27246063484439
91,327.649999999994,-4.27246063484436
92,284.800000000003,-4.8828121541078
93,389.199999999997,-4.88281215410783
94,367.75,-4.27246063608781
95,96.2999999999884,-4.27246063608784
96,335.599999999991,-4.27246063608779
97,20.75,-4.27246063608784
98,371.300000000003,-4.27246063484432
99,372.649999999994,-4.27246063608779
100,323.050000000003,-4.27246063484434
101,462.099999999991,-4.27246063608777
102,225.599999999991,-4.27246063608777
103,434.25,-4.88281215410787
104,419.349999999991,-4.27246063608784
105,23.3999999999942,-4.88281215552895
106,286.299999999988,-4.27246063608777
107,237.399999999994,-4.88281215552888
108,430.550000000003,-4.27246063484439
109,571.050000000003,-4.27246063484432
110,390.900000000009,-4.27246063484434
111,429.649999999994,-4.8828121541078
112,465.25,-4.27246063608781
113,614.949999999997,-4.27246063608777
114,301.699999999997,-4.27246063608777
115,437.150000000009,-4.88281215410783
116,483.799999999988,-4.27246063608791
117,337.299999999988,-4.27246063608777
