"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,464.3,-4.27246063509692
2,371.55,-4.2724606350969
3,402.4,-4.88281215439649
4,658.75,-4.88281215441866
5,388.95,-4.27246063511633
6,386.1,-4.27246063511633
7,388.349999999999,-4.27246063515518
8,646.7,-5.4931636736711
9,606.8,-4.88281215437427
10,514.95,-5.49316367377099
11,373.549999999999,-4.27246063515518
12,618.5,-4.27246063515526
13,84.6999999999989,-4.27246063515526
14,588.25,-4.88281215428543
15,31.8500000000004,-4.88281215446314
16,268.1,-4.88281215428543
17,721.099999999999,-4.88281215446314
18,353.299999999999,-4.27246063515518
19,488.85,-4.88281215446314
20,302.85,-4.27246063515518
21,525.25,-5.49316367357111
22,659.9,-4.27246063515522
23,702.349999999999,-4.88281215446309
24,60.2000000000007,-4.88281215410794
25,219.549999999999,-4.27246063515526
26,586.549999999999,-4.88281215446307
27,109.849999999999,-4.88281215446307
28,434.899999999998,-4.88281215446309
29,308.200000000001,-4.27246063515533
30,640.099999999999,-4.88281215446307
31,331.150000000001,-4.27246063515526
32,100.049999999999,-4.88281215446321
33,805.799999999999,-4.882812154463
34,11.7000000000007,-4.8828121541078
35,141.699999999997,-4.88281215446307
36,299.150000000001,-4.88281215446307
37,73.5500000000029,-4.88281215410773
38,723.650000000001,-4.27246063515533
39,477.799999999999,-4.8828121544631
40,395.700000000001,-4.27246063515526
41,871.400000000001,-5.49316367337127
42,1088.4,-4.27246063546612
43,275.449999999997,-4.27246063546619
44,842.849999999999,-4.27246063484434
45,721.25,-4.27246063546619
46,516.049999999996,-4.27246063546608
47,598.5,-4.27246063546608
48,625.949999999997,-4.88281215481834
49,325.949999999997,-4.88281215481834
50,130.25,-4.27246063546598
51,178,-4.8828121541078
52,763.599999999999,-4.27246063484446
53,550.200000000004,-6.10351519263478
54,450.75,-4.88281215481836
55,692.100000000006,-5.49316367337127
56,465.099999999999,-4.27246063484432
57,384.099999999999,-4.27246063546619
58,511.800000000003,-5.49316367337131
59,557.449999999997,-4.88281215481837
60,487.550000000003,-4.88281215410782
61,396.050000000003,-4.27246063484432
62,508.049999999996,-4.27246063546606
63,431.950000000004,-4.88281215410781
64,430,-4.27246063484436
65,498.400000000001,-4.27246063546605
66,23.6999999999971,-4.88281215481834
67,534.400000000001,-5.49316367337127
68,2.64999999999418,-4.27246063546605
69,489.300000000003,-4.8828121541078
70,415.699999999997,-4.27246063546608
71,541.399999999994,-4.27246063546607
72,502.349999999999,-4.88281215410787
73,443.599999999999,-4.88281215410783
74,3.94999999999709,-4.27246063546605
75,376.349999999999,-4.88281215481834
76,578,-4.27246063546608
77,68.3499999999985,-4.27246063546605
78,493.049999999996,-4.27246063546605
79,451.399999999994,-4.27246063546605
80,286.799999999996,-4.27246063546605
81,521.75,-4.88281215410781
82,480.099999999999,-4.27246063546608
83,15.3499999999985,-4.8828121541078
84,597.400000000001,-4.8828121541078
85,904.650000000001,-4.88281215481837
86,590.5,-4.8828121541078
87,469.650000000001,-4.8828121541078
88,653.949999999997,-4.88281215410787
89,579.449999999997,-4.27246063608779
90,1619.09999999999,-4.88281215410782
91,499.899999999994,-4.8828121541078
92,764.799999999988,-4.88281215552895
93,333.100000000006,-4.8828121541078
94,574,-4.27246063484439
95,29.5999999999913,-4.27246063608777
96,619,-4.27246063608777
97,671.449999999997,-4.27246063608777
98,645.400000000009,-4.88281215410783
99,486.449999999997,-4.88281215410783
100,713.5,-4.27246063608791
101,767.350000000006,-4.88281215410794
102,153.350000000006,-4.27246063484446
103,360.449999999997,-4.27246063484439
104,948.399999999994,-4.88281215410782
105,117.149999999994,-4.27246063608777
106,400.050000000003,-5.49316367337127
107,845.75,-4.27246063608777
