"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,214.85,-4.27246063509704
2,351.2,-4.88281215439653
3,345.55,-5.49316367369601
4,344.35,-4.88281215437425
5,186.25,-4.27246063507747
6,278.15,-4.27246063511636
7,187.4,-4.88281215437439
8,332.35,-6.10351519296781
9,235.65,-4.27246063515526
10,324.95,-4.88281215437425
11,151.5,-4.88281215437439
12,332.650000000001,-4.27246063507775
13,167.85,-4.88281215437432
14,435.95,-4.88281215446307
15,272.7,-4.2724606350775
16,60.6999999999998,-4.27246063507775
17,304.299999999999,-4.27246063515518
18,318.15,-4.88281215446307
19,250.299999999999,-4.27246063515522
20,142.049999999999,-4.27246063515518
21,361.799999999999,-4.88281215446321
22,374.349999999999,-4.88281215446307
23,300.449999999999,-4.27246063515526
24,320.9,-4.8828121544631
25,199.75,-5.49316367357118
26,267.299999999999,-4.8828121544631
27,345.25,-4.88281215446307
28,191.5,-4.88281215446321
29,190.150000000001,-4.8828121542855
30,251.549999999999,-4.8828121544631
31,230.5,-4.8828121544631
32,310.15,-4.27246063515522
33,263.65,-4.27246063515522
34,398,-4.88281215446307
35,63.25,-4.88281215446307
36,375.450000000001,-4.88281215446321
37,287.299999999999,-4.88281215446309
38,284.75,-4.88281215446314
39,359.200000000001,-4.27246063515522
40,311.849999999999,-4.27246063515526
41,329.799999999999,-4.8828121544631
42,464.549999999999,-4.88281215446307
43,284.200000000001,-4.27246063515522
44,75.2999999999993,-4.27246063515533
45,322.099999999999,-4.88281215446307
46,239.950000000001,-4.27246063515526
47,381.75,-5.49316367377095
48,258.150000000001,-4.27246063515526
49,342.950000000001,-4.2724606351552
50,174.299999999999,-4.27246063515518
51,380.700000000001,-4.27246063515526
52,87.5499999999993,-4.27246063515518
53,374.049999999999,-4.27246063515521
54,359.650000000001,-4.27246063515521
55,30.9000000000015,-4.88281215446307
56,381.150000000001,-4.2724606351552
57,319.600000000002,-4.27246063515522
58,454.799999999999,-4.27246063515526
59,227.300000000003,-4.88281215410794
60,108.950000000001,-4.27246063515533
61,428.299999999999,-4.88281215446314
62,452.850000000002,-4.88281215410783
63,419.150000000001,-4.88281215446309
64,390.849999999999,-4.88281215446314
65,207.400000000001,-4.27246063515526
66,352.350000000002,-4.2724606351552
67,340.450000000001,-4.88281215410783
68,251.550000000003,-5.49316367337134
69,154.899999999994,-4.27246063546619
70,371.5,-4.8828121541078
71,223.200000000004,-4.8828121541078
72,355.349999999999,-4.27246063546605
73,284.75,-4.88281215410787
74,314.5,-5.49316367337129
75,229.400000000001,-4.27246063546619
76,363.799999999996,-5.49316367417065
77,211.549999999996,-4.27246063546619
78,59.5999999999985,-4.27246063546605
79,1.94999999999709,-4.88281215481834
80,305.949999999997,-4.27246063546608
81,263.949999999997,-4.27246063546605
82,309.25,-4.27246063546606
83,259.349999999999,-4.27246063546612
84,277.900000000001,-4.27246063484435
85,350,-4.27246063546608
86,327,-4.88281215410783
87,38.5,-4.27246063484432
88,302.650000000001,-4.88281215410782
89,390.050000000003,-4.8828121541078
90,287,-4.27246063484434
91,255.299999999996,-4.27246063546612
92,394.349999999999,-4.8828121541078
93,420.350000000006,-4.8828121541078
94,231.199999999997,-4.88281215481841
95,389.5,-4.88281215410794
96,287.900000000001,-4.88281215410781
97,304.150000000001,-4.88281215410781
98,324.449999999997,-4.88281215481834
99,339.299999999996,-4.88281215481834
100,308.400000000001,-4.27246063484436
101,309.199999999997,-4.27246063546606
102,354.300000000003,-4.8828121541078
103,287.550000000003,-4.88281215410783
104,365.649999999994,-4.27246063546612
105,416.050000000003,-4.8828121541078
106,80.6499999999942,-5.49316367417063
107,374.650000000001,-4.8828121541078
108,95.3500000000058,-4.88281215410794
109,268.799999999996,-4.88281215481837
110,318.449999999997,-4.27246063546606
111,361.299999999996,-4.88281215481834
112,102.199999999997,-4.88281215481834
113,54.7999999999956,-4.88281215481834
114,303.799999999996,-4.27246063546608
115,265.449999999997,-4.27246063546605
116,261.849999999999,-4.27246063546612
117,318.799999999996,-4.88281215481837
118,293.949999999997,-4.27246063546606
119,342.150000000001,-4.88281215410781
120,263.349999999999,-4.27246063546612
121,176.599999999999,-4.8828121541078
122,322.649999999994,-4.27246063546605
123,319.600000000006,-4.88281215410782
124,311.550000000003,-4.8828121541078
125,382.5,-5.49316367337127
126,20.6999999999971,-4.27246063546619
127,260.449999999997,-4.27246063546606
128,328.449999999997,-4.27246063546608
129,200.300000000003,-4.8828121541078
130,345.25,-4.88281215481834
131,252.799999999996,-4.27246063546605
132,323.299999999996,-4.27246063546606
133,344.700000000004,-4.88281215410794
