"Sweep (n)","Peak x (s)","Peak y (mV)"
1,3411.6,18.0053698193206
2,6541.75,19.0734849780939
3,841.650000000001,35.583493575132
4,2957.7,43.518063326019
5,837.25,46.2646451628646
6,905.399999999998,45.8068815233903
7,1041.55,46.0510221311099
8,586.300000000003,45.8373990993553
9,839.649999999998,47.0581021379533
10,1086.95,45.5627409156707
11,653.350000000002,45.7153287954955
12,287.449999999997,46.7529263783038
13,669.300000000003,46.7529263783038
14,1065.4,46.1730924349697
15,503.299999999996,46.6613736504089
16,557.550000000003,44.9829069723366
17,388.25,33.4472632575855
18,642.850000000006,44.0978972693531
19,631.699999999997,43.4875457500541
20,931.699999999997,43.8537566616335
21,596.199999999997,44.5251433328624
22,652.400000000001,41.9006317998767
23,268.400000000001,34.7900366000433
24,760.699999999997,42.297360287421
25,549.949999999997,40.8019990651385
26,537.650000000001,42.0532196797014
27,1517.3,42.327877863386
28,552.399999999994,42.8161590788252
29,490.099999999999,41.5649384642622
30,347.849999999999,28.2592753435439
31,202.199999999997,67.3828077306101
