"Sweep (n)","Peak x (s)","Peak y (mV)"
1,191.45,34.0881323528494
2,189.9,35.0036596317979
3,139.7,34.1186499288144
4,134.2,35.3088353914474
5,122.6,34.362790536534
6,148.3,34.8205541760082
7,181.45,34.332272960569
8,162.5,35.0646947837278
9,144.1,35.4614232712722
10,140.2,34.4543432644288
11,141.400000000001,34.1491675047793
12,110.1,35.6445287270619
13,119.6,35.7665990309217
14,158.35,35.0952123596928
15,183.8,35.7055638789918
16,142.349999999999,36.3769505502207
17,155.799999999999,34.942624479868
18,134.6,35.4919408472371
19,146.949999999999,36.4685032781155
20,122.099999999999,34.7900366000433
21,147.200000000001,35.4003881193423
22,196.199999999999,36.4990208540805
23,139.35,35.9191869107464
24,159.650000000001,37.4450657089939
25,127.199999999999,36.4990208540805
26,154.799999999999,36.2243626703959
27,181,37.2009251012743
28,168.400000000001,36.8347141896949
29,136.700000000001,36.3464329742557
30,115.450000000001,35.4309056953072
31,144.050000000001,35.7971166068866
32,167.300000000001,36.7126438858351
33,175.450000000001,35.9802220626763
34,162.9,35.7665990309217
35,174.9,36.2853978223258
36,178.75,36.0107396386413
37,154.599999999999,36.1328099425011
38,165.049999999999,36.8652317656599
39,215.700000000001,36.5295384300454
40,156.599999999999,36.4074681261856
41,189.149999999998,36.5295384300454
42,212.350000000002,36.8652317656599
43,173.200000000001,36.6821263098702
44,204.599999999999,36.4074681261856
45,160.049999999999,35.7665990309217
46,150.450000000001,35.7971166068866
47,197.25,36.9567844935547
48,188.550000000003,36.0717747905712
49,200.75,36.0107396386413
50,159.350000000002,35.5224584232021
51,179.700000000001,35.7665990309217
52,194.849999999999,36.1328099425011
53,208.950000000001,36.2853978223258
54,202.350000000002,36.0717747905712
55,205.600000000002,35.9497044867114
56,203.650000000001,35.8886693347815
57,183.200000000001,35.6140111510969
58,244.450000000001,36.6210911579403
59,198.650000000001,36.0107396386413
60,218.450000000001,36.5905735819753
61,205.099999999999,36.193845094431
62,229.650000000001,37.1398899493444
63,225.700000000001,36.5600560060104
64,212.950000000001,32.1044899151276
65,136.350000000002,31.3415505160039
66,198.400000000001,34.6984838721484
67,172.150000000001,38.024899652328
68,175.5,41.1376924007529
69,217.949999999997,43.1823699904046
70,181.5,43.9147918135634
71,188.5,43.9758269654933
72,193.050000000003,44.0063445414582
73,193.25,43.2739227182994
74,171.75,42.8161590788252
75,176.800000000003,42.2363251354911
76,228.849999999999,42.3889130153159
77,199.949999999997,42.2668427114561
78,203.700000000004,42.0227021037365
79,189.150000000001,42.0532196797014
80,174.199999999997,41.4428681604024
81,214.599999999999,41.3207978565426
82,187.150000000001,40.466305729524
83,167.650000000001,40.3747530016292
84,172.800000000003,39.7033663304003
85,208.950000000004,41.4733857363674
86,191.150000000001,40.6188936093488
87,195.899999999994,40.4052705775941
88,187.150000000001,40.6799287612787
89,209.699999999997,41.7480439200519
90,181.900000000001,41.0461396728581
91,177.699999999997,40.1611299698745
92,188.149999999994,40.2526826977694
93,218.950000000004,40.9545869449632
94,180.5,40.3747530016292
95,194,40.4052705775941
96,186,39.6118136025054
97,195.849999999999,40.7714814891735
98,193.5,40.0085420900498
99,216.299999999996,40.7409639132086
100,181.400000000001,40.466305729524
101,187.400000000001,40.8325166411034
102,202.300000000003,40.3442354256642
103,186.850000000006,40.9545869449632
104,211.549999999996,40.9240693689983
105,215.900000000001,40.6188936093488
106,198.299999999996,39.9169893621549
107,228.849999999999,40.0695772419797
108,186.600000000006,40.1000948179446
109,171.75,40.3137178496993
110,202.300000000003,40.2832002737343
111,227.449999999997,41.2597627046127
112,179.199999999997,40.2526826977694
113,218.25,40.4357881535591
114,179.949999999997,40.6799287612787
115,196.949999999997,40.0390596660147
116,191.400000000001,39.6118136025054
117,218.25,40.3137178496993
118,190.849999999999,40.8325166411034
119,224.550000000003,40.8019990651385
120,198.150000000001,40.5883760333838
121,239.199999999997,41.0156220968931
122,202.199999999997,40.9851045209282
123,204.050000000003,41.076657248823
124,187.5,40.3747530016292
125,191.849999999999,40.3442354256642
126,207,40.9851045209282
127,166.900000000001,40.0695772419797
128,208,40.8019990651385
129,192.599999999999,40.8019990651385
130,194.550000000003,40.5883760333838
131,217.849999999999,41.3818330084725
132,202.849999999999,40.7714814891735
133,186.5,40.0085420900498
134,200.449999999997,39.5812960265405
135,216.299999999996,40.4052705775941
136,184,40.3137178496993
137,193.849999999999,40.3442354256642
138,215.650000000001,41.3818330084725
139,225,40.5883760333838
140,195.699999999997,40.6188936093488
141,190.400000000001,39.88647178619
142,185.599999999999,40.6188936093488
143,217.099999999999,41.0461396728581
144,171.199999999997,40.1000948179446
145,250.5,40.6799287612787
146,206.949999999997,40.466305729524
147,200.850000000006,40.496823305489
148,230.350000000006,40.3137178496993
149,206.800000000003,41.5954560402272
150,222.75,41.076657248823
151,211.699999999997,41.2597627046127
152,181.800000000003,38.2080051081177
153,592.149999999994,58.6852985805993
154,113.449999999997,27.8015117040697
155,179.050000000003,27.1301250328408
156,167.600000000006,29.8767068696863
157,271.099999999991,27.5268535203851
158,232.25,27.2521953367006
159,217.450000000012,27.2827129126655
160,211.899999999994,27.2521953367006
161,191.899999999994,26.8249492731913
162,285.550000000003,27.5268535203851
163,191.700000000012,24.2614728921354
164,166.949999999997,22.6440413659931
165,258.550000000003,27.9540995838944
166,237.149999999994,27.9235820079295
167,218.650000000009,27.9540995838944
