"Sweep (n)","RR (ms)"
1,NA
2,3902.5
3,3798.95
4,3793.1
5,3311.4
6,3490.85
7,3439.45
8,3343.2
9,3525.35
10,3333.25
11,3347.6
12,3162.55
13,3268.5
14,3062.45
15,3409.15
16,2981.35
17,3132.35
18,3076.65
19,2952.65
20,2700.3
21,2490.7
22,2358.8
23,2223.14999999999
24,2259.45
25,2136.60000000001
26,2104.14999999999
27,2103.15000000001
28,2024.34999999999
29,2045.05
30,2038.95
31,2139.25
32,2225.35000000001
33,2204.79999999999
34,2120.45000000001
35,2210.34999999999
36,2271.85000000001
37,2339.5
38,2413.14999999999
39,2286.95
40,2245.75
41,2403
42,2193.10000000001
43,2195.64999999999
44,2334.8
45,2313.05
46,2274.84999999999
47,2198.75
48,2091.45000000001
49,2083.64999999999
50,2110.75
51,2020.35000000001
52,1963.64999999999
53,1848.20000000001
54,1922.44999999998
55,1815.45000000001
56,1819.64999999999
57,1883.29999999999
58,1774
59,1835.45000000001
60,1729.04999999999
