"Sweep (n)","RR (ms)"
1,NA
2,2171.4
3,1939.85
4,1952.95
5,1585.95
6,1468.05
7,1442.8
8,1454.4
9,1456.15
10,1432.5
11,1397.3
12,1441.55
13,1079.15
14,1237
15,1275.3
16,1232.05
17,1230
18,1207.6
19,1337.25
20,1155.3
21,1269.3
22,1077.1
23,1386.95
24,1310.65
25,1180.75
26,1139.7
27,2713
28,930.099999999999
29,852.599999999999
30,878.150000000001
31,786.700000000004
32,785.949999999997
33,694.449999999997
34,669.550000000003
35,667.75
36,642
37,642.5
38,589.75
39,637.099999999999
40,621.300000000003
41,602.899999999994
42,624.600000000006
43,601.5
44,569.549999999996
45,597.800000000003
46,621.349999999999
47,613.650000000001
48,670.650000000001
49,616.649999999994
50,654.850000000006
51,615.949999999997
52,648.150000000001
53,655.349999999999
54,610.25
55,642.199999999997
56,595.700000000004
57,592.650000000001
58,600.399999999994
59,597.800000000003
60,584.5
61,555.5
62,589.900000000001
63,589.049999999996
64,589.950000000004
65,546.899999999994
66,585.75
67,610.600000000006
68,632.899999999994
69,573.75
70,655.300000000003
71,651
72,629.550000000003
73,632.300000000003
74,615.75
75,642.599999999991
76,629.350000000006
77,655
78,622.5
79,653.949999999997
80,624.100000000006
81,621
82,604.199999999997
83,615.550000000003
84,625.799999999988
85,600.150000000009
86,606.699999999997
87,593
88,609.25
89,614
90,618.25
91,576.75
92,610.100000000006
93,595.149999999994
94,621.850000000006
95,560.75
96,596.25
97,594.25
98,602.899999999994
99,621.899999999994
100,636.300000000003
101,589.850000000006
102,632.25
103,635.099999999991
104,573.600000000006
105,649.449999999997
106,576.75
107,603
108,633
109,626.149999999994
110,655.200000000012
111,589.75
112,602.049999999988
113,630.300000000003
114,628.150000000009
115,641.949999999997
116,587.199999999997
117,632.050000000003
118,603.649999999994
119,641.800000000003
