"Sweep (n)","RR (ms)"
1,NA
2,492.85
3,470.45
4,453.9
5,441.35
6,427.25
7,445.7
8,460.3
9,450.25
10,428.65
11,428.099999999999
12,446.900000000001
13,416.15
14,421.75
15,439.5
16,468
17,444.9
18,433.4
19,415.950000000001
20,441.449999999999
21,427.5
22,457.400000000001
23,482.449999999999
24,443.050000000001
25,483.5
26,460.499999999998
27,477.950000000001
28,492.15
29,477.300000000001
30,448.799999999999
31,416.700000000001
32,439.15
33,455.85
34,474.15
35,453.449999999999
36,468.9
37,471.5
38,442.950000000001
39,491.849999999999
40,500.100000000002
41,481.049999999999
42,486.549999999999
43,510.850000000002
44,505.549999999999
45,521.649999999998
46,465.400000000001
47,484.950000000001
48,533.599999999999
49,506.650000000001
50,508.099999999999
51,493.900000000001
52,509.099999999999
53,528.849999999999
54,551.100000000002
55,549.950000000001
56,559.549999999999
57,551
58,525.349999999999
59,590.850000000002
60,570.099999999999
61,609.799999999999
62,595
63,616.400000000001
64,595.849999999999
65,550.450000000001
66,475.450000000001
67,488.099999999999
68,478.450000000001
69,460.649999999998
70,502.650000000001
71,467.800000000003
72,476.649999999994
73,466.950000000004
74,457.349999999999
75,433.050000000003
76,435.199999999997
77,472.400000000001
78,462.599999999999
79,446.800000000003
80,433.5
81,428.549999999996
82,453.900000000001
83,424.349999999999
84,419.650000000001
85,412.050000000003
86,454.849999999999
87,436.400000000001
88,431.649999999994
89,433.550000000003
90,455.949999999997
91,425.350000000006
92,414.699999999997
93,418.449999999997
94,442.300000000003
95,419.5
96,424.75
97,427.5
98,425.049999999996
99,428.450000000004
100,440.799999999996
101,412.600000000006
102,429.75
103,431.75
104,428.25
105,441.299999999996
106,452
107,422.25
108,462.5
109,415.450000000004
110,411.75
111,435.5
112,460.299999999996
113,421.5
114,440.300000000003
115,412.699999999997
116,435.5
117,417.550000000003
118,434.75
119,435.849999999999
120,426.900000000001
121,418.849999999999
122,458.5
123,432.25
124,425.5
125,414.949999999997
126,424.550000000003
127,418
128,406.400000000001
129,434
130,417.549999999996
131,424.300000000003
132,456.25
133,430.150000000001
134,420.549999999996
135,413.349999999999
136,429.150000000001
137,415
138,421.400000000001
139,440.400000000001
140,456.799999999996
141,423.800000000003
142,420.599999999999
143,414.099999999999
144,431
145,401.300000000003
146,472.25
147,427.449999999997
148,428.600000000006
149,440.449999999997
150,432.550000000003
151,456.300000000003
152,442.099999999991
153,403.050000000003
154,811
155,345.800000000003
156,812.699999999997
157,353.850000000006
158,458.849999999991
159,419.5
160,392.900000000009
161,406.399999999994
162,419.5
163,458.699999999997
164,380.150000000009
165,340.799999999988
166,432.700000000012
167,429.149999999994
168,409.550000000003
169,432.449999999997
170,406.399999999994
171,393.350000000006
172,366.899999999994
173,432.650000000009
174,406.149999999994
175,406.449999999997
176,406.25
177,524.300000000003
178,393.300000000003
179,419.199999999997
180,432.550000000003
181,406.399999999994
182,393.100000000006
183,472.300000000003
184,399.349999999991
185,426
186,393.400000000009
187,380.5
188,510.75
189,432.399999999994
190,406.300000000003
191,511.350000000006
192,406.349999999991
193,498.650000000009
194,477.549999999988
195,478.650000000009
196,406.5
197,432.349999999991
198,419.600000000006
199,432.399999999994
200,432.400000000009
201,445.849999999991
202,406.350000000006
203,445.649999999994
204,445.350000000006
205,432.649999999994
206,367.75
207,361.699999999997
208,528.900000000009
209,446
210,405.949999999997
211,353.5
212,899.699999999997
213,594.75
214,419.550000000003
215,493.25
216,502.949999999997
217,498
218,497.800000000003
219,484.100000000006
220,460.099999999991
221,484.699999999997
222,753.150000000009
223,505.25
224,499.199999999997
225,502.699999999997
