"Sweep (n)","RR (ms)"
1,NA
2,475.7
3,449.8
4,426.45
5,451.95
6,447.9
7,443.55
8,404.25
9,409.85
10,157.5
11,271.1
12,274.25
13,233.299999999999
14,290.1
15,290.1
16,289.999999999999
17,278
18,270.1
19,288.95
20,290.25
21,253.95
22,247.700000000001
23,281.349999999999
24,305.15
25,320.8
26,275.650000000001
27,260.4
28,284.950000000001
29,275.15
30,261
31,283.949999999999
32,293.650000000001
33,596.349999999999
34,291.35
35,353.75
36,361.299999999999
37,313.700000000001
38,346.799999999999
39,351.400000000001
40,402.599999999999
41,366.950000000001
42,396.35
43,393.199999999999
44,384.700000000001
45,402
46,372.199999999999
47,358.400000000001
48,414.349999999999
49,386.350000000002
50,371.599999999999
51,388.049999999999
52,339.75
53,353.75
54,380.549999999999
55,372.200000000001
56,348.049999999999
57,361.450000000001
58,361.5
59,326.150000000001
60,384.700000000001
61,377.25
62,373.75
63,369.149999999998
64,369
65,359.450000000001
66,316.299999999999
67,390.150000000001
68,404.899999999998
69,391.650000000001
70,389.75
71,391.450000000001
72,361.899999999998
73,386.799999999999
74,390.900000000001
75,348.099999999999
76,352.100000000002
77,362.799999999999
78,363.099999999999
79,354.900000000001
80,374.900000000001
81,357.099999999999
82,364.549999999999
83,371.150000000001
84,353.849999999999
85,356.5
86,291.100000000002
87,133.799999999999
88,188.5
89,390.399999999998
90,312.75
91,158.049999999999
92,197.25
93,12798.55
94,307.399999999994
95,294
96,300.300000000003
97,303.949999999997
98,303.100000000006
99,297.299999999996
100,275.450000000004
101,282
102,307.75
103,277
104,299.049999999996
105,273.599999999999
106,303.650000000001
107,314.849999999999
108,294.75
109,305.400000000001
110,324.099999999999
111,322.550000000003
112,295.5
113,303.900000000001
114,297.5
115,298.799999999996
116,312.200000000004
117,324.049999999996
118,307.400000000001
119,312.599999999999
120,315
121,300.550000000003
122,308.550000000003
123,305.199999999997
124,315.050000000003
125,323
126,318.799999999996
127,333.599999999999
128,326.200000000004
129,316.449999999997
130,320.200000000004
131,334.5
132,324.799999999996
133,327.550000000003
134,322.049999999996
135,344.700000000004
136,320.799999999996
137,340
138,354.950000000004
139,350.849999999999
140,353.75
141,357.349999999999
142,341.200000000004
143,343.449999999997
144,354.75
145,365.5
146,356.349999999999
147,354.550000000003
148,360.949999999997
149,392.099999999999
150,358.150000000001
151,369.75
152,357.800000000003
153,385.449999999997
154,375.150000000001
155,370.25
156,366.75
157,373.799999999996
158,373.800000000003
159,365.75
160,384.300000000003
161,360.25
162,353.649999999994
163,382.800000000003
164,354
165,375.5
166,340.449999999997
167,354.5
168,376.400000000009
169,381.799999999988
170,373.800000000003
171,365.100000000006
172,373.449999999997
173,368.550000000003
174,359.550000000003
175,374.099999999991
176,374.5
177,356.550000000003
178,352.949999999997
179,365.350000000006
180,365.899999999994
181,353.400000000009
182,337.199999999997
183,378.649999999994
184,380.600000000006
185,361.399999999994
186,362.449999999997
187,413.600000000006
188,378.050000000003
189,376
190,381.849999999991
191,357.150000000009
192,351.5
193,349.550000000003
194,364.75
195,338.649999999994
196,372.550000000003
197,365.300000000003
198,361.549999999988
199,377.400000000009
200,375.5
201,367.5
202,372.300000000003
203,360.149999999994
204,362.550000000003
205,405.5
206,360.199999999997
207,364.100000000006
208,374.049999999988
209,344.600000000006
210,353.800000000003
211,399.099999999991
212,359.450000000012
213,344.599999999991
214,349.350000000006
215,399.800000000003
216,374.399999999994
217,392.949999999997
218,408.649999999994
219,362.950000000012
220,379.149999999994
221,386.800000000003
222,393.399999999994
223,401
224,390.900000000009
225,406.649999999994
226,394.25
227,421.25
228,405.600000000006
229,404.099999999991
230,362
231,347.400000000009
232,359.849999999991
233,376.5
234,365.650000000009
235,362.5
236,357.949999999997
237,378.050000000003
238,348.149999999994
239,357.25
240,363.300000000003
241,378.349999999991
242,365.300000000003
243,373
244,348.25
245,357.600000000006
246,360.599999999991
247,366.150000000009
248,370.149999999994
249,365.5
250,344.150000000009
251,368.649999999994
