"Sweep (n)","Ediast (mV)"
1,-52.1240209617418
2,-51.5502905202426
3,-52.3559545444756
4,-51.9836401090346
5,-52.6550267958954
6,-52.7587865565921
7,-52.3864721211511
8,-52.0751928390611
9,-52.3315404831352
10,-52.4047826671564
11,-52.3864721211511
12,-52.136227992412
13,-52.441403759167
14,-52.9052709246345
15,-52.7160619492464
16,-52.3071264217948
17,-52.4658178205074
18,-52.5146459431882
19,-52.0935033850664
20,-52.1606420537524
21,-51.947019017024
22,-52.4047826671564
23,-51.4404272442108
24,-51.6113256735936
25,-52.1301244770769
26,-51.8920873790081
27,-51.5624975509128
28,-51.9958471397048
29,-51.5075659128969
30,-51.6113256735936
31,-52.0446752623856
32,-51.8188451949869
33,-51.70287840362
34,-54.364011089723
35,-51.2084936614771
36,-45.5871560378513
37,-45.3491189397824
38,-47.1130348716259
39,-49.0661597788575
40,-50.4516577599248
41,-51.3854956061949
42,-51.5624975509128
43,-51.824948710322
44,-51.8920873790081
45,-51.8737768330028
46,-52.2094701764332
47,-51.6967748882849
48,-51.5319799742373
49,-51.4892553668916
50,-51.70287840362
51,-51.513669428232
52,-51.4648413055512
53,-51.6967748882849
54,-51.3427709988492
55,-51.7761205876412
56,-51.5869116122532
57,-51.5869116122532
58,-51.3610815448545
59,-51.0009741400837
60,-50.6774878273235
61,-50.6042456433023
62,-50.6347632199778
63,-50.5676245512917
64,-50.6408667353129
65,-50.9216284407274
66,-50.6652807966533
67,-50.7385229806745
68,-50.4272436985844
69,-50.4943823672705
70,-50.7751440726851
71,-50.585935097297
72,-50.6408667353129
73,-50.7751440726851
74,-50.3478979992282
75,-50.9948706247486
76,-50.2441382385315
77,-50.8728003180466
78,-50.6591772813182
79,-50.7568335266798
80,-50.6774878273235
81,-50.708005403999
82,-50.5432104899513
83,-50.7202124346692
84,-50.8789038333817
85,-50.6957983733288
86,-51.1657690541314
87,-50.4089331525792
88,-50.6652807966533
89,-50.2563452692017
90,-50.396726121909
91,-50.2380347231964
92,-49.4995093676495
93,-49.780271073064
94,-49.8596167724203
95,-50.3540015145633
96,-49.8901343490958
97,-50.0671362938136
98,-49.9999976251275
99,-49.6826148277024
100,-49.6093726436812
101,-52.8625463172888
102,-50.0427222324732
103,-45.1110818417136
104,-45.5383279151705
105,-47.7722145278166
106,-49.1699195395541
107,-48.9318824414853
108,-49.3957496069528
109,-49.9206519257713
110,-49.7436499810534
111,-49.0295386868469
112,-49.7680640423938
113,-49.3591285149422
114,-49.5849585823408
115,-49.2614722695806
116,-49.7924781037342
117,-49.6032691283461
118,-49.3103003922614
119,-49.4323706989634
120,-49.9877905944574
121,-49.6948218583726
122,-49.6704077970322
123,-49.4201636682932
124,-49.5544410056654
125,-49.719235919713
126,-49.3530249996071
127,-49.9389624717766
128,-49.5056128829846
129,-48.8159156501184
130,-48.8220191654535
131,-48.9868140795012
132,-48.852536742129
133,-49.3896460916177
134,-48.7976051041131
135,-49.0661597788575
136,-48.9379859568204
137,-48.5534644907092
138,-49.2065406315647
139,-48.9257789261502
140,-49.3835425762826
141,-49.096677355533
142,-49.0844703248628
143,-49.1394019628786
144,-48.8281226807886
145,-48.8830543188045
146,-50.2197241771911
147,-49.2309546929051
148,-49.2431617235753
149,-49.6704077970322
150,-49.5727515516706
151,-49.22485117757
152,-49.3103003922614
153,-49.2126441468998
154,-49.0173316561767
155,-49.2126441468998
156,-49.1455054782137
157,-49.2431617235753
158,-49.6948218583726
159,-49.780271073064
160,-49.3408179689369
161,-49.6032691283461
162,-49.1577125088839
163,-49.5544410056654
164,-49.2431617235753
165,-49.8779273184256
166,-49.0722632941926
167,-49.1332984475435
168,-49.3347144536018
169,-49.6765113123673
170,-48.7731910427727
171,-49.7985816190693
172,-49.530026944325
173,-48.8708472881343
174,-48.5168433986986
175,-48.7976051041131
176,-49.3408179689369
177,-48.9501929874906
178,-49.2126441468998
179,-48.9013648648098
180,-48.6816383127463
181,-48.6389137054006
182,-49.0295386868469
183,-48.8952613494747
184,-48.6328101900655
185,-49.0478492328522
186,-48.9440894721555
187,-48.7670875274376
188,-48.6694312820761
189,-48.1628395092629
190,-48.1506324785927
191,-48.1262184172523
192,-47.7416969511411
193,-47.6623512517848
194,-47.7294899204709
195,-47.863767257843
196,-47.9614235032046
197,-47.985837564545
198,-48.0773902945715
199,-48.0895973252417
200,-47.9492164725344
201,-48.4374976993423
202,-48.4924293373582
203,-48.2116676319437
204,-48.2421852086192
205,-47.735593435806
206,-47.6501442211146
207,-47.1984840863173
208,-47.0519997182749
209,-46.4904763074459
210,-46.6979958288392
211,-46.3195778780631
212,-47.2778297856736
213,-46.9909645649239
214,-46.6552712214935
215,-47.2473122089981
216,-46.1608864793505
217,-46.8627907428869
218,-46.0937478106645
219,-46.9482399575783
220,-46.8872048042273
221,-46.7346169208498
222,-46.9055153502326
223,-46.496579822781
224,-47.4731422763967
225,-47.241208693663
226,-47.302243847014
227,-47.1984840863173
228,-46.6552712214935
229,-47.2290016629928
230,-47.0031715955941
231,-47.302243847014
232,-47.0947243256206
233,-47.1008278409557
234,-46.997068080259
235,-47.2778297856736
236,-46.6796852828339
237,-46.8566872275518
238,-47.2534157243332
239,-47.1923805709822
240,-46.7651344975253
241,-47.1374489329663
242,-46.8505837122167
243,-46.7895485588657
244,-46.2829567860525
245,-46.8322731662114
246,-46.8749977735571
247,-47.1496559636365
248,-46.6979958288392
249,-46.685788798169
250,-47.1069313562908
251,-46.6552712214935
252,-46.4233376387598
253,-46.7285134055147
254,-46.374509516079
255,-46.7346169208498
256,-47.2534157243332
257,-46.8383766815465
258,-47.2228981476577
259,-47.2167946323226
260,-46.3623024854088
261,-46.997068080259
262,-46.3256813933982
263,-46.4294411540949
264,-46.929929411573
265,-47.5585914910881
266,-47.3754860310352
267,-46.7102028595094
268,-46.5515114607969
269,-46.9116188655677
270,-46.5881325528074
271,-46.4111306080896
272,-47.4609352457265
273,-46.7773415281955
274,-47.4243141537159
275,-46.624753644818
276,-47.1252419022961
277,-46.929929411573
278,-47.2900368163438
279,-46.8627907428869
280,-46.6125466141478
281,-47.1130348716259
282,-46.6613747368286
283,-47.2961403316789
284,-47.4731422763967
285,-47.5097633684073
286,-46.9909645649239
287,-46.5026833381161
288,-47.1374489329663
289,-47.7844215584868
290,-47.9797340492099
291,-47.3388649390246
292,-47.363279000365
293,-48.0102516258854
294,-47.8454567118377
295,-47.491452822402
296,-47.6806617977901
297,-47.5952125830987
