"Sweep (n)","Peak x (s)","Peak y (mV)"
1,203.5,39.3676739113858
2,203.1,39.9169902915447
3,189.85,40.1611309049486
4,202.75,40.5273418250545
5,220.35,40.0390605982467
6,195.55,39.9780254448957
7,180.25,39.3676739113858
8,195.45,39.9780254448957
9,213.7,40.2221660582996
10,192.2,40.0390605982467
11,187.55,39.7338848314917
12,235.95,39.4897442180878
13,229,40.2832012116506
14,213.8,38.757322377876
15,169.55,38.696287224525
16,190.75,39.3066387580348
17,191.8,40.9545878985114
18,227.65,39.6728496781408
19,248.75,39.5507793714388
20,239.1,40.1000957515976
21,222.700000000001,41.1376933585644
22,207.800000000001,39.6728496781408
23,209.450000000001,40.1611309049486
24,248.449999999999,40.2221660582996
25,245.799999999999,39.7949199848427
26,208.5,40.6494121317565
27,240.400000000001,40.7104472851075
28,193.450000000001,40.7104472851075
29,226.550000000001,39.5507793714388
30,256.049999999999,39.5507793714388
31,211.550000000001,40.4663066717036
32,248.300000000001,40.4663066717036
33,204,40.2832012116506
34,268.15,40.8935527451605
35,267.65,38.2080059977171
36,242.550000000001,36.1938459371346
37,247.35,37.3535138508033
38,241.600000000002,38.3300763044191
39,273.199999999997,40.2832012116506
40,330.099999999999,39.9169902915447
41,298,39.4897442180878
42,272.700000000001,40.8325175918095
43,339.799999999999,39.6118145247898
44,272.850000000002,40.0390605982467
45,256.349999999999,40.5273418250545
46,269.700000000001,40.5273418250545
47,268.25,40.2832012116506
48,265.200000000001,39.1235332979819
49,286.75,39.4897442180878
50,275.599999999999,40.3442363650016
51,250.650000000001,40.2221660582996
52,295.400000000001,40.8325175918095
53,267.950000000001,41.0156230518624
54,260.400000000001,40.1000957515976
55,245.25,40.1611309049486
56,239.799999999999,41.0766582052134
57,270.900000000001,40.5273418250545
58,233.099999999999,40.7104472851075
59,236.25,39.5507793714388
60,262.149999999998,40.3442363650016
61,231.650000000001,40.4663066717036
62,239.200000000001,40.2832012116506
63,271.349999999999,40.8935527451605
64,251.799999999999,40.9545878985114
65,229.299999999999,40.5883769784055
66,243.049999999999,40.1000957515976
67,239.349999999999,40.8325175918095
68,218.850000000002,39.7949199848427
69,239.600000000002,39.3676739113858
70,238.949999999997,41.5649394320213
71,218.650000000001,40.5883769784055
72,240.050000000003,39.9780254448957
73,241.400000000001,39.2456036046839
74,242.25,40.5883769784055
75,232.150000000001,40.2221660582996
76,222.75,40.3442363650016
77,214.050000000003,39.1845684513329
78,226.950000000004,40.7104472851075
79,243.699999999997,39.7338848314917
80,238.75,40.2221660582996
81,226.399999999994,37.4145490041543
82,218.400000000001,39.4897442180878
83,260.25,40.1000957515976
84,230.099999999999,39.6728496781408
85,218.300000000003,38.2080059977171
86,233.599999999999,40.8325175918095
87,225.349999999999,38.818357531227
88,232.099999999999,40.1000957515976
89,245.800000000003,40.4052715183526
90,246.25,40.3442363650016
91,249.200000000004,39.7338848314917
92,248.800000000003,39.7338848314917
93,237.800000000003,40.5273418250545
94,250.199999999997,39.0624981446309
95,224.950000000004,39.6728496781408
96,228.25,39.9780254448957
97,222.099999999999,39.1845684513329
98,207.800000000003,40.2832012116506
99,235.5,37.5976544642072
100,225.5,39.3676739113858
101,285.849999999999,38.3911114577701
102,259.450000000004,37.5976544642072
103,210.25,36.3159162438365
104,219.900000000001,37.7807599242602
105,212.849999999999,38.757322377876
106,228.25,39.6728496781408
107,220.849999999999,38.696287224525
108,252.699999999997,38.696287224525
109,251.200000000004,39.4287090647368
110,227.549999999996,38.0859356910151
111,251.300000000003,40.1000957515976
112,247.650000000001,40.4663066717036
113,233.599999999999,38.1469708443661
114,220.75,38.0859356910151
115,247.299999999996,39.6118145247898
116,231,39.4287090647368
117,221.199999999997,39.4287090647368
118,241.300000000003,38.635252071174
119,249.400000000001,39.4897442180878
120,220.200000000004,39.2456036046839
121,245.699999999997,38.2690411510681
122,235.150000000001,37.5366193108563
123,234.849999999999,38.452146611121
124,227.599999999999,38.2080059977171
125,232.900000000001,37.7197247709092
126,212.050000000003,38.2080059977171
127,217,37.7197247709092
128,222.199999999997,38.818357531227
129,230.849999999999,38.3911114577701
130,218.649999999994,37.5366193108563
131,220.5,37.4755841575053
132,229.199999999997,39.1235332979819
133,212.799999999996,37.9638653843132
134,237,36.9262677773464
135,223.900000000001,37.8417950776112
136,224.799999999996,36.4379865505385
137,238.849999999999,37.9638653843132
138,242.800000000003,38.2690411510681
139,238.050000000003,38.818357531227
140,232.150000000009,38.757322377876
141,240.350000000006,40.1000957515976
142,214.5,38.635252071174
143,224.600000000006,38.452146611121
144,233.600000000006,37.4145490041543
145,234.850000000006,39.1235332979819
146,229.649999999994,37.8417950776112
147,223.149999999994,37.7807599242602
148,232.300000000003,38.0859356910151
149,237.199999999997,38.3300763044191
150,245.350000000006,38.0249005376641
151,234.650000000009,37.9028302309622
152,254.5,37.9028302309622
153,242.75,38.1469708443661
154,240,38.574216917823
155,220.5,37.6586896175582
156,221.949999999997,36.3769513971875
157,251.449999999997,38.818357531227
158,227.550000000003,38.452146611121
159,214.799999999988,38.0249005376641
160,228.849999999991,38.635252071174
161,237.75,37.9638653843132
162,238.199999999997,39.3066387580348
163,255.550000000003,37.0483380840484
164,230.149999999994,38.9404278379289
165,230.099999999991,38.1469708443661
166,233.050000000003,37.5976544642072
167,212.100000000006,37.5366193108563
168,240.300000000003,39.8559551381937
169,244.600000000006,38.757322377876
170,236.849999999991,39.0624981446309
171,221.349999999991,38.513181764472
172,248.100000000006,38.574216917823
173,213.550000000003,36.9262677773464
174,216.699999999997,38.3300763044191
175,230.149999999994,37.3535138508033
176,228.299999999988,37.8417950776112
177,223.600000000006,37.9638653843132
