"Sweep (n)","RR (ms)"
1,NA
2,352.8
3,306.8
4,331.5
5,316.45
6,335.3
7,327.5
8,332.05
9,327.6
10,321.25
11,332.1
12,322.05
13,320.25
14,333.05
15,358.5
16,325.5
17,312
18,309.849999999999
19,305.2
20,316.650000000001
21,316.65
22,334.55
23,299
24,303.9
25,330.85
26,308.15
27,345.650000000001
28,320.299999999999
29,338.35
30,315
31,318.049999999999
32,312.150000000001
33,321.75
34,328.799999999999
35,320.75
36,325.1
37,317.549999999999
38,310.15
39,310.85
40,321.85
41,330.299999999999
42,332.5
43,335.300000000001
44,316.849999999999
45,317
46,336.75
47,339.6
48,333.450000000001
49,316.4
50,328.15
51,324.450000000001
52,320.399999999998
53,331.25
54,329.950000000001
55,319.200000000001
56,329.349999999999
57,325.550000000003
58,334.299999999999
59,389.450000000001
60,440.149999999998
61,438.450000000001
62,358.5
63,459.900000000001
64,435.549999999999
65,448.399999999998
66,496.799999999999
67,450.300000000003
68,469.299999999999
69,463.649999999998
70,478.600000000002
71,493.349999999999
72,464.100000000002
73,443.649999999998
74,390.549999999999
75,371
76,402.200000000001
77,387.100000000002
78,379.199999999997
79,372.350000000002
80,379.349999999999
81,361.150000000001
82,386.349999999999
83,381.25
84,375.200000000001
85,371.700000000001
86,374.899999999998
87,375.700000000001
88,358.299999999999
89,366
90,344.400000000001
91,377.349999999999
92,350.25
93,361.100000000002
94,351.849999999999
95,358.849999999999
96,362.900000000001
97,350.150000000001
98,375.650000000001
99,369.349999999999
100,357.799999999996
101,361.900000000001
102,350.450000000004
103,372.899999999994
104,360.100000000006
105,372.649999999994
106,385.450000000004
107,357.699999999997
108,362.300000000003
109,370.299999999996
110,360.600000000006
111,390.049999999996
112,381.650000000001
113,361.5
114,365.800000000003
115,373.099999999999
116,384.549999999996
117,409.850000000006
118,355.149999999994
119,345.400000000001
120,380.099999999999
121,358.75
122,357.950000000004
123,412.349999999999
124,375.5
125,381.049999999996
126,370.050000000003
127,355.099999999999
128,363.550000000003
129,401.199999999997
130,366.050000000003
131,434.650000000001
132,376.649999999994
133,354.350000000006
134,432.099999999999
135,360.5
136,371.599999999999
137,393.400000000001
138,768.650000000001
139,473.649999999994
140,462.700000000004
141,433.349999999999
142,365
143,377.099999999999
144,354.900000000001
145,351.550000000003
146,326.5
147,338.899999999994
148,333.350000000006
149,337.049999999996
150,330.349999999999
151,347.900000000001
152,346.599999999999
153,343.800000000003
154,361.099999999999
155,323.800000000003
156,351.349999999999
157,336.900000000001
158,330.299999999996
159,333.25
160,351.5
161,353.450000000004
162,326.699999999997
163,332.700000000004
164,361
165,360.699999999997
166,331.800000000003
167,328.799999999996
168,342.75
169,340.550000000003
170,328.349999999999
171,314.400000000001
172,337.5
173,321
174,348.149999999994
175,326.900000000001
176,337.550000000003
177,331.049999999996
178,373.450000000004
179,336.949999999997
180,345.599999999999
181,328
182,328.550000000003
183,343.649999999994
184,351.950000000012
185,356.25
186,331.549999999988
187,329.550000000003
188,326.150000000009
189,341.799999999988
190,327.450000000012
191,379.049999999988
192,331
193,384.300000000003
194,346.5
195,336.75
196,340.350000000006
197,332.149999999994
198,353.850000000006
199,352.050000000003
200,330.649999999994
201,331.100000000006
202,352.299999999988
203,342.150000000009
204,342.25
205,327.050000000003
206,326.799999999988
207,364.900000000009
208,344.199999999997
209,342.550000000003
210,346.399999999994
211,334.25
212,348.75
213,360.949999999997
214,370.850000000006
215,331.350000000006
216,319.349999999991
217,327.550000000003
218,321.699999999997
219,315.850000000006
220,320.149999999994
221,332.75
222,335.400000000009
223,313.349999999991
224,340.050000000003
225,363.149999999994
226,355.050000000003
227,350.449999999997
228,343.25
229,315.900000000009
230,329.849999999991
231,369.350000000006
232,352.600000000006
233,354.399999999994
234,325.949999999997
235,324.75
236,332.100000000006
237,347.550000000003
238,349.5
239,337.449999999997
240,336.300000000003
241,341.149999999994
242,387.5
243,356
244,374.100000000006
245,388.699999999997
246,359.199999999997
247,338.050000000003
248,326.549999999988
249,320.25
250,332.650000000009
251,441.949999999997
252,355.75
253,346.25
254,357.699999999997
255,325.400000000009
256,373.599999999991
257,339.300000000003
258,360.699999999997
259,350
260,336.75
261,350.350000000006
262,354.949999999997
263,338.800000000003
264,334.149999999994
265,341.300000000003
266,332.699999999997
267,340.400000000009
268,371.149999999994
269,399.75
270,327.199999999997
271,321.850000000006
272,337.649999999994
273,344.850000000006
274,339.899999999994
275,328.75
276,350.150000000009
277,318
278,334.099999999991
279,755.300000000003
280,329.25
281,340.699999999997
282,357.350000000006
283,343.849999999991
284,359.850000000006
285,322.5
286,347.949999999997
287,402.350000000006
288,373.199999999997
289,452.399999999994
290,515.700000000012
291,393.949999999997
292,337.599999999991
293,359.350000000006
294,375.300000000003
295,335.449999999997
296,351.550000000003
297,328.449999999997
298,318
299,344.850000000006
300,344.849999999991
301,322.900000000009
302,350.199999999997
303,327.649999999994
304,324.400000000009
305,343.849999999991
306,410.650000000009
307,324.299999999988
308,344.450000000012
309,325.199999999997
310,331.75
311,360.5
312,316
313,327.300000000003
314,364.699999999997
315,329.449999999997
316,337.100000000006
317,327.399999999994
