"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,137.15,12.2070306701806
2,257.25,10.9863276031874
3,105,9.76562453616665
4,444.25,15.8691398712707
5,220.3,12.2070306702637
6,590.75,10.9863276032374
7,249.85,12.2070306701528
8,178.8,12.2070306701528
9,195.85,12.2070306701527
10,257.75,10.9863276031375
11,324.849999999999,12.2070306703748
12,347.299999999999,10.9863276033373
13,299.65,12.2070306701527
14,337.65,10.9863276031374
15,375.299999999999,9.76562453629985
16,157.45,10.9863276031374
17,712.4,10.9863276033373
18,97,13.4277337374125
19,289.150000000001,12.2070306699307
20,372.1,10.9863276033374
21,286.950000000001,10.9863276029376
22,407.15,10.9863276033374
23,403.75,12.2070306703748
24,193.25,10.9863276033376
25,373.949999999999,10.9863276033373
26,203.75,9.76562453629988
27,26.1499999999996,10.9863276029376
27,315.65,10.9863276029376
28,566.549999999999,9.76562453629988
29,390.400000000001,9.76562453629988
30,293.149999999998,10.9863276033374
30,373.199999999997,10.9863276033374
31,249.649999999998,12.2070306703748
32,583.649999999998,10.9863276033373
33,157.049999999999,12.2070306703748
34,228.950000000001,10.9863276033373
35,413.849999999999,12.2070306703748
36,106.550000000003,12.2070306694866
37,256.299999999999,9.76562453629988
37,269.450000000001,9.76562453629988
38,17.75,10.9863276033373
38,225.200000000001,10.9863276033373
39,304.599999999999,9.76562453629988
40,350.049999999999,12.2070306694866
41,61.8500000000022,10.9863276033373
42,165.349999999999,9.76562453629995
42,399.25,9.76562453629995
43,351.25,10.9863276033373
44,123.699999999997,12.2070306703748
45,249.549999999999,12.2070306703748
46,327.149999999998,12.2070306703748
47,281.600000000002,10.9863276033374
48,256.299999999999,12.2070306703748
49,300.100000000002,10.9863276033374
50,373.349999999999,12.2070306703748
51,474.75,15.8691398714872
52,228.049999999999,10.9863276033373
53,243.350000000002,12.2070306694867
54,151.549999999999,12.2070306703748
55,136.849999999999,9.76562453629981
55,305.849999999999,9.76562453629981
56,269.099999999999,10.9863276033373
57,246.849999999999,9.76562453629984
58,39.1499999999978,9.76562453629981
58,42.3499999999985,9.76562453629981
58,383.149999999998,9.76562453629981
59,335.849999999999,9.76562453629984
60,471.199999999997,21.9726552066749
61,291.349999999999,9.76562453629983
61,292.200000000001,9.76562453629983
62,242.450000000001,10.986327602538
63,208.599999999999,29.2968736110311
64,168.599999999999,30.5175766781574
65,227.25,12.2070306694867
66,248.549999999996,12.207030671263
67,204.150000000001,10.9863276041367
68,145.400000000001,13.4277337383892
69,348.050000000003,10.986327602538
70,297.800000000003,12.2070306694866
71,338.25,9.76562453701042
72,266.25,9.76562453701042
73,574.050000000003,13.4277337364352
74,239.5,9.7656245355893
75,324.449999999997,12.2070306694866
76,54.5500000000029,12.2070306694866
77,4.95000000000437,12.2070306694866
78,134.149999999994,10.9863276041366
79,609.150000000001,12.2070306694866
