"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",69.9499999999999,26.1230456342219,623.2
1,"APD 50",117.25,-5.67626926164168,670.5
1,"APD 90",162.75,-48.2177711472788,716
2,"APD 20",67.25,25.756834714116,979.1
2,"APD 50",116,-5.85937472169463,1027.85
2,"APD 90",160.3,-48.0346656872258,1072.15
3,"APD 20",68.5500000000002,25.756834714116,1335
3,"APD 50",118.4,-5.79833956834365,1384.85
3,"APD 90",163.3,-47.9125953805238,1429.75
4,"APD 20",70,25.3295886406591,1677.25
4,"APD 50",118.75,-6.16455048844956,1726
4,"APD 90",164.2,-48.1567359939278,1771.45
5,"APD 20",68.8500000000001,25.3906237940101,2015.9
5,"APD 50",115.5,-5.92040987504562,2062.55
5,"APD 90",158.55,-47.6074196137689,2105.6
6,"APD 20",67.0499999999997,25.756834714116,2377.15
6,"APD 50",116.2,-5.49316380158872,2426.3
6,"APD 90",160.3,-47.302243847014,2470.4
7,"APD 20",73.9499999999998,25.634764407414,2724.55
7,"APD 50",119.7,-5.67626926164168,2770.3
7,"APD 90",163.3,-47.363279000365,2813.9
8,"APD 20",66.0999999999999,24.7802722605002,3071.15
8,"APD 50",113.05,-5.92040987504562,3118.1
8,"APD 90",158.15,-46.9360329269081,3163.2
9,"APD 20",68.4000000000001,24.7802722605002,3425.4
9,"APD 50",116.45,-5.85937472169463,3473.45
9,"APD 90",160.25,-46.7529274668551,3517.25
10,"APD 20",69.5500000000002,25.634764407414,3795.05
10,"APD 50",120.3,-5.79833956834365,3845.8
10,"APD 90",165.45,-47.5463844604179,3890.95
11,"APD 20",65.6999999999998,24.5361316470963,4131.15
11,"APD 50",113.8,-6.22558564180055,4179.25
11,"APD 90",158.3,-47.05810323361,4223.75
12,"APD 20",67.25,24.4140613403943,4493.8
12,"APD 50",115.25,-6.22558564180055,4541.8
12,"APD 90",159.35,-46.9360329269081,4585.9
13,"APD 20",68.7000000000007,24.7802722605002,4872.5
13,"APD 50",117.35,-6.04248018174759,4921.15
13,"APD 90",162.200000000001,-46.997068080259,4966
14,"APD 20",71.6000000000004,24.5971668004473,5223.4
14,"APD 50",118.900000000001,-6.04248018174759,5270.7
14,"APD 90",163.05,-47.05810323361,5314.85
15,"APD 20",67.8000000000002,24.2919910336923,5618.8
15,"APD 50",115.3,-6.22558564180055,5666.3
15,"APD 90",159.3,-46.997068080259,5710.3
16,"APD 20",73.0499999999993,25.1464831806061,5964.5
16,"APD 50",121.099999999999,-5.79833956834365,6012.55
16,"APD 90",165.5,-47.05810323361,6056.95
17,"APD 20",66.3000000000002,24.0478504202884,6316.55
17,"APD 50",113,-6.10351533509858,6363.25
17,"APD 90",157.85,-46.4477517001002,6408.1
18,"APD 20",68.6000000000004,24.1699207269904,6647.2
18,"APD 50",113.95,-6.04248018174759,6692.55
18,"APD 90",158,-46.1425759333452,6736.6
19,"APD 20",69.0500000000002,24.4140613403943,7030.45
19,"APD 50",116.55,-5.92040987504562,7077.95
19,"APD 90",160.45,-46.3867165467492,7121.85
20,"APD 20",72.8999999999996,25.2685534873081,7420.8
20,"APD 50",123.3,-5.55419895493971,7471.2
20,"APD 90",167.099999999999,-46.6308571601531,7515
21,"APD 20",71.2000000000007,25.3906237940101,7819.9
21,"APD 50",121.150000000001,-5.31005834153576,7869.85
21,"APD 90",164.55,-46.2036110866962,7913.25
22,"APD 20",75.1000000000004,25.5126941007121,8202.15
22,"APD 50",126.200000000001,-5.49316380158872,8253.25
22,"APD 90",171,-46.9360329269081,8298.05
23,"APD 20",66.6499999999996,24.1699207269904,8566.05
23,"APD 50",110.1,-6.10351533509858,8609.5
23,"APD 90",154,-46.5087868534512,8653.4
24,"APD 20",69.0500000000011,23.8037098068845,8893.65
24,"APD 50",114.25,-6.40869110185351,8938.85
24,"APD 90",157.950000000001,-46.5698220068021,8982.55
25,"APD 20",65.0499999999993,23.6816395001825,9233.85
25,"APD 50",110.4,-6.04248018174759,9279.2
25,"APD 90",153.1,-45.8374001665903,9321.9
26,"APD 20",62.9500000000007,23.5595691934805,9578.25
26,"APD 50",107.4,-6.34765594850252,9622.7
26,"APD 90",151.65,-46.2646462400472,9666.95
27,"APD 20",61,23.5595691934805,9937.65
27,"APD 50",106.5,-6.46972625520449,9983.15
27,"APD 90",151.65,-46.5087868534512,10028.3
28,"APD 20",64.5499999999993,23.8037098068845,10302.55
28,"APD 50",107.75,-5.92040987504562,10345.75
28,"APD 90",149.65,-45.6542947065374,10387.65
29,"APD 20",70.3999999999996,24.8413074138512,10662.6
29,"APD 50",117.700000000001,-5.61523410829069,10709.9
29,"APD 90",162.4,-46.0815407799943,10754.6
30,"APD 20",60.9500000000007,21.9726552063549,11086.05
30,"APD 50",103.85,-7.14111294206534,11128.95
30,"APD 90",147.1,-45.8984353199413,11172.2
31,"APD 20",68.4500000000007,24.4750964937453,11478.55
31,"APD 50",115.550000000001,-5.67626926164168,11525.65
31,"APD 90",159.25,-45.8984353199413,11569.35
32,"APD 20",69.75,24.4140613403943,11855.55
32,"APD 50",116.65,-5.73730441499266,11902.45
32,"APD 90",160.949999999999,-46.0205056266433,11946.75
33,"APD 20",75.5500000000011,24.9633777205532,12227.05
33,"APD 50",124.300000000001,-5.67626926164168,12275.8
33,"APD 90",169.150000000001,-46.5087868534512,12320.65
34,"APD 20",72.8999999999996,24.2309558803414,12589.85
34,"APD 50",119.549999999999,-6.10351533509858,12636.5
34,"APD 90",163.549999999999,-46.5698220068021,12680.5
35,"APD 20",68.5,23.5595691934805,12946.65
35,"APD 50",112.349999999999,-6.28662079515153,12990.5
35,"APD 90",156.599999999999,-46.2646462400472,13034.75
36,"APD 20",66.5,23.4985340401295,13288
36,"APD 50",110.400000000001,-6.46972625520449,13331.9
36,"APD 90",154.300000000001,-46.2036110866962,13375.8
37,"APD 20",69.5499999999993,24.2919910336923,13663
37,"APD 50",115.799999999999,-5.73730441499266,13709.25
37,"APD 90",159.65,-45.7153298598883,13753.1
38,"APD 20",68.9500000000007,23.4374988867785,14002.15
38,"APD 50",114.35,-6.40869110185351,14047.55
38,"APD 90",158.25,-46.0205056266433,14091.45
39,"APD 20",76,23.8647449602354,14387.65
39,"APD 50",120.349999999999,-6.16455048844956,14432
39,"APD 90",164.65,-46.2646462400472,14476.3
40,"APD 20",61.1999999999989,23.0102528133216,14733.75
40,"APD 50",106.199999999999,-6.53076140855548,14778.75
40,"APD 90",150.949999999999,-45.9594704732923,14823.5
41,"APD 20",76.8999999999996,23.9257801135864,15103.8
41,"APD 50",126,-5.98144502839661,15152.9
41,"APD 90",171.199999999999,-45.8984353199413,15198.1
42,"APD 20",89.25,24.5361316470963,15535.3
42,"APD 50",144.449999999999,-5.85937472169463,15590.5
42,"APD 90",196.699999999999,-46.5087868534512,15642.75
43,"APD 20",86.1000000000004,24.3530261870433,15989.35
43,"APD 50",140,-6.10351533509858,16043.25
43,"APD 90",189.550000000001,-46.6918923135041,16092.8
44,"APD 20",76.75,24.0478504202884,16376.75
44,"APD 50",126.6,-6.10351533509858,16426.6
44,"APD 90",173.500000000002,-46.3867165467492,16473.5
45,"APD 20",78.7999999999993,23.8647449602354,16775.1
45,"APD 50",126.25,-6.16455048844956,16822.55
45,"APD 90",172.849999999999,-46.0815407799943,16869.15
46,"APD 20",82.9500000000007,24.4140613403943,17192.65
46,"APD 50",132.650000000001,-5.85937472169463,17242.35
46,"APD 90",179.950000000001,-45.9594704732923,17289.65
47,"APD 20",70.7000000000007,23.4985340401295,17550.1
47,"APD 50",117.850000000002,-6.40869110185351,17597.25
47,"APD 90",163.700000000001,-46.2036110866962,17643.1
48,"APD 20",70.2999999999993,22.8271473532687,17945.9
48,"APD 50",116.900000000001,-6.40869110185351,17992.5
48,"APD 90",159.75,-45.2880837864315,18035.35
49,"APD 20",71.6500000000015,23.2543934267256,18325.25
49,"APD 50",116.400000000001,-6.53076140855548,18370
49,"APD 90",163.25,-46.1425759333452,18416.85
50,"APD 20",71.8999999999978,22.8271473532687,18704.7
50,"APD 50",117.200000000001,-6.46972625520449,18750
50,"APD 90",162.200000000001,-45.5932595531864,18795
51,"APD 20",73.5500000000029,23.6206043468315,19076.5
51,"APD 50",120.700000000001,-6.10351533509858,19123.65
51,"APD 90",167.75,-45.8374001665903,19170.7
52,"APD 20",71.75,22.7050770465667,19467.4
52,"APD 50",120.450000000001,-6.65283171525745,19516.1
52,"APD 90",166.150000000001,-45.7153298598883,19561.8
53,"APD 20",73.1499999999978,22.8271473532687,19857.45
53,"APD 50",122.5,-6.71386686860844,19906.8
53,"APD 90",169.149999999998,-46.0815407799943,19953.45
54,"APD 20",77.5999999999985,23.7426746535335,20233.35
54,"APD 50",126.5,-6.10351533509858,20282.25
54,"APD 90",170.5,-45.8374001665903,20326.25
55,"APD 20",69.6499999999978,22.6440418932157,20638.65
55,"APD 50",117.299999999999,-6.95800748201238,20686.3
55,"APD 90",162.149999999998,-46.2036110866962,20731.15
56,"APD 20",84.7000000000007,24.4750964937453,21020.3
56,"APD 50",135.400000000001,-5.85937472169463,21071
56,"APD 90",183.099999999999,-46.3867165467492,21118.7
57,"APD 20",79.4500000000007,23.6206043468315,21421.55
57,"APD 50",127.25,-6.04248018174759,21469.35
57,"APD 90",172.200000000001,-45.4101540931334,21514.3
58,"APD 20",87.3500000000022,25.1464831806061,21822.05
58,"APD 50",140.400000000001,-5.18798803483379,21875.1
58,"APD 90",185.350000000002,-45.4711892464844,21920.05
59,"APD 20",82.5,23.9868152669374,22240.4
59,"APD 50",132.549999999999,-6.04248018174759,22290.45
59,"APD 90",177.799999999999,-46.1425759333452,22335.7
60,"APD 20",81.6000000000022,24.1699207269904,22625.6
60,"APD 50",131.350000000002,-5.85937472169463,22675.35
60,"APD 90",177.5,-45.7763650132393,22721.5
61,"APD 20",82.6000000000022,24.4140613403943,23018.85
61,"APD 50",132.400000000001,-5.43212864823773,23068.65
61,"APD 90",177.550000000003,-45.2880837864315,23113.8
62,"APD 20",83.75,24.0478504202884,23407.7
62,"APD 50",130.700000000001,-5.67626926164168,23454.65
62,"APD 90",176.549999999999,-45.2880837864315,23500.5
63,"APD 20",87.9000000000015,24.4140613403943,23805.15
63,"APD 50",138.900000000001,-5.43212864823773,23856.15
63,"APD 90",186.450000000001,-45.3491189397824,23903.7
64,"APD 20",87.2999999999993,24.4750964937453,24216.65
64,"APD 50",140.549999999999,-5.43212864823773,24269.9
64,"APD 90",187.849999999999,-45.3491189397824,24317.2
65,"APD 20",86.2000000000007,24.5971668004473,24604.7
65,"APD 50",138.800000000003,-5.37109349488675,24657.3
65,"APD 90",186,-45.4101540931334,24704.5
66,"APD 20",90.2000000000007,25.0854480272552,25008.9
66,"APD 50",143.700000000001,-5.00488257478083,25062.4
66,"APD 90",191.600000000002,-45.3491189397824,25110.3
67,"APD 20",87.2999999999993,24.2919910336923,25400.7
67,"APD 50",138.299999999999,-5.49316380158872,25451.7
67,"APD 90",184.400000000001,-45.3491189397824,25497.8
68,"APD 20",77.75,22.8881825066197,25796.45
68,"APD 50",125.900000000001,-6.28662079515153,25844.6
68,"APD 90",172.100000000002,-45.3491189397824,25890.8
69,"APD 20",84.2999999999993,24.7192371071492,26185.1
69,"APD 50",133.899999999998,-5.06591772813182,26234.7
69,"APD 90",181.649999999998,-44.7998025596236,26282.45
70,"APD 20",84.3500000000022,23.9868152669374,26579.55
70,"APD 50",135.299999999999,-5.67626926164168,26630.5
70,"APD 90",181.400000000001,-45.1660134797295,26676.6
71,"APD 20",79.75,23.3764637334276,26990.8
71,"APD 50",129.25,-5.98144502839661,27040.3
71,"APD 90",176.399999999998,-45.1660134797295,27087.45
72,"APD 20",85.5999999999985,24.4140613403943,27370.9
72,"APD 50",136.899999999998,-5.49316380158872,27422.2
72,"APD 90",184.5,-45.1660134797295,27469.8
73,"APD 20",88.0999999999985,23.9257801135864,27770.4
73,"APD 50",137.849999999999,-5.55419895493971,27820.15
73,"APD 90",185.449999999997,-44.8608377129745,27867.75
74,"APD 20",83.4000000000015,23.6816395001825,28169.35
74,"APD 50",134.25,-5.85937472169463,28220.2
74,"APD 90",181.100000000002,-45.2880837864315,28267.05
75,"APD 20",82.2000000000007,24.2919910336923,28545.05
75,"APD 50",133.75,-5.43212864823773,28596.6
75,"APD 90",180.450000000001,-45.2270486330805,28643.3
76,"APD 20",83.9000000000015,23.4985340401295,28952.4
76,"APD 50",133.050000000003,-5.92040987504562,29001.55
76,"APD 90",179.100000000002,-45.2270486330805,29047.6
77,"APD 20",87.7000000000007,24.5971668004473,29334.4
77,"APD 50",138.400000000001,-5.31005834153576,29385.1
77,"APD 90",185.950000000001,-44.9218728663255,29432.65
78,"APD 20",87.4000000000015,23.6816395001825,29746.4
78,"APD 50",138.75,-5.92040987504562,29797.75
78,"APD 90",185.150000000001,-45.2880837864315,29844.15
79,"APD 20",85.5999999999985,24.4140613403943,30148.75
79,"APD 50",139.349999999999,-5.06591772813182,30202.5
79,"APD 90",185.650000000001,-44.5556619462196,30248.8
80,"APD 20",89.75,24.4140613403943,30531.7
80,"APD 50",141.049999999999,-5.43212864823773,30583
80,"APD 90",188.650000000001,-45.2270486330805,30630.6
81,"APD 20",86.3499999999985,23.8037098068845,30928.7
81,"APD 50",136.599999999999,-5.73730441499266,30978.95
81,"APD 90",184.049999999999,-45.0439431730275,31026.4
82,"APD 20",83.25,23.9868152669374,31312.6
82,"APD 50",132.799999999999,-5.55419895493971,31362.15
82,"APD 90",181.349999999999,-45.2270486330805,31410.7
