"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,253.65,-13.4277337371986
2,158.4,-9.76562453616658
3,101.05,-8.54492146914576
4,329.4,-9.76562453616665
5,331.75,-10.9863276032374
6,349.15,-8.54492146918462
7,392.85,-9.76562453621099
8,40.0999999999999,-8.54492146918462
9,328.95,-9.76562453612217
10,213.8,-10.9863276031376
11,347.900000000001,-10.9863276031376
12,341.5,-9.76562453612232
13,323.1,-9.76562453612217
14,322.7,-9.76562453612217
15,314.8,-10.9863276031374
16,296.65,-8.54492146910697
17,286.45,-12.2070306703748
18,285.25,-8.54492146910692
19,286.45,-7.32421840222488
20,299.35,-10.9863276031374
21,253.9,-7.32421840222489
22,363.15,-9.76562453629981
23,278.1,-7.32421840222489
24,346.75,-9.76562453594454
25,291.35,-8.54492146926237
26,128.699999999999,-8.54492146926233
27,357.25,-9.76562453629981
28,310.4,-9.76562453629981
29,224.449999999999,-9.76562453629988
30,270.150000000001,-9.76562453594456
31,323.200000000001,-9.76562453594454
32,271.700000000001,-9.76562453629981
33,189.650000000001,-10.9863276029376
34,222.15,-9.76562453629981
35,307.15,-8.54492146926233
36,342.85,-10.9863276029376
37,181.25,-8.54492146926233
38,10.25,-8.54492146926233
39,108.199999999999,-8.54492146926233
40,227.4,-9.76562453594454
41,346.349999999999,-9.76562453629981
42,121.950000000001,-8.54492146926233
43,376.799999999999,-10.9863276033373
44,366.799999999999,-8.54492146926233
45,325.200000000001,-9.76562453629981
46,371.100000000002,-9.76562453629981
47,26.5,-8.54492146926248
48,289.799999999999,-9.76562453629981
49,338.650000000001,-9.76562453558927
50,68,-8.54492146926233
51,164.5,-10.9863276033373
52,294.649999999998,-7.32421840222493
53,209.299999999999,-8.54492146926233
54,315.450000000001,-9.76562453629988
55,38.9000000000015,-7.32421840222486
56,288.150000000001,-9.76562453558934
57,340.049999999999,-12.2070306703748
58,276.599999999999,-8.54492146926236
59,222.549999999999,-9.76562453629988
60,341.75,-9.76562453558927
61,239.649999999998,-10.9863276033374
62,49.5499999999993,-8.54492146926233
63,210.599999999999,-8.54492146926233
64,327.449999999997,-10.9863276033373
65,249.200000000001,-7.32421840222488
66,276.450000000001,-9.76562453629981
67,17.0499999999993,-8.54492146926233
68,223.5,-10.9863276033373
69,323.799999999999,-8.54492146926241
70,280.75,-9.76562453629981
71,297.199999999997,-8.54492146926233
72,211.100000000002,-9.76562453629981
73,441.75,-9.76562453629995
74,344.899999999998,-8.54492146926241
75,339.799999999999,-8.54492146926241
76,87.9000000000015,-8.54492146926248
77,216.25,-8.54492146926233
78,329.700000000001,-9.76562453629981
79,153.849999999999,-8.54492146926248
80,183.75,-9.76562453558927
81,152.799999999999,-8.54492146926233
82,130.349999999999,-8.54492146926262
83,156.200000000001,-8.54492146926233
84,226.450000000001,-8.54492146926234
85,47.25,-8.54492146926233
86,285.049999999999,-7.32421840275805
87,318.399999999994,-9.76562453701035
88,223.450000000004,-8.54492146864064
89,236.399999999994,-9.76562453701037
90,79.75,-7.32421840275777
91,8.84999999999854,-8.54492146988406
92,224.049999999996,-7.32421840275778
93,174.649999999994,-8.54492146988406
94,171.75,-9.76562453701035
95,244.75,-9.76562453701037
96,230,-9.76562453558929
97,132.800000000003,-10.9863276025382
98,238.049999999996,-9.76562453701039
99,31.3000000000029,-8.54492146864061
100,136.849999999999,-8.54492146988406
101,292.550000000003,-9.76562453558927
102,314.299999999996,-9.76562453701035
103,297.050000000003,-8.54492146864061
104,73.1000000000058,-8.54492146864061
105,292.949999999997,-9.76562453701035
106,67.1500000000015,-9.76562453558927
107,263.049999999996,-9.76562453701042
108,230.900000000001,-8.54492146864061
109,217.449999999997,-8.54492146988409
110,160.400000000001,-9.76562453701042
111,301.599999999999,-9.76562453701035
112,157.550000000003,-9.76562453558927
113,260.099999999999,-9.76562453701035
114,194.299999999996,-7.3242184027578
115,194.449999999997,-9.76562453701035
116,105.099999999999,-8.54492146864061
117,80.0500000000029,-9.76562453558927
118,191.649999999994,-7.32421840275777
119,191,-12.2070306694866
120,288.449999999997,-8.54492146988434
121,232.949999999997,-8.54492146988406
122,74.75,-9.76562453701035
123,10.0499999999956,-8.54492146988406
124,178.300000000003,-9.76562453558927
125,277.349999999999,-9.76562453701035
126,269.25,-8.54492146988406
127,193.150000000001,-7.32421840275778
128,260.150000000001,-9.76562453558927
129,275.800000000003,-8.54492146864061
130,70.8999999999942,-9.76562453701035
131,279.649999999994,-8.54492146988406
132,239.150000000001,-8.54492146988406
133,199.449999999997,-8.54492146988413
134,153.599999999999,-8.54492146988406
135,42.7999999999956,-8.54492146988406
136,168.700000000004,-9.76562453558934
137,253.599999999999,-8.54492146988406
138,188.400000000001,-8.54492146864064
139,296.700000000004,-9.76562453558927
140,241.550000000003,-8.54492146864061
141,246.75,-9.76562453558934
142,47.1999999999971,-7.32421840275777
143,141.300000000003,-8.54492146864061
144,191.149999999994,-9.76562453701035
145,161.199999999997,-9.76562453701035
146,215.449999999997,-8.54492146988407
147,205.450000000004,-9.76562453558928
148,218.900000000001,-8.54492146864061
149,212.099999999999,-10.9863276025379
150,230.799999999996,-9.76562453701042
151,186.699999999997,-10.9863276041366
152,198.900000000001,-9.76562453558927
153,304.400000000001,-8.54492146864061
154,183,-8.54492146864068
155,77.4000000000015,-9.76562453558927
156,171.449999999997,-9.76562453701042
157,13.5999999999985,-7.32421840275777
158,266.950000000004,-9.76562453558927
159,227.699999999997,-8.54492146988406
160,202.449999999997,-7.32421840275778
161,177.649999999994,-8.54492146988413
162,8.60000000000582,-8.54492146864061
