"Sweep (n)","Peak x (s)","Peak y (mV)"
1,148.3,47.302243847014
2,153.7,46.7529274668551
3,154.65,46.7529274668551
4,131.15,46.2646462400472
5,138.65,46.1425759333452
6,166.75,46.5087868534512
7,133.75,46.4477517001002
8,152.35,45.2270486330805
9,152.4,45.1660134797295
10,162.4,46.4477517001002
11,130.05,45.0439431730275
12,161.299999999999,44.7387674062726
13,176.65,45.1660134797295
14,141.049999999999,45.1049783263785
15,199.65,44.6166970995706
16,141.5,45.7763650132393
17,150.599999999999,44.2504861794647
18,123.5,44.2504861794647
19,187.85,44.5556619462196
20,183.8,45.7153298598883
21,183.749999999999,45.7763650132393
22,163.05,46.2646462400472
23,153.75,44.3115213328157
24,131.75,43.8842752593588
25,141.85,43.5790994926038
26,150.75,43.3959940325509
27,175.85,43.5180643392529
28,166.25,43.5790994926038
29,168.65,44.9829080196765
30,229.849999999999,41.2597636652664
31,197.699999999999,44.5556619462196
32,175.4,44.4946267928686
33,158.099999999999,45.2880837864315
34,144.6,44.3725564861667
35,159.200000000001,43.4570291859019
36,146.699999999999,43.3349588791999
37,171.1,44.1894510261137
38,135.549999999999,43.2128885724979
39,178.6,43.8232401060078
40,154.450000000001,42.785642499041
41,172.1,43.7622049526568
42,201.4,44.8608377129745
43,214,44.5556619462196
44,168.6,44.0673807194117
45,176.200000000001,43.8232401060078
46,199.949999999997,44.4335916395176
47,145,43.3349588791999
48,193.849999999999,42.2363261188822
49,178.75,43.029783112445
50,172.200000000001,42.3583964255841
51,156.349999999999,43.4570291859019
52,178.549999999999,42.3583964255841
53,180.200000000001,42.4194315789351
54,160.050000000003,43.5790994926038
55,201.850000000002,42.1752909655312
56,161.599999999999,44.6166970995706
57,171.450000000001,43.2739237258489
58,173.599999999999,45.2270486330805
59,195.049999999999,44.0673807194117
60,166.099999999999,44.0673807194117
61,169.349999999999,44.2504861794647
62,167.849999999999,43.8232401060078
63,169.549999999999,44.2504861794647
64,183.350000000002,44.3115213328157
65,158.149999999998,44.6166970995706
66,173.049999999999,45.2270486330805
67,161.549999999999,44.1894510261137
68,180.599999999999,42.3583964255841
69,163.450000000001,44.4946267928686
70,167.099999999999,43.7011697993058
71,193.950000000001,42.907712805743
72,152.300000000003,44.2504861794647
73,165.550000000003,43.5790994926038
74,178.149999999998,43.3349588791999
75,154.799999999999,44.0063455660607
76,183.5,43.1518534191469
77,160.649999999998,44.4335916395176
78,182.199999999997,43.3959940325509
