"Sweep (n)","RR (ms)"
1,NA
2,391.9
3,379.05
4,376.6
5,392.55
6,408
7,385.7
8,400.35
9,387.95
10,396.2
11,395.2
12,385.1
13,391.150000000001
14,374.349999999999
15,387.9
16,382.55
17,380.5
18,398.45
19,384.3
20,373.95
21,370.400000000001
22,376.9
23,383.15
24,369.75
25,380.950000000001
26,385.75
27,372.049999999999
28,385.950000000001
29,377.449999999999
30,378.800000000001
31,372.849999999999
32,387.150000000001
33,385.099999999999
34,388.450000000001
35,378.1
36,388.699999999999
37,390.400000000001
38,383.949999999999
39,385.700000000001
40,407.4
41,489.949999999999
42,420.200000000001
43,389.599999999999
44,391.450000000001
45,363.900000000001
46,384.399999999998
47,380.200000000001
48,372.950000000001
49,370.849999999999
50,369.650000000001
51,361.099999999999
52,375.950000000001
53,371.5
54,367.700000000001
55,376.849999999999
56,377.600000000002
57,364.399999999998
58,358.100000000002
59,375.349999999999
60,377.900000000001
61,367.799999999999
62,365.25
63,372.75
64,379.200000000001
65,360.549999999999
66,355.349999999999
67,358.400000000001
68,362.75
69,364.049999999999
70,391.299999999999
71,402.100000000002
72,419.299999999999
73,424.349999999999
74,439.75
75,442.350000000002
76,436.899999999998
77,405.299999999999
78,371.800000000003
79,357
80,336.599999999999
81,339.950000000001
82,329.149999999998
83,333.450000000001
84,332.5
85,323.450000000001
86,329.25
87,332.700000000001
88,333.25
89,329.099999999999
90,340.150000000001
91,338.849999999999
92,329.550000000003
93,328.75
94,328.899999999994
95,335.400000000001
96,324.25
97,331.349999999999
98,334.800000000003
99,328.449999999997
100,329.700000000004
101,329.449999999997
102,329.849999999999
103,323.100000000006
104,325.149999999994
105,315.75
106,328.300000000003
107,313.650000000001
108,329.400000000001
109,322.299999999996
110,317.700000000004
111,321.899999999994
112,321.600000000006
113,321.349999999999
114,309.349999999999
115,314.349999999999
116,316.950000000004
117,316.199999999997
118,314.75
119,302
120,314.300000000003
121,308.699999999997
122,314.049999999996
123,311.200000000004
124,317.400000000001
125,315.199999999997
126,316.349999999999
127,309.150000000001
128,305.25
129,312.349999999999
130,312.700000000004
131,306
132,313.549999999996
133,309.599999999999
134,306.400000000001
135,306.550000000003
136,310.549999999996
137,313.800000000003
138,305.300000000003
139,310.299999999996
140,315.900000000001
141,309.550000000003
142,304.099999999999
143,320.650000000001
144,310.199999999997
145,298.25
146,307.150000000001
147,317.049999999996
148,306.550000000003
149,302
150,310.300000000003
151,309.399999999994
152,306.75
153,305.600000000006
154,315.849999999999
155,311.199999999997
156,308.450000000004
157,307.949999999997
158,309.199999999997
159,316.25
160,300.400000000001
161,304.75
162,305.650000000001
163,299.75
164,305.25
