"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,173.4,100.097651495594
2,173.75,100.09765149548
3,166.7,97.6562453616661
4,190.6,85.4492146914578
5,192.9,89.1113238925203
6,179.55,97.656245361222
7,186.15,87.8906208250998
8,176.15,91.5527300261456
9,172.95,95.2148392271914
10,182.6,86.6699177588728
11,169,89.111323892115
12,185.45,90.3320269591303
13,165.5,90.3320269591303
14,180,84.228511624054
15,171.4,89.111323893736
16,167.849999999999,84.2285116255861
17,172.95,84.2285116255861
18,172.25,83.0078085570387
19,167.55,87.8906208250998
20,152.9,87.8906208266985
21,152.25,83.0078085585486
22,161.65,79.3456993574361
23,146.85,83.0078085585486
24,164.549999999999,81.7871054915111
25,169.800000000001,74.4628870865773
26,152.549999999999,87.8906208266985
27,168.85,76.9042932205634
28,168.9,79.3456993574361
28,169,79.3456993574361
29,160.699999999999,80.5664024244736
30,154.950000000001,76.9042932233612
31,160.25,83.0078085585486
32,165.1,70.8007778881738
33,159.400000000001,78.1249962875565
34,157.1,76.9042932205634
35,163.75,75.6835901563237
36,165.25,78.1249962903987
37,157.85,80.5664024244736
38,163.1,76.9042932205634
39,171.449999999999,83.0078085585486
40,212.099999999999,74.4628870892862
41,171.299999999999,74.4628870892862
42,155.5,65.9179656200239
43,170.25,63.4765594859489
44,144.599999999999,78.1249962903987
45,155.600000000002,63.4765594813304
46,156.75,62.2558564189114
47,146.200000000001,62.2558564189114
48,147.449999999997,59.8144502848365
48,147.549999999999,59.8144502848365
49,144.200000000001,57.3730441507615
50,147.300000000003,62.2558564143817
51,150.100000000002,57.3730441465871
52,141.649999999998,59.8144502848365
53,130.849999999999,54.9316380166865
54,151.349999999999,56.152341083724
55,138.200000000001,52.4902318826116
56,131.099999999999,59.8144502848365
57,122.450000000001,51.2695288155741
57,122.5,51.2695288155741
58,147.150000000001,45.1660134771005
59,146.849999999999,43.9453104133492
60,134.199999999997,45.1660134803867
61,129.649999999998,52.4902318826116
62,133.899999999998,48.8281226814992
63,139.049999999999,42.7246073463117
64,132.149999999998,43.9453104133492
65,126.599999999999,40.2832012122368
66,130.549999999999,41.5039042792743
67,126.450000000001,35.4003889415112
68,125.200000000001,35.4003889440869
69,144.25,36.6210920111244
70,138.5,35.4003889440869
71,152.049999999999,40.2832012122368
72,143.25,34.1796858770494
73,161.75,39.0624981451993
74,148.699999999997,37.8417950781618
75,156.299999999999,34.1796858770494
76,141.650000000001,28.076170541862
76,141.700000000001,28.076170541862
77,134.549999999999,26.8554674748245
78,121.700000000001,23.1933582737121
79,115.349999999999,24.4140613407496
80,118.25,26.8554674728706
81,110.25,28.0761705418621
82,114.400000000001,24.4140613389732
83,120.5,26.8554674748246
84,111.600000000002,25.6347644059219
85,116.700000000001,24.4140613407496
86,115.500000000004,24.4140613389732
87,120.299999999996,26.8554674767785
88,114.150000000001,28.0761705439048
89,120,26.8554674728706
90,131.200000000004,28.0761705398192
91,120.449999999997,29.2968736110311
92,109.5,29.2968736067678
93,109.449999999997,31.7382797406652
94,115.900000000001,26.8554674767785
95,119.349999999999,28.0761705439049
96,119.199999999997,25.6347644096523
97,115.75,23.1933582753996
98,102.099999999999,28.0761705398192
99,114.849999999999,25.6347644096522
100,108.449999999997,21.9726552082734
101,112.349999999999,26.8554674767785
102,119.699999999997,30.5175766781574
103,106.050000000003,29.2968736067679
104,113.300000000003,23.1933582720246
105,119.800000000003,20.7519521381273
106,106.849999999999,24.4140613425259
107,121.649999999994,21.9726552082733
108,110.050000000003,20.7519521381272
109,108.400000000001,20.7519521381273
110,116.400000000001,19.5312490740208
111,111,19.5312490740207
112,121.150000000001,18.3105460042299
113,111.599999999999,15.8691398726418
114,109.449999999997,19.5312490711786
115,117.5,14.6484368033839
116,119.049999999996,15.8691398726419
117,113.850000000006,17.0898429372813
118,107.049999999996,15.8691398726419
119,118.050000000003,17.0898429372813
120,106.349999999999,18.3105460042299
120,106.5,18.3105460042299
121,118.300000000003,15.8691398703326
122,106.550000000003,20.7519521381273
123,111.649999999994,17.0898429397682
124,115.900000000001,17.0898429397682
125,106.450000000004,17.0898429372812
126,101.5,20.751952141147
127,99.2000000000044,18.3105460042299
128,111.849999999999,15.8691398703326
129,116.300000000003,14.648436803384
130,106.299999999996,17.0898429397682
131,107.949999999997,12.2070306694867
132,118.5,13.4277337383893
133,114.050000000003,19.5312490711786
134,108.25,17.0898429397682
135,106.899999999994,18.3105460068945
136,125,12.207030671263
137,109.599999999999,15.8691398726419
138,111.599999999999,14.6484368055156
139,125.150000000001,13.4277337364353
140,116.050000000003,17.0898429372813
141,117,17.0898429372813
142,120.400000000001,15.8691398703326
143,117.950000000004,12.2070306694867
144,107.599999999999,18.3105460042299
145,108.599999999999,18.3105460068944
146,118.800000000003,14.6484368033839
147,109.5,13.4277337383893
148,99.9500000000044,14.648436803384
149,110.25,12.2070306694867
150,109.049999999996,13.4277337383892
151,113.949999999997,14.6484368055156
152,112.099999999999,18.3105460068944
153,114.599999999999,18.3105460068945
154,116.399999999994,18.3105460068944
155,113.400000000001,18.3105460042299
156,108.549999999996,20.751952141147
157,110.450000000004,19.5312490711786
158,120.550000000003,15.8691398703326
159,110.25,18.3105460042299
160,106.150000000001,15.8691398703326
161,116.299999999996,13.4277337383894
162,113.25,14.6484368055156
