"Sweep (n)","APA (mV)"
1,90.8142046709317
2,86.1572224702515
3,95.7153274850159
4,89.6179156652524
5,95.0561478288252
6,85.2050740779761
7,91.9616655539303
8,94.2626908352624
9,95.9899856750953
10,96.1059524664622
11,93.8598588231459
12,92.7368120014878
13,82.7270468519261
14,78.7536583687769
15,86.8164021264422
16,86.8835407951283
17,92.4743608420785
18,97.4365188095137
19,91.8762163392389
20,91.1010698916814
21,87.1337849238673
22,83.1359823793777
23,84.9548299492371
24,86.1389119242462
25,83.4228476001274
26,85.0219686179232
27,78.5461388473836
28,84.1796835016796
29,93.9331010071671
30,94.7204544853948
31,94.604487694028
32,83.032222618681
33,84.4055135690782
34,90.0939898613901
35,95.104975951506
36,92.6818803634719
37,86.4379841756661
38,91.3085894130747
39,81.231685594827
40,82.6354941218996
41,91.3207964437449
42,94.5617630866823
43,93.6340287557473
44,90.270991806108
45,95.8068802150424
46,86.8591267337879
47,90.3747515668046
48,89.2761188064869
49,91.5527300264787
50,91.9982866459409
51,95.2514603195484
52,84.5825155137961
53,89.5629840272365
54,88.2141071381797
55,91.7724565785422
56,88.4277301749082
57,92.8466752775196
58,94.2871048966028
59,96.2524368345046
60,90.9851031003145
61,91.4184526891065
62,91.9555620385952
63,91.3940386277661
64,91.5161089344681
65,90.5517535115225
66,87.3107868685852
67,92.7123979401474
68,87.921138402095
69,93.3471635349976
70,87.5183063899785
71,91.4245562044416
72,92.0776323452971
73,93.4204057190188
74,88.4216266595731
75,88.232417684185
76,92.5292924800944
77,95.0439407981551
78,92.810054185509
79,91.7785600938773
80,88.3972125982327
81,92.4377397500679
82,88.5009723589294
83,85.4186971147046
84,83.1176718333724
85,85.4186971147046
86,89.6484332419279
87,89.6667437879332
88,91.6931108791859
89,90.8508257629423
90,90.9667925543092
91,90.9240679469635
92,95.0805618901656
93,90.0634722847146
94,90.6799273335596
95,92.1691850753236
96,88.1408649541586
97,91.6015581491594
98,94.3298295039485
99,88.2080036228446
100,92.2912553820256
101,90.1611285300762
102,98.4008742324593
103,98.5839796925122
104,97.8332473062951
105,94.4580033259856
106,91.6625933025104
107,93.1701615902798
108,90.8447222476072
109,95.4528763256067
110,92.8771928541951
111,88.4643512669188
112,84.8937947958861
113,87.2314411692289
114,88.8610797637002
115,91.1560015296972
116,86.7797810344316
117,97.8637648829706
118,88.0554157394672
119,92.1997026519991
120,96.0632278591165
121,96.7956496993284
122,95.227046258208
123,93.8415482771406
124,93.9514115531724
125,94.4335892646452
126,92.8405717621845
127,95.8496048223881
128,94.0917924058797
129,88.5498004816102
130,92.749019032158
131,92.5109819340891
132,85.8032185808158
133,89.343257475173
134,90.6188921802086
135,94.7509720620703
136,92.3706010813819
137,92.9443315228811
138,91.6137651798296
139,91.1865191063727
140,94.2748978659326
141,95.2941849268941
142,92.4255327193978
143,93.432612749689
144,90.7897906095913
145,94.6533158167087
146,92.8893998848653
147,90.4113726588152
148,91.8334917318932
149,89.47143129721
150,93.371577596338
151,90.4052691434801
152,89.9902301006934
153,94.5983841786929
154,95.3857376569206
155,92.2058061673342
156,94.1772416205711
157,91.4062456584363
158,92.004390161276
159,91.7663530632071
160,94.3115189579432
161,92.8588823081898
162,90.6188921802086
163,90.6372027262139
164,94.732661516065
165,91.8579057932336
166,93.3837846270082
167,91.3818315970959
168,93.1945756516202
169,93.7805131237896
170,95.5200149942927
171,94.7509720620703
172,94.0856888905446
173,92.3583940507117
174,94.5190384793366
175,95.4406692949365
176,95.1782181355272
177,95.2575638348835
178,94.3664505959591
179,94.3298295039485
180,94.2626908352624
181,91.5649370571489
182,95.3185989882345
183,96.2402298038344
184,92.7917436395037
185,93.0969194062586
186,93.0358842529076
187,94.4152787186399
188,92.5414995107646
189,93.9025834304916
190,91.510005419133
191,94.0673783445393
192,93.6218217250771
193,87.921138402095
194,92.9077104308705
195,94.5068314486664
196,94.8303177614266
197,96.337886049196
198,96.9909621900515
199,96.710200484637
200,95.7458450616914
201,98.9746046739585
202,97.4487258401839
203,93.1030229215937
204,95.3552200802451
205,97.9614211283322
206,96.6857864232966
207,96.1914016811536
208,92.9565385535513
209,97.2778274108011
210,95.3308060189047
211,93.3227494736573
212,94.4457962953154
213,96.0449173131112
214,95.8679153683934
215,95.9838821597602
216,94.9279740067882
217,96.4233352638873
218,97.1557571040992
219,93.4997514183751
220,97.6806594229176
221,98.1445265883851
222,96.6735793926264
223,93.5180619643804
224,89.9780230700232
225,91.9128374312495
226,90.2770953214431
227,92.2851518666905
228,94.8242142460915
229,93.2861283816466
230,94.8730423687723
231,89.099116861769
232,97.766108637609
233,97.4121047481733
234,97.5463820855455
235,95.3979446875908
236,95.2331497735431
237,95.7885696690371
238,97.393794202168
239,96.5393020552542
240,98.9623976432883
241,91.9006304005793
242,97.143550073429
243,96.5576126012595
244,98.0895949503692
245,98.3642531404487
246,97.4060012328382
247,95.7336380310212
248,90.6860308488947
249,92.6147416947858
250,93.9758256145128
251,99.3835402014101
252,94.8608353381021
253,92.1813921059938
254,95.9045364604039
255,98.071284404364
256,97.5891066928911
257,96.1852981658185
258,95.6726028776702
259,98.7731886679003
260,98.4985304778209
261,97.20458522678
262,91.7724565785422
263,92.8039506701739
264,88.8793903097055
265,67.9870573176631
266,79.4677696629835
267,89.2578082604816
268,96.2890579265152
269,93.2250932282957
270,88.5070758742645
271,98.8342238212513
272,94.8852493994425
273,90.0634722847146
274,89.0197711624128
275,88.0004841014513
276,96.1975051964887
277,95.1538040741868
278,90.3503375054642
279,89.3737750518485
280,85.876460764837
281,87.5976520893348
