"Sweep (n)","Ediast (mV)"
1,-50.2868628458772
2,-47.8271461658325
3,-53.1738255993788
4,-50.8605932873764
5,-51.9653295630293
6,-49.8657202877554
7,-51.8005346489816
8,-51.9042944096783
9,-53.3264134827563
10,-54.7851536478448
11,-53.1494115380384
12,-51.9042944096783
13,-49.096677355533
14,-47.9309059265291
15,-50.6835913426586
16,-50.3845190912388
17,-52.5573705505338
18,-54.3457005437177
19,-52.5085424278531
20,-51.9775365936995
21,-50.6347632199778
22,-47.9186988958589
23,-49.5544410056654
24,-50.6164526739725
25,-48.9990211101714
26,-50.0488257478083
27,-47.9675270185397
28,-48.7182594047568
29,-52.9785131086556
30,-53.2775853600755
31,-53.2226537220596
32,-48.791501588778
33,-49.0661597788575
34,-51.1535620234612
35,-52.258298299114
36,-51.6052221582585
37,-50.0610327784785
38,-52.4291967284968
39,-48.9440894721555
40,-43.9392068973747
41,-49.5727515516706
42,-52.5085424278531
43,-52.4963353971829
44,-50.4760718212652
45,-53.4484837894583
46,-49.4445777296336
47,-50.030515201803
48,-52.1057104157366
49,-51.2084936614771
50,-51.4099096675353
51,-53.3203099674212
52,-50.4028296372441
53,-51.1718725694665
54,-50.3723120605686
55,-51.9775365936995
56,-48.8769508034694
57,-52.0141576857101
58,-52.2949193911246
59,-53.6498997955165
60,-51.3122534221737
61,-51.8676733176677
62,-51.7333959802955
63,-51.2939428761684
64,-51.7822241029763
65,-50.5126929132758
66,-50.8117651646957
67,-51.7578100416359
68,-49.8352027110799
69,-52.0873998697313
70,-50.0427222324732
71,-51.7517065263008
72,-51.4282202135406
73,-51.4282202135406
74,-50.213620661856
75,-50.0854468398189
76,-52.2460912684438
77,-53.6010716728357
78,-51.9775365936995
79,-51.1901831154718
80,-50.0061011404626
81,-52.2766088451193
82,-51.39159912153
83,-49.8352027110799
84,-48.3886695766615
85,-48.7976051041131
86,-50.2197241771911
87,-50.6042456433023
88,-51.5930151275883
89,-51.0559057780996
90,-50.5615210359566
91,-51.0070776554188
92,-52.4780248511776
93,-50.8789038333817
94,-51.1291479621208
95,-51.3977026368651
96,-50.3601050298984
97,-50.830075710701
98,-51.8493627716624
99,-50.2441382385315
100,-52.2521947837789
101,-46.8872048042273
102,-53.2348607527298
103,-53.8452122862397
104,-53.9489720469363
105,-52.6489232805603
106,-51.8676733176677
107,-52.0324682317154
108,-47.5707985217583
109,-52.1789525997577
110,-51.3122534221737
111,-50.1953101158507
112,-48.9440894721555
113,-46.8872048042273
114,-49.9816870791223
115,-50.2624487845368
116,-43.5668924619336
117,-52.8808568632941
118,-50.5798315819619
119,-50.5737280666268
120,-51.5075659128969
121,-53.1555150533735
122,-51.9531225323591
123,-52.0935033850664
124,-51.6540502809393
125,-51.9531225323591
126,-51.5197729435671
127,-52.4536107898372
128,-51.5502905202426
129,-49.9145484104362
130,-50.4516577599248
131,-51.4953588822267
132,-48.8159156501184
133,-49.3652320302773
134,-50.396726121909
135,-51.6601537962744
136,-50.5004858826056
137,-50.3417944838931
138,-50.3540015145633
139,-50.4150366679143
140,-51.2451147534877
141,-51.5319799742373
142,-50.5554175206215
143,-50.463864790595
144,-48.8586402574641
145,-51.3183569375088
146,-50.5920386126321
147,-50.1281714471646
148,-50.0854468398189
149,-49.1882300855594
150,-50.0976538704891
