"Sweep (n)","APA (mV)"
1,104.071037555673
2,105.267326533499
3,105.37108629178
4,106.002800114255
5,104.678337317376
6,105.746452476149
7,100.219719468897
8,97.473137632051
9,101.089470383898
10,99.6581960711415
11,100.137322013791
12,99.7253347382644
13,99.1302420069479
14,105.416862655728
15,106.506340117676
16,105.053703501745
17,105.068962289727
18,105.807487628079
19,103.906242645463
20,104.598991619867
21,104.760734772481
22,105.123893926464
23,105.54503647478
24,104.760734772481
25,105.551139989973
26,105.331413443026
27,104.812614651622
28,104.791252348446
29,105.306999382254
30,105.786125324903
31,105.715934900184
32,104.568474043902
33,105.072014047324
34,104.815666409218
35,104.864494530762
36,105.651847990658
37,104.623405680639
38,105.270378291096
39,105.294792351868
40,104.861442773166
41,105.511467141219
42,106.234733691588
43,104.946891985867
44,105.410759140535
45,106.311027631501
46,106.411735632185
47,104.943840228271
48,106.19811260043
49,106.057731750992
50,105.746452476149
51,105.975334295886
52,106.488029572097
53,105.059807016938
54,105.816642900868
55,106.072990538974
56,105.868522780009
57,105.142204472043
58,105.780021809711
59,104.339592224165
60,104.452507255235
61,104.464714285621
62,105.044548228955
63,104.281608829831
64,105.740348960956
65,106.558219996817
66,104.092399858849
67,105.468742534868
68,105.670158536237
69,106.289665328325
70,105.566398777956
71,104.736320711709
72,104.946891985867
73,104.739372469306
74,102.908317911409
75,103.601066885813
76,104.208366647516
77,104.974357804236
78,105.899040355974
79,100.530998743739
80,101.64489026646
81,102.450554271934
82,101.901237904565
83,103.082268094409
84,102.072136329969
85,100.970451837634
86,100.012199952335
87,101.599113902512
88,100.704948926739
89,101.727287721565
90,100.952141292055
91,100.63475850202
92,99.1516043101233
93,101.123039717459
94,99.5605398280537
95,101.058952807933
96,99.2278982500357
97,100.360100318335
98,100.503532925371
99,99.0081717030881
100,101.467888325863
101,99.5757986160361
102,99.6948171622994
103,98.5229422452453
104,97.1801689027875
105,95.5840996798206
106,101.156609051021
107,98.7274100042105
108,97.2625663578929
109,99.3560720690885
110,99.8351980117382
111,97.6989676941917
112,96.2554863510495
113,97.5646903599459
114,98.8311697624913
115,98.8769461264388
116,99.353020311492
117,97.5067069656125
118,97.3266532674193
119,98.1475760608765
120,97.2778251458754
121,98.0041434538412
122,95.684807680505
123,96.3043144725935
124,97.5463798143669
125,96.0174492585229
126,96.1639336231547
127,96.7773369000502
128,97.1038749628752
129,97.781365149297
130,95.5749444070312
131,96.5515068379096
132,95.0591973732235
133,94.6685724008721
134,97.7325370277531
135,93.8842706985729
136,95.9289482882246
137,95.9167412578386
138,94.7845391895389
139,98.2086112128064
140,94.6533136128896
141,96.0449150768914
142,96.6827324145588
143,95.3491143448905
144,95.4040459816274
145,93.792717970678
146,96.1395195623827
147,94.9066094933987
148,95.3002862233466
149,95.1568536163113
150,96.3653496245234
151,97.9064872107533
152,96.7803886576467
153,96.6735771417694
154,94.778435674346
155,94.3145685196787
156,95.8709648938912
157,94.9890069485041
158,98.114006727315
159,95.697014710891
160,93.3868342103442
161,96.1730888959442
162,96.3531425941374
163,95.7916191963823
164,96.1364678047862
165,94.5770196729773
166,93.2586603912914
167,96.585076171471
168,95.65429010454
169,97.1496513268226
170,95.5291680430837
171,96.7712333848572
172,97.3541190857877
173,96.3745048973128
174,95.678704165312
175,98.1872489096309
176,95.1202325251534
177,97.4487235712791
178,95.1660088891008
179,96.3745048973128
180,97.3754813889632
181,95.043938585241
182,93.1335383298351
183,96.3867119276988
184,95.1995782226623
185,97.8759696347884
186,95.9442070762071
187,97.5433280567704
188,94.0429620935906
189,95.7885674387858
190,96.0327080465054
191,96.4202812612603
192,95.5535821038557
193,94.6075372489422
194,96.4630058676112
195,99.32860625072
196,98.0560233329816
197,96.9085624766995
198,98.0987479393325
199,95.8709648938912
200,97.836296786034
201,96.6674736265764
202,96.9726493862259
203,97.7294852701566
204,97.479241147244
205,99.2248464924392
206,98.9898611575091
207,98.6053397003507
208,96.8566825975591
209,97.5250175111915
210,97.6165702390863
211,100.048821043493
212,96.609490232243
213,94.5373468242229
214,100.051872801089
215,99.7589040718258
216,99.5025564337202
217,100.262444075248
218,98.150627818473
219,97.7416923005426
220,98.5534598212103
221,98.9807058847196
222,98.5015799420699
223,97.9614188474903
224,98.706047701035
225,96.3928154428918
226,99.8107839509662
227,97.1252372660506
228,97.0306327805593
229,98.6785818826666
230,97.3419120554018
231,98.0071952114377
232,99.2004324316672
233,99.2706228563866
234,99.2309500076322
235,95.6878594381015
236,95.7397393172419
237,97.5463798143669
238,98.6358572763157
239,97.1221855084541
240,98.2757498799293
241,96.5209892619446
242,96.3134697453829
243,97.0550468413312
244,94.9371270693637
245,95.5566338614522
246,93.4753351806426
247,96.1028984712248
248,94.4305353083455
249,95.968621136979
250,96.5698173834885
251,97.0764091445067
