"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",35.6,16.540526173003,494.05
1,"APD 50",68.8,-9.88769461264388,527.25
1,"APD 90",138.4,-45.1354948521614,596.85
2,"APD 20",34.3,16.0827625335288,781.75
2,"APD 50",67.8,-10.6201164358027,815.25
2,"APD 90",140.25,-46.1425748590048,887.7
3,"APD 20",35.8000000000002,16.2048328373886,1075
3,"APD 50",69.4000000000001,-10.406493404048,1108.6
3,"APD 90",143.15,-45.8373990993553,1182.35
4,"APD 20",36.3,16.9372546605474,1385.95
4,"APD 50",70.7,-10.1928703722934,1420.35
4,"APD 90",144,-46.1730924349697,1493.65
5,"APD 20",36,15.8691395017741,1697.6
5,"APD 50",68.8999999999999,-10.4675285559779,1730.5
5,"APD 90",141.4,-45.5932584916357,1803
6,"APD 20",34,14.8315419189658,2007.8
6,"APD 50",65.1000000000001,-11.016844923347,2038.9
6,"APD 90",134.55,-45.4711881877759,2108.35
7,"APD 20",32.8999999999996,13.9160146400173,2297.15
7,"APD 50",65.3999999999996,-11.8408194744007,2329.65
7,"APD 90",142.6,-46.1120572830398,2406.85
8,"APD 20",32.8000000000002,14.4348134314215,2592.95
8,"APD 50",64.1000000000004,-11.2304679551017,2624.25
8,"APD 90",131.35,-45.410153035846,2691.5
9,"APD 20",29.8000000000002,12.26806553791,2866.8
9,"APD 50",60.5,-12.5732412975595,2897.5
9,"APD 90",131.1,-45.5932584916357,2968.1
10,"APD 20",30.8000000000002,13.9465322159823,3163.55
10,"APD 50",63.1500000000001,-11.4440909868563,3195.9
10,"APD 90",136.3,-45.2880827319862,3269.05
11,"APD 20",30.6500000000001,13.4582510005431,3461.95
11,"APD 50",62.0500000000002,-11.627196442646,3493.35
11,"APD 90",134.05,-45.0744597002315,3565.35
12,"APD 20",31.4000000000001,13.7939443361575,3774.65
12,"APD 50",63.75,-11.4440909868563,3807
12,"APD 90",138,-44.9829069723366,3881.25
13,"APD 20",24.1000000000004,2.83813456474037,4080.7
13,"APD 50",49.5500000000002,-17.4255358759866,4106.15
13,"APD 90",114.900000000001,-44.4030730290026,4171.5
14,"APD 20",30.5,12.9394522091389,4369.55
14,"APD 50",60.8500000000004,-11.8408194744007,4399.9
14,"APD 90",132.950000000001,-44.8913542444418,4472
15,"APD 20",27.8999999999996,12.4206534177347,4680.15
15,"APD 50",57.0499999999993,-12.0239249301904,4709.3
15,"APD 90",127.849999999999,-44.6472136367222,4780.1
16,"APD 20",32.7000000000007,14.0380849438771,4973.5
16,"APD 50",64.7000000000007,-11.4746085628213,5005.5
16,"APD 90",135.5,-45.5627409156707,5076.3
17,"APD 20",32.0499999999993,14.2211903996668,5267.05
17,"APD 50",64.5,-11.627196442646,5299.5
17,"APD 90",136.099999999999,-46.1425748590048,5371.1
18,"APD 20",29,12.847899481244,5568.2
18,"APD 50",59.0999999999995,-12.1459952340502,5598.3
18,"APD 90",134.9,-45.5017057637408,5674.1
19,"APD 20",19.5,2.10571274158157,5851.45
19,"APD 50",45.5499999999993,-18.0664049712505,5877.5
19,"APD 90",112.299999999999,-45.0134245483016,5944.25
20,"APD 20",28.0500000000002,11.4746085628213,6132.2
20,"APD 50",58.1999999999998,-12.847899481244,6162.35
20,"APD 90",129.099999999999,-45.2575651560212,6233.25
21,"APD 20",31.0500000000002,13.488768576508,6434.3
21,"APD 50",60.9000000000005,-11.8713370503656,6464.15
21,"APD 90",128.85,-45.6848112195305,6532.1
22,"APD 20",30.1999999999998,13.7939443361575,6728.6
22,"APD 50",61.0500000000002,-11.6882315945759,6759.45
22,"APD 90",130.15,-45.6237760676006,6828.55
23,"APD 20",32.75,13.9160146400173,7026.95
23,"APD 50",63.3999999999996,-11.7492667465058,7057.6
23,"APD 90",134.95,-45.98998697918,7129.15
24,"APD 20",30,13.3972158486132,7326.75
24,"APD 50",59.6000000000004,-12.0544425061553,7356.35
24,"APD 90",130.25,-46.020504555145,7427
25,"APD 20",32.25,13.8854970640524,7624.8
25,"APD 50",62.9499999999998,-11.7492667465058,7655.5
25,"APD 90",137.6,-45.9289518272501,7730.15
26,"APD 20",30.6499999999996,12.9699697851038,7923.45
26,"APD 50",60.6499999999996,-12.1765128100151,7953.45
26,"APD 90",131.8,-45.5627409156707,8024.6
27,"APD 20",22.0999999999985,0.823974551053656,8216.35
27,"APD 50",48.5499999999993,-18.6157213386196,8242.8
27,"APD 90",109,-44.5861784847923,8303.25
28,"APD 20",33.1999999999989,14.1906728237019,8500.2
28,"APD 50",65.6999999999989,-11.6882315945759,8532.7
28,"APD 90",132.349999999999,-45.98998697918,8599.35
29,"APD 20",33.8999999999996,14.8925770708957,8806.15
29,"APD 50",66.5999999999985,-11.1389152272068,8838.85
29,"APD 90",136.049999999999,-45.9289518272501,8908.3
30,"APD 20",34.75,14.1906728237019,9111.75
30,"APD 50",66,-11.5966788666811,9143
30,"APD 90",137.049999999999,-45.9594694032151,9214.05
31,"APD 20",39,16.9677722365123,9413.8
31,"APD 50",75.25,-10.437010980013,9450.05
31,"APD 90",147.299999999999,-46.9055142581285,9522.1
32,"APD 20",35.2000000000007,15.930174653704,9715.9
32,"APD 50",70.3999999999996,-10.8032218915924,9751.1
32,"APD 90",144.800000000001,-46.4782681946192,9825.5
33,"APD 20",31.8000000000011,13.0310049370337,10017.9
33,"APD 50",62.8000000000011,-11.9018546263306,10048.9
33,"APD 90",131.300000000001,-45.2270475800563,10117.4
34,"APD 20",34,14.4958485833514,10328.5
34,"APD 50",66.0499999999993,-11.3830558349264,10360.55
34,"APD 90",137.9,-45.8984342512852,10432.4
35,"APD 20",32.25,13.2751455447534,10627.8
35,"APD 50",64.0499999999993,-12.0849600821203,10659.6
35,"APD 90",146.85,-45.9594694032151,10742.4
36,"APD 20",24.6999999999989,4.48608366684768,10936.1
36,"APD 50",51.5499999999993,-16.5100085970381,10962.95
36,"APD 90",113.199999999999,-44.4946257568974,11024.6
37,"APD 20",35.8500000000004,14.4653310073864,11241.3
37,"APD 50",67.3999999999996,-11.2915031070316,11272.85
37,"APD 90",139.5,-45.7763639474254,11344.95
38,"APD 20",29.1000000000004,11.2915031070316,11547.45
38,"APD 50",58.1499999999996,-12.7563467533492,11576.5
38,"APD 90",124,-44.6472136367222,11642.35
39,"APD 20",30.4500000000007,12.26806553791,11850.55
39,"APD 50",60.8000000000011,-12.26806553791,11880.9
39,"APD 90",133.950000000001,-45.1354948521614,11954.05
40,"APD 20",25.3000000000011,7.84301702299221,12140.3
40,"APD 50",52.2000000000007,-14.709471615106,12167.2
40,"APD 90",118.200000000001,-44.7998015165469,12233.2
41,"APD 20",25.0499999999993,9.06372006159022,12437.5
41,"APD 50",52.4500000000007,-14.0380849438771,12464.9
41,"APD 90",121.4,-44.8913542444418,12533.85
42,"APD 20",21.8999999999996,1.58691395017741,12722.3
42,"APD 50",48.6499999999996,-18.2800280030052,12749.05
42,"APD 90",114.199999999999,-44.7082487886521,12814.6
43,"APD 20",21.9499999999989,2.62451153298572,13026.75
43,"APD 50",49.1000000000004,-17.791746787566,13053.9
43,"APD 90",117.199999999999,-45.0439421242665,13122
44,"APD 20",21.6000000000004,1.52587879824751,13344.45
44,"APD 50",47.1499999999996,-18.402098306865,13370
44,"APD 90",110.35,-44.8913542444418,13433.2
45,"APD 20",32,12.5427237215945,13637.35
45,"APD 50",61.3500000000004,-12.2985831138749,13666.7
45,"APD 90",130.050000000001,-45.3186003079511,13735.4
46,"APD 20",24.8999999999996,7.26318307965816,13915.25
46,"APD 50",53.9500000000007,-15.1062001026504,13944.3
46,"APD 90",121.65,-44.9218718204067,14012
47,"APD 20",34.5,15.8081043498442,14216.1
47,"APD 50",68.3500000000004,-11.0778800752769,14249.95
47,"APD 90",136.4,-46.7834439542687,14318
48,"APD 20",34.5500000000011,14.739989191071,14519.3
48,"APD 50",67.1000000000004,-11.3220206829965,14551.85
48,"APD 90",134.650000000001,-46.0510221311099,14619.4
49,"APD 20",36.7000000000007,14.9230946468607,14820.7
49,"APD 50",68.9000000000015,-11.2609855310666,14852.9
49,"APD 90",140.550000000001,-46.3256803147945,14924.55
50,"APD 20",35.5,15.5639637421246,15141.75
50,"APD 50",68.6500000000015,-10.8642570435223,15174.9
50,"APD 90",136.5,-46.1120572830398,15242.75
51,"APD 20",34.5500000000011,15.8386219258092,15448.05
51,"APD 50",67.75,-10.9558097714171,15481.25
51,"APD 90",139.85,-46.8139615302337,15553.35
52,"APD 20",32.8999999999996,14.2517079756318,15751.4
52,"APD 50",65.2000000000007,-11.4746085628213,15783.7
52,"APD 90",132.5,-45.9289518272501,15851
53,"APD 20",34.8999999999996,15.8081043498442,16075.6
53,"APD 50",68.0499999999993,-10.6811515877326,16108.75
53,"APD 90",138.949999999999,-45.8679166753202,16179.65
54,"APD 20",34.1000000000004,15.35034071037,16383.2
54,"APD 50",67,-11.1083976512419,16416.1
