"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",5.10000000000002,22.3388656063436,535.9
1,"APD 50",13.25,-8.97216733369537,544.05
1,"APD 90",58.05,-50.6286585258524,588.85
2,"APD 20",5.44999999999993,21.8200668149394,913
2,"APD 50",13.65,-9.73510673281913,921.2
2,"APD 90",60.75,-51.7883264125205,968.3
3,"APD 20",5.39999999999986,22.094724998624,1281.2
3,"APD 50",13.6499999999999,-9.61303642895932,1289.45
3,"APD 90",60.5,-51.6967736846257,1336.3
4,"APD 20",5,22.7355940938879,1664.9
4,"APD 50",13.2,-9.18579036545002,1673.1
4,"APD 90",63.2,-51.483150652871,1723.1
5,"APD 20",5.09999999999991,22.3388656063436,2026.95
5,"APD 50",13.25,-9.00268490966032,2035.1
5,"APD 90",57.4000000000001,-50.9338342855019,2079.25
6,"APD 20",4.90000000000009,22.7966292458178,2311.85
6,"APD 50",13.4000000000001,-8.97216733369537,2320.35
6,"APD 90",71.9000000000001,-51.2390100451514,2378.85
7,"APD 20",5.10000000000036,21.4233383273951,2621.25
7,"APD 50",13.2000000000003,-8.78906187790567,2629.35
7,"APD 90",63,-48.7976039679554,2679.15
8,"APD 20",5.34999999999991,20.0500474089723,2926.3
8,"APD 50",12.75,-9.24682551737992,2933.7
8,"APD 90",56.4499999999998,-48.2177700246214,2977.4
9,"APD 20",5.09999999999991,21.7590316630095,3256.7
9,"APD 50",13.1999999999998,-8.54492127018607,3264.8
9,"APD 90",57,-49.0112269997101,3308.6
10,"APD 20",5.75,20.4772934724816,3562.35
10,"APD 50",13.5499999999997,-9.55200127702942,3570.15
10,"APD 90",62.6999999999998,-49.2553676074297,3619.3
11,"APD 20",5.25,20.9960922638858,3885.15
11,"APD 50",13.0999999999999,-9.09423763755517,3893
11,"APD 90",61.5500000000002,-49.07226215164,3941.45
12,"APD 20",5.44999999999982,20.6298813523064,4190.65
12,"APD 50",13.3999999999996,-9.27734309334487,4198.6
12,"APD 90",63.75,-49.1332973035699,4248.95
13,"APD 20",5.64999999999964,19.7143540733579,4481.05
13,"APD 50",13.25,-10.0097649165037,4488.65
13,"APD 90",64.75,-49.682613670939,4540.15
14,"APD 20",5.5,21.4233383273951,4910.5
14,"APD 50",13.7999999999993,-10.0402824924686,4918.8
14,"APD 90",67.0499999999993,-52.1850549000649,4972.05
15,"APD 20",5.25,22.2473128784487,5266.35
15,"APD 50",13.9000000000005,-9.67407158088923,5275
15,"APD 90",64.8500000000004,-52.2766076279597,5325.95
16,"APD 20",5.35000000000036,21.6674789351147,5641.15
16,"APD 50",14.0500000000002,-9.97924734053873,5649.85
16,"APD 90",69.4499999999998,-51.8493615644504,5705.25
17,"APD 20",5.30000000000018,21.6674789351147,6010.6
17,"APD 50",13.8000000000002,-9.82665946071398,6019.1
17,"APD 90",61.75,-51.7578088365556,6067.05
18,"APD 20",5.30000000000018,22.3083480303786,6348.15
18,"APD 50",14.0500000000002,-9.42993097316962,6356.9
18,"APD 90",67.0500000000002,-51.7272912605906,6409.9
19,"APD 20",5.40000000000055,20.9960922638858,6739.4
19,"APD 50",13.7000000000007,-10.2844231001882,6747.7
19,"APD 90",61.25,-51.8188439884855,6795.25
20,"APD 20",5.30000000000018,21.3317855995002,7114.15
20,"APD 50",13.8500000000004,-10.0402824924686,7122.7
20,"APD 90",70.9499999999998,-51.7883264125205,7179.8
21,"APD 20",5.30000000000018,21.8200668149394,7509.1
