"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",87.4,27.8625468559996,406.4
1,"APD 50",128,-3.84521457158373,447
1,"APD 90",160.7,-46.1425748590048,479.7
2,"APD 20",88.15,27.4353007924903,731.6
2,"APD 50",131.65,-4.15039033123323,775.1
2,"APD 90",164.7,-46.1425748590048,808.15
3,"APD 20",92.3,27.8625468559996,1066.1
3,"APD 50",132.75,-3.66210911579403,1106.55
3,"APD 90",165.15,-45.4711881877759,1138.95
4,"APD 20",87.25,27.4963359444202,1388.7
4,"APD 50",132.05,-3.81469699561878,1433.5
4,"APD 90",164.7,-45.6237760676006,1466.15
5,"APD 20",88.75,27.5573710963501,1708.55
5,"APD 50",131.6,-3.66210911579403,1751.4
5,"APD 90",164.65,-45.2575651560212,1784.45
6,"APD 20",86.75,27.4658183684552,2025.45
6,"APD 50",129.7,-3.72314426772393,2068.4
6,"APD 90",162.65,-45.3186003079511,2101.35
7,"APD 20",82.9000000000001,27.4047832165253,2339.2
7,"APD 50",122.95,-3.84521457158373,2379.25
7,"APD 90",154.8,-45.4406706118109,2411.1
8,"APD 20",80.7999999999997,27.3437480645954,2646.65
8,"APD 50",120.95,-3.69262669175898,2686.8
8,"APD 90",152.4,-44.9218718204067,2718.25
9,"APD 20",90.4500000000003,27.7099589761748,2964.85
9,"APD 50",130.6,-3.38745093210948,3005
9,"APD 90",162.7,-44.9218718204067,3037.1
10,"APD 20",84.75,27.3132304886305,3274.6
10,"APD 50",125.5,-3.69262669175898,3315.35
10,"APD 90",158.3,-45.1965300040913,3348.15
11,"APD 20",80.0500000000002,27.4963359444202,3576.6
11,"APD 50",119.15,-3.54003881193423,3615.7
11,"APD 90",151.45,-45.0439421242665,3648
12,"APD 20",79.25,26.8554668491562,3877.3
12,"APD 50",118.25,-4.05883760333838,3916.3
12,"APD 90",151.65,-45.1354948521614,3949.7
13,"APD 20",77.8500000000004,26.7639141212614,4174.95
13,"APD 50",116.150000000001,-3.90624972351363,4213.25
13,"APD 90",149.3,-44.7998015165469,4246.4
14,"APD 20",74,27.2521953367006,4468.7
14,"APD 50",114.2,-3.29589820421463,4508.9
14,"APD 90",147.45,-43.9147918135634,4542.15
15,"APD 20",71.9500000000007,27.0690898809109,4768.25
15,"APD 50",109.200000000001,-3.38745093210948,4805.5
15,"APD 90",141.900000000001,-44.0978972693531,4838.2
16,"APD 20",78.0999999999995,27.7404765521398,5063.8
16,"APD 50",119.45,-3.05175759649502,5105.15
16,"APD 90",153.599999999999,-44.128414845318,5139.3
17,"APD 20",81.0500000000002,27.4658183684552,5369
17,"APD 50",123.15,-3.20434547631977,5411.1
17,"APD 90",154.45,-44.128414845318,5442.4
18,"APD 20",77.0999999999995,27.4658183684552,5668.3
18,"APD 50",116.45,-3.29589820421463,5707.65
18,"APD 90",149.799999999999,-44.0368621174232,5741
19,"APD 20",79.3000000000002,27.008054728981,5965.05
19,"APD 50",117.35,-3.60107396386413,6003.1
19,"APD 90",149.900000000001,-44.2810027251428,6035.65
20,"APD 20",80.9499999999998,26.7639141212614,6258.5
20,"APD 50",118,-3.72314426772393,6295.55
20,"APD 90",150.35,-44.4030730290026,6327.9
21,"APD 20",80.6999999999998,26.9470195770511,6562.15
21,"APD 50",120.599999999999,-3.54003881193423,6602.05
21,"APD 90",151.9,-44.2199675732129,6633.35
22,"APD 20",72.1999999999998,26.7944316972263,6853.15
22,"APD 50",112.9,-3.47900366000433,6893.85
22,"APD 90",146,-43.8842742375984,6926.95
23,"APD 20",74,26.9165020010861,7148.6
23,"APD 50",111.1,-3.72314426772393,7185.7
23,"APD 90",144.4,-44.3115203011077,7219
24,"APD 20",69.25,26.6113262414366,7439.65
24,"APD 50",108,-3.72314426772393,7478.4
24,"APD 90",141.349999999999,-44.128414845318,7511.75
25,"APD 20",72.75,26.5808086654717,7736.75
25,"APD 50",112.05,-3.84521457158373,7776.05
25,"APD 90",144,-44.2810027251428,7808
26,"APD 20",76.0500000000002,26.3061504817871,8032
26,"APD 50",113.950000000001,-3.84521457158373,8069.9
26,"APD 90",145.55,-43.9147918135634,8101.5
27,"APD 20",70.6499999999996,26.3366680577521,8316.95
27,"APD 50",106.950000000001,-3.93676729947858,8353.25
27,"APD 90",138.85,-44.4030730290026,8385.15
28,"APD 20",71.4500000000007,26.7028789693315,8600.05
28,"APD 50",108.900000000001,-3.57055638789918,8637.5
28,"APD 90",141.700000000001,-44.0368621174232,8670.3
29,"APD 20",76.6499999999996,27.4047832165253,8902.85
29,"APD 50",114.550000000001,-3.08227517245997,8940.75
29,"APD 90",146.550000000001,-43.7011687818087,8972.75
30,"APD 20",76.4000000000015,27.587888672315,9199
30,"APD 50",115.050000000001,-3.02124002053007,9237.65
30,"APD 90",147.300000000001,-43.7927215097036,9269.9
31,"APD 20",72.5,26.9165020010861,9493.25
31,"APD 50",110,-3.38745093210948,9530.75
31,"APD 90",141.849999999999,-43.7927215097036,9562.6
32,"APD 20",69.9499999999989,26.4282207856469,9792.85
32,"APD 50",108.35,-3.78417941965383,9831.25
32,"APD 90",140.15,-43.9758269654933,9863.05
33,"APD 20",70.1999999999989,26.2145977538923,10076.35
33,"APD 50",106.699999999999,-4.39453093895283,10112.85
33,"APD 90",137.449999999999,-44.9829069723366,10143.6
34,"APD 20",68.6000000000004,25.5432110826633,10353.75
34,"APD 50",104.1,-4.51660124281264,10389.25
34,"APD 90",135.15,-44.6166960607572,10420.3
35,"APD 20",73,25.8178692663479,10649.45
35,"APD 50",109.15,-4.33349578702293,10685.6
35,"APD 90",140.800000000001,-44.5251433328624,10717.25
36,"APD 20",72.6499999999996,26.7639141212614,10952.8
36,"APD 50",111.549999999999,-3.66210911579403,10991.7
36,"APD 90",142.4,-44.2504851491778,11022.55
37,"APD 20",70.4499999999989,26.0925274500324,11247.5
37,"APD 50",106.699999999999,-4.08935517930333,11283.75
37,"APD 90",140.199999999999,-44.3725554530376,11317.25
38,"APD 20",70.3500000000004,26.2756329058222,11543.95
38,"APD 50",107.6,-3.96728487544353,11581.2
38,"APD 90",138.85,-44.2199675732129,11612.45
39,"APD 20",71.3500000000004,26.5197735135418,11840.35
39,"APD 50",107.35,-3.78417941965383,11876.35
39,"APD 90",138.25,-44.2199675732129,11907.25
40,"APD 20",71.2999999999993,26.0925274500324,12129.25
40,"APD 50",108.799999999999,-4.24194305912808,12166.75
40,"APD 90",140.35,-44.6777312126871,12198.3
41,"APD 20",66.9500000000007,25.8483868423128,12417.45
41,"APD 50",103,-4.27246063509303,12453.5
41,"APD 90",133.6,-44.4335906049675,12484.1
42,"APD 20",67.3500000000004,25.8483868423128,12700.35
42,"APD 50",105.400000000001,-4.36401336298788,12738.4
42,"APD 90",137.35,-44.6166960607572,12770.35
43,"APD 20",68.9499999999989,25.3601056268736,12991.85
43,"APD 50",105.349999999999,-4.63867154667244,13028.25
43,"APD 90",137.549999999999,-44.5861784847923,13060.45
44,"APD 20",67.9500000000007,24.8107892595045,13285.7
44,"APD 50",103.800000000001,-5.03540003421679,13321.55
44,"APD 90",135.35,-44.6166960607572,13353.1
45,"APD 20",72.2999999999993,25.5432110826633,13584.5
45,"APD 50",108.35,-4.63867154667244,13620.55
45,"APD 90",139.85,-44.9523893963717,13652.05
46,"APD 20",75.4500000000007,26.4587383616119,13882.55
46,"APD 50",111.4,-4.02832002737343,13918.5
46,"APD 90",143.9,-44.6472136367222,13951
47,"APD 20",73.1499999999996,25.8789044182778,14175.45
47,"APD 50",110.949999999999,-4.54711881877759,14213.25
47,"APD 90",141.75,-44.9523893963717,14244.05
48,"APD 20",72.25,26.0009747221376,14472.65
48,"APD 50",109.15,-4.27246063509303,14509.55
48,"APD 90",139.949999999999,-44.5251433328624,14540.35
49,"APD 20",66.3500000000004,25.146482595119,14766.55
49,"APD 50",102.6,-4.88281215439204,14802.8
49,"APD 90",133,-44.8608366684768,14833.2
50,"APD 20",68.75,25.6652813865231,15050.3
50,"APD 50",104.299999999999,-4.48608366684768,15085.85
50,"APD 90",136.35,-44.5556609088273,15117.9
51,"APD 20",67,25.8483868423128,15347.05
51,"APD 50",103,-4.27246063509303,15383.05
51,"APD 90",134.599999999999,-44.3115203011077,15414.65
52,"APD 20",67,24.505613499855,15633.8
52,"APD 50",101.599999999999,-5.40161094579619,15668.4
52,"APD 90",132.15,-45.1049772761964,15698.95
53,"APD 20",67.7000000000007,25.3295880509087,15916.05
53,"APD 50",103.25,-4.69970669860234,15951.6
53,"APD 90",136.15,-44.7998015165469,15984.5
54,"APD 20",65.1000000000004,25.2990704749437,16197.5
54,"APD 50",101.800000000001,-4.60815397070749,16234.2
54,"APD 90",133.650000000001,-44.5251433328624,16266.05
55,"APD 20",59.5,24.2309553161705,16478.9
55,"APD 50",92.3500000000022,-5.46264609772609,16511.75
55,"APD 90",123.900000000001,-45.0744597002315,16543.3
56,"APD 20",67.2000000000007,25.5737286586283,16760.65
56,"APD 50",103.150000000001,-4.51660124281264,16796.6
56,"APD 90",133,-44.769283940582,16826.45
57,"APD 20",66.9500000000007,25.2380353230138,17051.1
57,"APD 50",101.700000000001,-4.76074185053224,17085.85
57,"APD 90",132.5,-44.8303190925119,17116.65
58,"APD 20",69.0999999999985,25.4516583547685,17337.6
58,"APD 50",105.699999999997,-4.60815397070749,17374.2
58,"APD 90",136.699999999997,-44.7998015165469,17405.2
59,"APD 20",67.1000000000022,25.7873516903829,17621.5
59,"APD 50",102.450000000001,-4.42504851491778,17656.85
59,"APD 90",133.850000000002,-44.8303190925119,17688.25
60,"APD 20",69.75,25.4211407788035,17909.65
60,"APD 50",105.549999999999,-4.57763639474254,17945.45
60,"APD 90",136.5,-44.7082487886521,17976.4
61,"APD 20",65.9000000000015,25.756834114418,18191
61,"APD 50",101.299999999999,-4.45556609088273,18226.4
61,"APD 90",132.299999999999,-44.738766364617,18257.4
62,"APD 20",65.8500000000022,25.0549298672241,18480.75
62,"APD 50",100.799999999999,-4.97436488228689,18515.7
62,"APD 90",131,-44.8303190925119,18545.9
63,"APD 20",66.8999999999978,25.756834114418,18763.45
63,"APD 50",102.200000000001,-4.42504851491778,18798.75
63,"APD 90",132.899999999998,-44.6472136367222,18829.45
64,"APD 20",62.9499999999971,25.2380353230138,19046.2
