"Sweep (n)","Ediast (mV)"
1,-56.741328991632
2,-56.7260702036495
3,-56.0333212292451
4,-56.0546835324206
5,-55.7220419544026
6,-55.7952841367185
7,-55.9326132285608
8,-55.3253134668583
9,-55.3070029212793
10,-55.5236777106305
11,-55.3710898308057
12,-55.3832968611917
13,-55.1025351623141
14,-54.0954551554708
15,-54.3548545511729
16,-54.4311484910852
17,-54.4189414606993
18,-54.3304404904009
19,-54.5440635221556
20,-54.6356162500504
21,-54.3395957631904
22,-54.0161094579619
23,-54.58373637091
24,-54.2602500656815
25,-54.4952354006116
26,-54.0222129731549
27,-54.5318564917696
28,-54.2236289745236
29,-53.9306602452601
30,-54.0618858219093
31,-53.936763760453
32,-54.1290244890322
33,-55.2032431629985
34,-54.7180137051558
35,-54.6356162500504
36,-54.4769248550327
37,-54.4982871582081
38,-54.3670615815589
39,-54.3975791575238
40,-54.87975685777
41,-54.4189414606993
42,-54.7698935842962
43,-54.6050986740855
44,-54.5623740677345
45,-55.0689658287527
46,-54.873653342577
47,-55.1605185566476
48,-54.6935996443838
49,-54.9407920096999
50,-54.6173057044714
51,-54.4219932182958
52,-55.0872763743317
53,-54.8828086153665
54,-54.5410117645591
55,-55.0537070407702
56,-54.8309287362261
57,-54.8889121305595
58,-54.8553427969981
59,-54.9255332217174
60,-54.7668418266997
61,-54.8431357666121
62,-54.8034629178576
63,-54.7424277659277
64,-55.1330527382791
65,-54.9743613432614
66,-54.7576865539102
67,-54.8065146754541
68,-54.5288047341731
69,-55.2246054661739
70,-54.8309287362261
71,-54.6447715228399
72,-55.2886923757003
73,-55.1574667990511
74,-54.7882041298752
75,-54.7363242507347
76,-55.0811728591387
77,-55.0781211015422
78,-55.0262412224018
79,-55.1269492230861
80,-55.17577734463
81,-54.7790488570857
82,-54.9529990400859
83,-54.6935996443838
84,-54.4799766126292
85,-54.87975685777
86,-55.1116904351036
87,-55.0598105559632
88,-55.2947958908933
89,-54.7668418266997
90,-54.8034629178576
91,-54.9224814641209
92,-55.5633505593849
93,-54.7790488570857
94,-55.4321249827356
95,-54.87975685777
96,-54.8400840090156
97,-55.1574667990511
98,-54.7637900691032
99,-54.8309287362261
100,-55.2520712845424
101,-54.5227012189801
102,-54.58373637091
103,-55.2307089813669
104,-55.1238974654896
105,-54.9713095856649
106,-55.0292929799983
107,-54.885860372963
108,-54.9804648584543
109,-53.8238487293827
110,-54.5501670373486
111,-54.1717490953832
112,-54.7332724931383
113,-55.0048789192263
114,-54.9621543128754
115,-54.8187217058401
116,-54.4738730974362
117,-55.5664023169814
118,-55.47179783149
119,-55.2459677693494
120,-55.4656943162971
121,-55.3100546788758
122,-55.9509237741398
123,-55.7006796512272
124,-55.212398435788
125,-55.5450400138059
126,-55.6396444992973
127,-55.0018271616298
128,-54.8644980697875
129,-55.1544150414546
130,-55.2154501933845
131,-55.3070029212793
132,-54.8828086153665
133,-55.496211892262
134,-54.9316367369104
135,-55.1116904351036
136,-54.4250449758923
137,-55.0689658287527
138,-54.6508750380329
139,-54.5257529765766
140,-54.9713095856649
141,-54.5623740677345
142,-55.0689658287527
143,-55.1391562534721
144,-54.8065146754541
145,-54.9865683736473
146,-54.7485312811207
147,-55.1269492230861
148,-55.2307089813669
149,-55.0476035255772
150,-55.0567587983667
151,-55.1208457078931
152,-55.1513632838581
153,-54.9621543128754
154,-54.7180137051558
155,-55.5480917714024
156,-54.9713095856649
157,-54.6264609772609
158,-54.7821006146822
159,-55.2429160117529
160,-55.1147421927001
161,-55.3924521339812
162,-54.4738730974362
163,-55.1147421927001
164,-54.6783408564013
165,-54.7515830387172
166,-54.602046916489
167,-54.7943076450682
168,-55.1025351623141
169,-55.0140341920158
170,-54.867549827384
171,-54.4189414606993
172,-54.5410117645591
173,-54.7882041298752
174,-54.6356162500504
175,-54.7302207355418
176,-55.0567587983667
177,-54.7210654627523
178,-55.2703818301214
179,-55.1086386775071
180,-54.7210654627523
181,-54.9682578280684
182,-54.6142539468749
183,-54.9285849793139
184,-54.3823203695413
185,-55.1025351623141
186,-55.206294920595
187,-54.6844443715943
188,-54.9957236464368
189,-54.293819399243
190,-54.5623740677345
191,-54.6386680076469
192,-54.6356162500504
193,-54.2388877625061
194,-54.7851523722787
195,-55.2215537085775
196,-54.6966514019803
197,-54.9560507976824
198,-55.181880859823
