"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,263.65,-4.88281215439653
2,259.5,-4.88281215439648
3,281.75,-4.88281215439645
4,292.1,-6.10351519296781
5,277.9,-4.88281215439645
6,272.65,-4.88281215437439
7,261.95,-6.71386671232573
8,277.6,-4.8828121544188
9,266.85,-4.88281215441866
10,266.4,-5.49316367367117
11,182.25,-4.88281215441866
12,222.55,-4.88281215437429
13,258.05,-5.49316367367103
14,262,-5.49316367367117
15,237.05,-4.88281215437429
16,250.75,-5.49316367367117
17,263.9,-5.49316367367103
18,248.349999999999,-6.10351519307887
19,251.55,-4.88281215437425
20,231.849999999999,-5.49316367367107
21,249.4,-5.4931636736711
22,257.349999999999,-5.49316367367103
23,256,-5.49316367367117
24,216.099999999999,-4.8828121544631
25,245.7,-4.88281215437432
26,242.3,-4.88281215437432
27,233.799999999999,-5.49316367377095
28,234.199999999999,-4.88281215446307
29,227.75,-4.88281215446309
30,230.75,-4.88281215446309
31,249.9,-4.88281215446321
32,260.300000000001,-4.88281215428557
33,232.699999999999,-4.88281215446321
34,147.5,-4.88281215446307
35,67.0500000000011,-5.49316367357111
36,253.75,-4.88281215446314
37,240.949999999999,-4.88281215446307
38,234.1,-5.49316367377095
39,244.450000000001,-4.88281215428543
40,226.9,-4.88281215428546
41,226.65,-5.493163673771
42,234.15,-4.88281215446307
43,248.75,-4.88281215446307
44,232.65,-4.88281215446309
45,251.099999999999,-5.49316367377109
46,255.1,-5.49316367357118
47,238.85,-5.49316367377095
48,276.5,-4.88281215446335
49,233.949999999999,-5.49316367377099
50,229.35,-4.88281215446307
51,255.35,-4.88281215428543
52,151.85,-4.88281215446307
53,235.449999999999,-4.88281215446314
54,212.950000000001,-4.88281215446309
55,225.249999999998,-5.49316367377102
56,198.950000000001,-4.88281215446307
57,228.75,-4.88281215446309
58,225.25,-6.10351519307887
59,245.299999999999,-4.88281215446321
60,244.949999999997,-6.10351519307883
61,218.950000000001,-5.49316367377098
62,243.649999999998,-5.49316367377109
63,240.099999999999,-4.88281215446314
64,238.649999999998,-5.49316367377095
65,245.199999999997,-5.49316367377102
66,231.549999999999,-5.49316367377095
67,230.150000000001,-4.88281215446321
68,249.299999999999,-4.88281215446321
69,241.099999999999,-4.27246063515526
70,244.950000000001,-6.10351519263475
71,244.299999999999,-4.88281215446307
72,214.649999999998,-5.49316367377097
73,232.900000000001,-4.8828121544631
74,234.899999999998,-5.49316367377109
75,179,-5.49316367337127
76,234.400000000001,-5.49316367337127
77,234.950000000001,-5.49316367377102
78,208.049999999999,-4.88281215446314
79,243.049999999999,-4.27246063515533
80,227.400000000001,-5.49316367377099
81,221.149999999998,-4.88281215446314
82,245.800000000003,-5.49316367337134
83,234.450000000001,-4.88281215446307
84,232.649999999998,-4.27246063515526
85,234.599999999999,-4.88281215446314
86,212.899999999998,-4.88281215446309
87,212.650000000001,-5.49316367377097
88,212.75,-4.88281215446307
89,238.950000000001,-4.88281215446321
90,227.700000000001,-4.88281215446314
91,244.049999999999,-5.49316367377095
92,235,-5.49316367377095
93,226.449999999997,-4.88281215446307
94,243.049999999999,-4.88281215446314
95,218.299999999999,-4.88281215446314
96,224.450000000001,-5.49316367377098
97,215.75,-5.49316367377098
98,230.200000000001,-4.8828121544631
99,211.049999999999,-4.8828121544631
100,53.6499999999978,-4.88281215446321
101,239.799999999999,-5.49316367377095
102,245.299999999999,-4.88281215446314
103,182.75,-4.88281215446307
104,205.450000000001,-4.88281215446314
105,224.449999999997,-5.49316367377099
106,230.75,-4.88281215446307
107,274.850000000002,-5.49316367377095
108,216.5,-4.88281215446309
109,211.349999999999,-4.88281215446309
110,222.549999999999,-4.88281215446307
111,225.75,-5.49316367377095
112,206.400000000001,-4.88281215446314
113,210,-5.49316367417066
114,180.099999999999,-5.49316367337134
115,188.599999999999,-4.27246063546619
116,229.599999999999,-5.49316367337127
117,221.5,-4.88281215481837
118,243.349999999999,-4.88281215410787
119,231.849999999999,-5.49316367337131
120,231.050000000003,-5.4931636733713
121,236,-5.49316367417067
122,228.599999999999,-4.88281215481841
123,186.75,-4.88281215410794
124,266.099999999999,-4.88281215481834
125,213.699999999997,-5.49316367337131
126,236.25,-4.88281215481834
127,238.549999999996,-4.88281215481834
128,223.700000000004,-5.49316367337127
129,207.25,-5.49316367337131
130,225.550000000003,-5.49316367337127
131,225.299999999996,-4.88281215481848
132,208.300000000003,-5.49316367337134
133,220.699999999997,-5.49316367417067
134,207.799999999996,-4.88281215481837
135,163.549999999996,-4.88281215481848
136,224.450000000004,-5.49316367337134
137,181.949999999997,-4.88281215481834
138,214.349999999999,-4.88281215481834
139,215.349999999999,-4.88281215481834
140,226.450000000004,-5.49316367337127
141,29.25,-4.88281215481834
142,210.550000000003,-4.8828121541078
143,231.049999999996,-5.49316367417063
144,226.449999999997,-5.4931636741707
145,179.050000000003,-4.88281215410794
146,224.25,-5.49316367417063
147,222.25,-6.10351519352299
148,206.399999999994,-5.49316367417065
149,227.799999999996,-4.88281215481837
150,203.199999999997,-4.88281215481836
151,171.699999999997,-4.88281215481841
152,203.400000000001,-4.88281215410783
153,190.549999999996,-5.49316367417066
154,192.75,-5.49316367337131
155,188.600000000006,-4.88281215410783
156,203.699999999997,-4.88281215481836
157,227.5,-4.88281215481834
158,232.150000000001,-6.71386671189822
159,215.25,-6.10351519263478
160,6.25,-4.88281215481834
161,226.950000000004,-5.49316367337134
162,206.5,-4.88281215481837
163,203.199999999997,-5.49316367417067
164,249.949999999997,-4.88281215410794
165,214.900000000001,-5.49316367337127
166,207.799999999996,-4.88281215481834
167,203.949999999997,-4.88281215481837
168,207.25,-4.88281215481836
169,214.400000000001,-5.49316367337131
170,213.5,-4.88281215410783
171,59.6499999999942,-4.88281215481834
172,214.699999999997,-4.88281215481834
173,216.599999999999,-5.49316367337131
174,229.599999999999,-5.49316367337127
175,49.8000000000029,-4.88281215410794
176,230.299999999996,-5.49316367417063
177,243.699999999997,-5.49316367417063
178,211.400000000001,-4.88281215481837
179,60.25,-4.8828121541078
180,203.200000000004,-5.4931636733713
181,239.900000000001,-5.49316367337127
182,220.949999999997,-4.27246063546612
183,196.049999999996,-4.88281215481834
184,209.25,-6.10351519263475
185,245.200000000004,-5.49316367337127
186,190.849999999999,-4.27246063546606
187,193.549999999996,-4.88281215481837
188,209.449999999997,-6.10351519352299
189,211.449999999997,-6.10351519352299
190,207.099999999999,-4.88281215481834
191,206.699999999997,-4.88281215481841
192,185.949999999997,-4.88281215481837
193,215.549999999996,-4.88281215481834
194,211,-5.49316367337127
195,205.400000000001,-4.88281215481837
196,200.650000000001,-4.88281215481841
197,231.400000000001,-5.49316367337127
198,219.900000000001,-4.88281215481848
199,191.849999999999,-4.8828121541078
200,201.700000000004,-6.10351519263478
201,171.199999999997,-5.49316367417077
202,213.049999999996,-4.88281215481841
203,205.900000000001,-5.4931636741707
204,215.5,-5.49316367337134
205,210.149999999994,-4.88281215481837
206,211.449999999997,-4.88281215410794
207,202.349999999999,-4.88281215410783
208,199.349999999999,-4.27246063546606
209,194.400000000001,-4.88281215481836
210,202.449999999997,-6.10351519352294
211,217.700000000004,-5.49316367337127
212,213.799999999996,-5.49316367417063
213,196.299999999996,-4.88281215481837
214,208.050000000003,-5.49316367337134
215,192.199999999997,-4.88281215481837
216,185.599999999999,-5.49316367417067
217,221.25,-5.49316367417063
218,224.25,-5.49316367337127
219,199.799999999996,-4.88281215481834
220,204.25,-4.88281215410787
221,202.649999999994,-5.4931636741707
222,230.799999999996,-4.88281215481834
223,221.400000000001,-4.88281215410808
224,199.949999999997,-4.88281215481837
225,214.399999999994,-4.88281215481834
226,201.5,-5.49316367337132
227,194.699999999997,-4.88281215481837
228,209.650000000001,-5.49316367337134
229,202.199999999997,-5.49316367337134
230,181.25,-5.4931636733713
231,203.75,-6.10351519352292
232,207.799999999996,-4.88281215481841
233,195.5,-4.88281215481837
234,183.949999999997,-5.49316367337129
235,193.849999999999,-5.4931636733713
236,32.8000000000029,-4.8828121541078
237,202.100000000006,-4.88281215410787
238,203.75,-6.10351519263475
239,190.850000000006,-6.10351519263477
240,194.800000000003,-5.49316367337127
241,227.299999999988,-4.88281215552888
242,206.75,-4.88281215552892
243,219.400000000009,-5.4931636733712
244,207.899999999994,-4.88281215552895
245,190.649999999994,-5.4931636733713
246,209.849999999991,-4.8828121541078
247,148.149999999994,-5.49316367337127
248,193.100000000006,-4.88281215410782
249,238,-4.88281215552888
250,211.149999999994,-5.49316367496999
251,232.449999999997,-5.49316367337127
252,207,-4.88281215410787
253,208.700000000012,-5.49316367337127
254,198.099999999991,-5.4931636733713
255,199.099999999991,-4.88281215410782
256,188.149999999994,-4.88281215410783
257,176.899999999994,-4.88281215410787
258,226.549999999988,-4.88281215552888
259,180.449999999997,-4.88281215552892
260,194.149999999994,-4.88281215410783
261,204.349999999991,-5.4931636733713
262,215,-5.49316367496999
263,201,-4.88281215552888
264,210.050000000003,-5.49316367337127
265,158.900000000009,-4.88281215410787
266,175.050000000003,-4.88281215410794
267,205.649999999994,-4.88281215552892
268,192.949999999997,-4.88281215552888
269,223.800000000003,-4.8828121541078
270,193.350000000006,-4.88281215410783
271,187.300000000003,-5.49316367337131
272,216.899999999994,-4.8828121541078
273,163.299999999988,-4.88281215552888
274,184.150000000009,-4.88281215410783
275,198.949999999997,-4.88281215410787
276,238,-5.49316367337141
277,202.149999999994,-4.88281215552888
278,192.25,-4.88281215410783
279,206.199999999997,-4.88281215552888
280,210.549999999988,-4.88281215552892
281,188.699999999997,-5.49316367337131
282,213.899999999994,-5.49316367337127
283,224.599999999991,-5.49316367496999
284,210.100000000006,-4.88281215410782
285,201.550000000003,-4.8828121541078
286,199.600000000006,-4.88281215410787
287,178.849999999991,-4.88281215410781
288,189.949999999997,-5.49316367497003
289,218.300000000003,-4.88281215410787
290,177.149999999994,-4.27246063608781
291,215.449999999997,-4.88281215552902
292,206.25,-4.88281215552892
293,214.400000000009,-4.88281215410787
294,217.949999999997,-4.88281215410794
295,227.549999999988,-4.88281215552895
296,230.050000000003,-4.8828121541078
297,198,-4.88281215552888
298,211.5,-4.88281215552892
299,214.399999999994,-4.88281215552892
300,213.550000000003,-4.88281215410794
301,218.050000000003,-6.10351519263475
302,185.899999999994,-5.49316367497002
303,219.099999999991,-4.88281215552902
304,208.799999999988,-4.88281215552892
305,201.25,-4.88281215410781
306,216.899999999994,-5.49316367496999
307,238,-5.49316367337134
308,195.949999999997,-4.88281215552891
309,208.649999999994,-4.88281215410787
310,204.75,-5.49316367337131
311,203,-5.49316367337127
312,218.25,-4.88281215410794
313,126.050000000003,-4.8828121541078
314,200.5,-4.88281215552891
315,211.449999999997,-4.88281215552892
316,178.600000000006,-6.71386671189826
317,205.350000000006,-5.49316367337134
318,182.649999999994,-5.4931636733713
319,192,-4.88281215552892
320,169,-5.49316367337127
321,192.5,-4.88281215410782
322,207.600000000006,-4.8828121541078
323,200.049999999988,-4.88281215552892
324,184.100000000006,-5.49316367337129
325,221.75,-4.88281215410794
326,218.800000000003,-5.49316367337141
327,223.200000000012,-4.88281215410794
328,205.699999999997,-4.8828121541078
329,234.199999999997,-5.49316367496999
330,193.75,-5.49316367497001
331,213.899999999994,-4.88281215552888
332,210.150000000009,-5.49316367337127
333,208.699999999997,-5.49316367337127
334,197.799999999988,-4.88281215552892
335,205.649999999994,-5.49316367496999
336,209,-4.88281215552892
337,183.800000000003,-4.88281215410783
338,222.149999999994,-5.49316367496999
339,216.949999999997,-4.88281215552892
340,201.550000000003,-4.88281215410787
341,204.849999999991,-4.88281215410783
342,200.300000000003,-5.49316367337129
343,202.049999999988,-4.88281215552895
344,195.849999999991,-5.49316367337131
345,195.600000000006,-5.49316367337134
346,204.650000000009,-5.49316367337141
347,201.849999999991,-4.88281215552892
348,197,-5.49316367497003
349,181.849999999991,-5.49316367337131
350,216.25,-4.88281215552888
351,217.450000000012,-5.49316367337127
352,186.850000000006,-5.49316367337134
353,213.900000000009,-4.8828121541078
354,204.650000000009,-5.49316367337131
355,204.350000000006,-4.8828121541078
356,217.199999999997,-4.88281215410787
357,182.199999999997,-4.88281215410787
358,202.5,-4.88281215552891
359,209,-4.8828121555289
360,190.800000000003,-4.88281215410783
361,230.649999999994,-4.8828121541078
362,198.050000000003,-5.49316367337134
363,191.25,-4.88281215552892
364,229.599999999991,-4.88281215552888
365,218.149999999994,-5.49316367337127
366,186.049999999988,-4.88281215552892
367,200,-5.4931636733713
368,206.149999999994,-4.88281215410783
369,229,-5.49316367337129
370,204.800000000003,-5.49316367337127
371,194.149999999994,-5.49316367497005
372,207.649999999994,-5.49316367337127
373,229.050000000003,-4.8828121541078
374,220.600000000006,-4.88281215410794
375,205.199999999997,-5.49316367337131
376,216.149999999994,-5.49316367337141
377,208,-4.88281215552902
378,218.699999999997,-6.10351519263489
379,212.849999999991,-6.1035151944111
380,177.099999999991,-4.88281215552888
381,181.399999999994,-5.49316367337124
382,98.6499999999942,-5.49316367497013
383,195.699999999997,-4.88281215410781
384,221.150000000009,-5.49316367337134
385,227.350000000006,-4.8828121541078
386,210.300000000003,-5.49316367337134
387,212.800000000003,-4.88281215410787
388,155.5,-4.88281215410794
389,200.850000000006,-5.49316367337127
390,230.199999999997,-4.88281215552888
391,207.199999999997,-5.49316367337129
392,72.5500000000029,-4.8828121541078
393,206.949999999997,-4.27246063608777
394,214.75,-5.49316367337127
395,222.25,-5.49316367337127
396,211.049999999988,-4.88281215552888
397,228.449999999997,-5.49316367337131
398,209.899999999994,-5.49316367337131
399,221,-4.88281215410783
400,200.349999999991,-6.10351519263478
401,212.850000000006,-4.88281215410783
402,192.900000000009,-5.49316367337131
403,211.199999999997,-4.88281215410782
404,192.049999999988,-4.88281215552892
405,219.5,-5.49316367496999
406,220.099999999991,-5.49316367496999
407,233.699999999997,-5.49316367496999
408,200.549999999988,-4.8828121555289
409,216.149999999994,-4.88281215410787
410,203.049999999988,-4.88281215552891
411,216.850000000006,-4.8828121541078
412,184.949999999997,-5.49316367337127
413,206.099999999991,-6.10351519263475
414,230.949999999997,-5.49316367337127
415,226.550000000003,-4.88281215410787
416,211.799999999988,-5.49316367497003
417,205.75,-4.27246063608777
418,221.050000000003,-5.49316367337127
419,145.75,-5.49316367337127
420,197.399999999994,-4.88281215410781
421,224.699999999997,-6.10351519263475
422,203,-4.88281215410781
423,217.300000000003,-4.8828121541078
