"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,155.3,-4.88281215439645
2,269.15,-5.49316367369601
3,289.65,-4.88281215439645
4,180.25,-4.88281215439649
5,228.05,-4.8828121543966
6,142.35,-4.88281215439645
7,214,-4.8828121544188
8,74.6999999999998,-4.88281215441866
9,206.85,-4.88281215441869
10,231.75,-5.4931636736711
11,233.7,-4.88281215437429
12,116.55,-4.27246063511633
13,230.4,-4.88281215446307
14,154.2,-4.88281215446321
15,211.55,-4.88281215437432
16,248.95,-4.88281215437428
17,169.349999999999,-4.88281215437432
18,278.3,-5.49316367367103
19,241.2,-4.88281215437425
20,280.5,-5.49316367367103
21,203.900000000001,-4.88281215437428
22,203.25,-5.49316367367105
23,158.15,-4.88281215437425
24,222.099999999999,-4.88281215437432
25,198.55,-4.88281215446307
26,198.049999999999,-4.88281215446307
27,238.949999999999,-4.8828121544631
28,247.25,-4.88281215446314
29,315.4,-4.88281215446307
30,320.150000000001,-4.88281215428543
31,101.9,-4.88281215446307
32,208.700000000001,-5.49316367357115
33,191.599999999999,-4.88281215446309
34,238.65,-4.88281215446309
35,229,-5.49316367377095
36,229.449999999999,-4.8828121544631
37,158.799999999999,-4.27246063515526
38,215.700000000001,-4.27246063515521
39,180.050000000001,-4.88281215428543
40,222.6,-4.2724606351552
41,276.449999999999,-4.27246063515526
42,215.85,-5.49316367377102
43,211.25,-4.27246063515522
44,204.699999999999,-4.27246063515526
45,295.450000000001,-5.49316367357125
46,170,-4.88281215428543
47,264.4,-5.49316367377095
48,178.049999999999,-4.88281215446314
49,165.550000000003,-5.49316367337127
50,217.350000000002,-5.49316367337131
51,236,-5.49316367377098
52,225.449999999997,-4.88281215446309
53,308.200000000001,-4.88281215446307
54,270.5,-5.49316367377102
55,279.099999999999,-4.88281215446307
56,237.099999999999,-4.88281215446309
57,188.299999999999,-4.88281215446314
58,254.450000000001,-4.8828121544631
59,316.850000000002,-5.49316367337127
60,205,-4.27246063515526
61,349.949999999997,-4.27246063515533
62,306.600000000002,-4.88281215410783
63,209.599999999999,-4.27246063515526
64,271.899999999998,-4.88281215446307
65,264.900000000001,-4.88281215446314
66,245.099999999999,-4.88281215446307
67,240.649999999998,-5.49316367377102
68,212.450000000001,-4.88281215446309
69,286.349999999999,-4.27246063515533
70,244.099999999999,-4.88281215446314
71,242.350000000002,-4.88281215446314
72,285.549999999999,-4.8828121544631
73,134.900000000001,-4.88281215446307
74,322.950000000001,-4.88281215446307
75,178.650000000001,-5.49316367377095
76,267.799999999999,-4.88281215446321
77,16.5999999999985,-4.27246063515518
78,260.649999999998,-4.88281215446307
79,203.25,-4.88281215446307
80,197.25,-4.88281215446314
81,254.549999999999,-4.2724606351552
82,254.550000000003,-4.88281215410785
83,96.0499999999993,-4.27246063515518
84,264.150000000001,-4.8828121541078
85,317.950000000001,-4.88281215446307
86,344.549999999999,-4.27246063515533
87,243.150000000001,-4.88281215446314
88,75.5499999999993,-4.27246063515518
89,202.450000000001,-4.88281215446307
90,233.849999999999,-5.49316367377095
91,252.299999999999,-4.2724606351552
92,274.199999999997,-4.88281215446307
93,352.549999999999,-4.88281215410787
94,283.949999999997,-4.27246063546612
95,217.699999999997,-4.88281215481836
96,1643.8,-5.49316367417063
97,293.300000000003,-4.8828121541078
98,278.849999999999,-4.27246063546612
99,288.350000000006,-4.8828121541078
100,236.099999999999,-4.88281215481834
101,285.550000000003,-4.88281215410794
102,256.199999999997,-4.27246063546608
103,285.549999999996,-4.88281215481834
104,60.5999999999985,-4.88281215481834
105,259.149999999994,-5.4931636741707
106,286.149999999994,-4.88281215481841
107,212.050000000003,-4.88281215410787
108,313.549999999996,-4.27246063546619
109,222.25,-4.88281215481836
110,596.299999999996,-4.27246063546605
111,216.800000000003,-4.8828121541078
112,276.700000000004,-4.88281215410781
113,264.25,-4.88281215481834
114,279.150000000001,-4.88281215481836
115,209.399999999994,-4.27246063546606
116,256.799999999996,-4.27246063546598
117,167,-6.10351519263482
118,237.099999999999,-4.88281215481836
119,230.949999999997,-4.88281215481837
120,293.099999999999,-4.88281215481834
121,481.799999999996,-4.88281215481834
122,87.5,-4.8828121541078
123,243.75,-4.8828121541078
124,273.400000000001,-4.88281215481848
125,245.400000000001,-4.27246063546606
126,102,-4.88281215481834
127,244.299999999996,-4.88281215481841
128,117.099999999999,-5.49316367337141
129,239.900000000001,-5.49316367417067
130,90.3499999999985,-4.8828121541078
131,277,-4.8828121541078
132,234.049999999996,-4.27246063546605
133,276.75,-4.88281215481841
134,289.75,-5.4931636733712
135,269.25,-5.49316367337127
136,158.450000000004,-4.27246063484432
137,29.0500000000029,-4.8828121541078
138,224.200000000004,-4.88281215410783
139,254.799999999996,-4.27246063546608
140,237.900000000001,-4.27246063546605
141,204.949999999997,-4.8828121541078
142,312.200000000004,-4.8828121541078
143,254.849999999999,-4.88281215410787
144,269.849999999999,-5.49316367337141
145,51.5,-4.8828121541078
146,293.349999999999,-4.88281215481834
147,262.050000000003,-4.88281215410781
148,249.549999999996,-5.49316367417067
149,256.25,-4.88281215481837
150,291,-5.49316367337141
151,236.300000000003,-4.88281215410783
152,341.599999999999,-4.8828121541078
153,206.950000000004,-5.49316367337134
154,286.5,-4.27246063546605
155,261.099999999999,-4.27246063546605
156,238.800000000003,-4.88281215410781
157,207.199999999997,-4.27246063546608
158,261.949999999997,-5.49316367337127
159,289.5,-4.8828121541078
160,138.099999999999,-5.49316367337141
161,267.449999999997,-4.27246063546612
162,114.800000000003,-4.8828121541078
163,80.0499999999956,-5.49316367417063
164,254.650000000001,-4.8828121541078
165,290.349999999999,-4.88281215481848
166,249.150000000001,-4.88281215481837
167,258.900000000001,-5.49316367417063
168,246.349999999999,-4.88281215410783
169,264.349999999999,-4.8828121541078
170,93.5999999999985,-4.88281215481834
171,282.600000000006,-5.49316367337127
172,219.299999999988,-4.27246063608779
173,213.350000000006,-4.8828121541078
174,136.299999999988,-4.27246063608777
175,12.6999999999971,-4.88281215410794
176,274,-4.27246063484446
177,283.399999999994,-4.88281215552888
178,248.649999999994,-6.10351519263475
179,237.149999999994,-4.88281215410782
180,231.75,-4.88281215552891
181,205,-4.88281215410783
182,99.1500000000087,-4.88281215410794
183,184.550000000003,-5.49316367337131
184,16.7999999999884,-4.27246063608791
185,199.300000000003,-4.88281215410787
186,271.25,-5.49316367337127
187,245.5,-4.88281215552888
188,58.1999999999971,-4.27246063608777
189,173.150000000009,-4.8828121541078
190,219.75,-5.49316367337129
191,245,-4.88281215552902
192,33.5,-5.49316367337127
193,219.400000000009,-4.8828121541078
194,249.300000000003,-4.8828121541078
195,174.599999999991,-4.88281215552888
196,205.850000000006,-4.8828121541078
197,271.550000000003,-5.49316367337127
198,251.900000000009,-5.49316367337131
199,246.949999999997,-5.49316367497001
200,216.149999999994,-4.27246063608777
201,267.300000000003,-4.88281215410783
202,309.399999999994,-4.8828121541078
203,188.150000000009,-5.49316367337134
204,270.550000000003,-4.8828121541078
205,9.64999999999418,-4.8828121541078
206,240.949999999997,-4.88281215410783
207,324.849999999991,-4.88281215552902
208,140.550000000003,-4.8828121541078
209,297.549999999988,-4.88281215552902
210,200.899999999994,-4.88281215552895
211,242.800000000003,-4.88281215410783
212,214.449999999997,-4.88281215410782
213,239.649999999994,-4.27246063608781
214,264.100000000006,-6.71386671189822
215,201.199999999997,-5.49316367337131
216,183.850000000006,-5.49316367337127
217,298.25,-4.88281215410783
218,167.800000000003,-5.49316367337127
219,67.2999999999884,-4.27246063608777
220,293.800000000003,-5.49316367337127
221,139.350000000006,-4.8828121541078
222,148.949999999997,-7.32421823116198
223,50.1999999999971,-4.8828121541078
224,213.299999999988,-4.88281215552888
225,267.149999999994,-4.88281215552888
226,195.399999999994,-5.49316367337127
227,205.599999999991,-4.88281215552888
228,24.1000000000058,-4.88281215410794
229,164.850000000006,-4.8828121541078
230,272.699999999997,-5.49316367337127
231,257.699999999997,-5.49316367496999
232,220.849999999991,-4.8828121541078
233,240.5,-4.27246063608779
234,243.600000000006,-4.27246063484434
235,105.800000000003,-6.10351519263475
236,244.149999999994,-4.8828121555289
237,236.350000000006,-4.8828121541078
238,230,-4.27246063608779
239,279.399999999994,-4.27246063608777
240,182.849999999991,-4.27246063608777
241,233.900000000009,-4.88281215410783
242,244.75,-4.88281215552892
243,232,-5.4931636733713
244,241.850000000006,-4.88281215410783
245,307.600000000006,-4.8828121541078
246,216.699999999997,-4.27246063608779
247,246.050000000003,-6.10351519263478
248,223.949999999997,-4.88281215552893
249,254.899999999994,-4.27246063484446
250,272.100000000006,-4.88281215410785
251,252.149999999994,-4.2724606360878
252,252.25,-4.88281215552888
253,298.5,-4.88281215552888
254,290.899999999994,-4.88281215552888
255,186.5,-4.8828121541078
256,260.899999999994,-4.88281215552888
257,193.099999999991,-4.88281215552888
258,244.699999999997,-5.49316367496999
259,260.849999999991,-4.27246063608791
260,230,-4.88281215410782
261,196.75,-5.49316367337134
262,41.0500000000029,-4.88281215410794
263,223.650000000009,-4.88281215410783
264,201.199999999997,-5.49316367337127
265,302.600000000006,-5.49316367337127
266,219.949999999997,-4.27246063484439
267,252.75,-4.27246063608784
268,272.399999999994,-4.8828121555289
269,226.25,-5.4931636733713
270,233.049999999988,-4.27246063608779
271,244.150000000009,-5.49316367337127
272,200.050000000003,-4.27246063484439
273,207.849999999991,-5.49316367497006
274,211.049999999988,-4.88281215552888
275,233.399999999994,-4.88281215410782
276,228.599999999991,-4.27246063608784
277,280.199999999997,-4.88281215552902
278,279.149999999994,-4.88281215410808
279,273.550000000003,-4.8828121541078
280,169.849999999991,-4.8828121541078
281,140.75,-4.88281215552917
282,308.199999999997,-4.88281215410787
283,240.799999999988,-4.88281215552892
284,270.75,-4.88281215410787
285,315.400000000009,-4.8828121541078
286,267.149999999994,-4.8828121541078
287,291.050000000003,-4.8828121541078
288,217.550000000003,-5.49316367337134
289,226.100000000006,-4.88281215410783
290,224.299999999988,-4.88281215552888
291,279.649999999994,-6.10351519263467
292,356.699999999997,-4.8828121541078
293,323.050000000003,-4.27246063484461
294,261.299999999988,-4.88281215552892
295,236.400000000009,-4.88281215410783
296,264.099999999991,-4.27246063608784
297,236.649999999994,-4.88281215410781
298,293.649999999994,-4.8828121541078
299,265.100000000006,-4.27246063484439
300,291.600000000006,-4.8828121541078
301,6.29999999998836,-4.27246063608777
302,116.399999999994,-4.27246063608777
303,216.799999999988,-4.88281215552888
304,129.75,-4.88281215552902
