"Sweep (n)","Peak x (s)","Peak y (mV)"
1,152.4,43.0602996865448
2,202.5,42.8771942307551
3,191.6,43.0908172625097
4,225.45,43.8537566616335
5,195.85,43.2739227182994
6,127.25,43.8537566616335
7,144.85,41.3818330084725
8,148.9,39.4592257226807
9,109.2,41.9006317998767
10,133.5,40.3747530016292
11,151.7,40.9545869449632
12,131.8,40.5578584574189
13,132.8,39.4897432986456
14,229.25,42.6025360470705
15,169.95,43.4875457500541
16,179.65,42.6330536230355
17,174.75,42.7246063509303
18,176.7,43.4875457500541
19,215.799999999999,41.7480439200519
20,205.7,42.2668427114561
21,205.099999999999,42.7246063509303
22,176.1,42.938229382685
23,183.450000000001,43.548580901984
24,262.25,42.7856415028602
25,165.950000000001,43.2434051423345
26,173.700000000001,43.2434051423345
27,195.700000000001,42.6940887749654
28,189.25,42.297360287421
29,165.799999999999,42.7856415028602
30,201.549999999999,43.3654754461943
31,144.199999999999,43.3044402942644
32,205.950000000001,42.2058075595262
33,218,42.7551239268953
34,168.15,42.3889130153159
35,193.1,42.327877863386
36,207,43.0908172625097
37,167.6,42.2363251354911
38,189.050000000001,42.6635711990004
39,192.299999999999,42.6025360470705
40,190.85,42.2058075595262
41,203.25,42.4804657432107
42,164.949999999999,43.2128875663695
43,225.799999999999,42.3889130153159
44,178.9,43.2128875663695
45,185.050000000003,43.0602996865448
46,159.350000000002,43.1823699904046
47,186.400000000001,42.297360287421
48,193.849999999999,42.6635711990004
49,233.899999999998,42.8161590788252
50,182.899999999998,42.6940887749654
51,172.25,42.6635711990004
52,180.299999999999,42.7856415028602
53,202,42.1752899835612
54,200.450000000001,42.6635711990004
55,175.550000000003,42.6330536230355
56,194.75,42.9687469586499
57,197.799999999999,42.297360287421
58,155.75,42.6635711990004
59,162.299999999999,41.7785614960169
60,201.650000000001,41.9311493758416
61,174.349999999999,41.6564911921571
62,186.849999999999,42.4194305912808
63,164.849999999999,41.9616669518066
64,149.599999999999,42.6330536230355
65,197.799999999999,42.5109833191757
66,213.900000000001,41.7480439200519
67,209.200000000001,42.327877863386
68,186,42.2058075595262
69,215.25,42.6330536230355
70,178.300000000003,42.4804657432107
71,166.649999999998,41.9921845277715
72,553.899999999998,41.687008768122
73,160.149999999998,41.8090790719818
74,191.100000000002,40.6799287612787
75,183.049999999999,41.1682099767179
76,179.049999999999,41.8395966479468
77,177.900000000001,42.0837372556664
78,250.800000000003,42.5109833191757
79,149.25,39.7949190582951
80,145.700000000001,40.4357881535591
81,119.349999999999,40.7714814891735
82,168.900000000001,40.1306123939096
83,141.849999999999,41.0156220968931
84,136,40.2526826977694
85,131.799999999996,39.7338839063652
86,109.349999999999,39.0319796591714
87,164.049999999996,39.9780245140848
88,130.300000000003,39.1235323870662
89,122.599999999999,39.6728487544353
90,122.100000000006,39.3981905707508
91,119.650000000001,38.8793917793466
92,135.549999999996,38.024899652328
93,170.800000000003,39.0624972351363
94,135,38.2690402600476
95,142.050000000003,38.7268038995219
96,141.75,37.6892063167135
97,143.949999999997,38.4521457158373
98,163.200000000004,38.3300754119775
99,185.449999999997,37.3229954051341
100,182.099999999999,38.5131808677672
101,139.150000000001,37.9638645003981
102,153.900000000001,37.3535129810991
103,140.349999999999,37.0483372214496
104,138.150000000001,35.7055638789918
105,212.299999999996,34.362790536534
106,190.050000000003,37.414548133029
107,392.150000000001,36.6821263098702
108,245.899999999994,35.8886693347815
109,140.699999999997,37.414548133029
110,211.849999999999,37.0483372214496
111,179.699999999997,37.0483372214496
112,118.300000000003,35.583493575132
113,152.25,36.2548802463609
114,191.800000000003,36.4990208540805
115,240.75,36.8347141896949
116,163.550000000003,36.773679037765
117,146.349999999999,35.7055638789918
118,124.200000000004,36.1328099425011
119,155,36.1328099425011
120,173.199999999997,35.2783178154825
121,140.899999999994,36.163327518466
122,130.400000000001,34.6374487202185
123,159.549999999996,34.973142055833
124,143.349999999999,35.9497044867114
125,161.400000000001,34.3933081124989
126,126.950000000004,35.0952123596928
127,132.399999999994,35.6140111510969
128,174.600000000006,35.4003881193423
129,174,35.1257299356577
130,157.450000000004,34.4238256884639
131,112.5,34.6374487202185
132,173.050000000003,34.6374487202185
133,232.449999999997,33.1726050739009
134,136.900000000001,35.7971166068866
135,217.150000000001,33.3862281056556
136,173.550000000003,34.7900366000433
137,146.699999999997,34.4238256884639
138,188.949999999997,33.4167456816205
139,159.349999999999,36.3464329742557
140,156.099999999999,33.9355444730247
141,151.799999999996,34.5153784163587
142,149.799999999996,34.6984838721484
143,152.200000000004,33.6608862893401
144,408.349999999999,33.9050268970597
145,459.700000000004,32.7148414344267
146,155.75,34.6374487202185
147,200.400000000001,32.9284644661813
148,232.300000000003,33.5998511374102
149,365.300000000003,33.142087497936
150,123.75,34.6984838721484
151,144.700000000004,35.8581517588165
152,528.849999999999,34.7595190240783
153,409.599999999999,33.9355444730247
154,137.899999999994,33.5082984095154
155,222.199999999997,33.5388159854803
156,159.150000000001,34.5458959923237
157,174.099999999999,33.6608862893401
158,115.75,35.7665990309217
159,166.849999999999,33.9965796249546
160,230.199999999997,32.2265602189874
161,228.550000000003,33.6303687133752
162,195.299999999996,34.1186499288144
163,158.649999999994,33.9050268970597
164,191.099999999999,35.0036596317979
165,269.25,32.8979468902164
166,235.099999999999,31.860349307408
167,238.850000000006,34.1186499288144
168,177.649999999994,34.4238256884639
169,145.75,34.942624479868
170,255.75,34.1796850807443
171,151.650000000001,34.9121069039031
172,923.650000000001,35.3698705433773
173,564.400000000001,34.2712378086391
174,208.400000000001,33.9965796249546
175,182.850000000006,36.163327518466
176,223.650000000009,33.6303687133752
177,209.949999999997,35.2172826635526
178,167,34.0576147768845
179,161.300000000003,34.5764135682886
180,352.75,35.6445287270619
181,189.100000000006,33.9050268970597
182,266.099999999991,31.6772438516183
183,410.300000000003,35.0341772077629
184,183.100000000006,33.5082984095154
185,205.399999999994,35.7360814549567
186,186.300000000003,34.7595190240783
187,193.100000000006,35.4614232712722
188,176.149999999994,33.2946753777607
189,227,34.0881323528494
190,213.550000000003,34.8205541760082
191,229.850000000006,34.973142055833
192,253.449999999997,33.8745093210948
193,258.599999999991,32.2570777949524
194,218.949999999997,34.2102026567092
195,290.800000000003,36.4074681261856
196,214.900000000009,35.7971166068866
197,226.650000000009,34.2102026567092
198,220.699999999997,35.6445287270619
199,236.25,33.9050268970597
200,165.199999999997,35.8581517588165
201,170.899999999994,35.0646947837278
202,175.5,35.0646947837278
203,273.449999999997,36.163327518466
204,684.399999999994,34.8510717519732
205,177.199999999997,37.2619602532042
206,207.900000000009,37.1704075253094
207,255.550000000003,36.3769505502207
208,469.5,34.942624479868
209,285.600000000006,34.8205541760082
210,212.650000000009,35.9191869107464
211,167.649999999994,37.8112766205733
212,198.050000000003,35.583493575132
213,194.450000000012,32.3791480988122
214,194.900000000009,37.0178196454846
215,243.850000000006,37.2009251012743
216,233.949999999997,36.8652317656599
217,173.849999999991,38.0554172282929
218,157.050000000003,36.3159153982908
219,235.300000000003,35.4003881193423
220,149.600000000006,36.6821263098702
221,174.849999999991,36.773679037765
222,454.650000000009,36.5295384300454
223,244.25,35.5224584232021
224,226.75,36.8957493416248
225,239.25,34.8510717519732
226,172.5,37.1704075253094
227,454.699999999997,35.3393529674124
228,175.099999999991,35.2172826635526
229,167.75,36.3464329742557
230,182.699999999997,35.6445287270619
231,238.699999999997,36.3464329742557
232,179.850000000006,36.9262669175898
233,174.800000000003,37.1398899493444
234,458.800000000003,36.9262669175898
235,152.349999999991,35.0341772077629
236,141.800000000003,34.6984838721484
237,151.800000000003,36.3159153982908
238,226.550000000003,36.5295384300454
239,161.699999999997,35.8581517588165
240,170.349999999991,36.3464329742557
241,167.75,35.0341772077629
242,150.400000000009,35.2478002395175
243,125.199999999997,36.3464329742557
244,173.400000000009,34.8205541760082
245,448.850000000006,34.2712378086391
246,109.5,33.8745093210948
247,173.899999999994,34.8510717519732
248,130,34.0270972009195
249,168.399999999994,34.6679662961835
250,115.25,35.4309056953072
251,155.800000000003,35.8886693347815
