"Sweep (n)","Peak x (s)","Peak y (mV)"
1,144.7,40.2526826977694
2,156.2,39.88647178619
3,162.35,39.4592257226807
4,139.75,40.6799287612787
5,136.75,41.3818330084725
6,136.15,41.5649384642622
7,119,41.4123505844375
8,182.45,39.5507784505755
9,150.75,40.7409639132086
10,154.75,40.2526826977694
11,163.2,39.9475069381199
12,168.35,40.2221651218044
13,154.25,40.3747530016292
14,139.55,39.9169893621549
15,167.5,39.6728487544353
16,186.4,40.1306123939096
17,150.95,40.3747530016292
18,175.85,38.3605929879424
19,159.65,39.5812960265405
20,163.3,40.1611299698745
21,139.35,41.0156220968931
22,131.45,41.3818330084725
23,148,41.5954560402272
24,150.5,39.88647178619
25,195.8,38.7573214754868
26,154.799999999999,40.8019990651385
27,158.35,39.6118136025054
28,170.200000000001,38.2080051081177
29,169,39.1540499630312
30,155.550000000001,39.7338839063652
31,188.5,41.076657248823
32,156.85,40.0390596660147
33,132.599999999999,39.6728487544353
34,169.15,40.9240693689983
35,183.200000000001,39.9780245140848
36,173.849999999999,40.0390596660147
37,143.85,40.3137178496993
38,155.35,40.496823305489
39,153.9,39.2150851149611
40,146.6,41.2292451286478
41,196,38.4521457158373
42,171.700000000001,38.5742160196971
43,161.450000000001,39.6423311784704
44,176.199999999999,39.0319796591714
45,160.5,40.8019990651385
46,157.799999999999,40.2221651218044
47,168.299999999999,38.665768747592
48,148.85,37.7197238926785
49,158,40.1611299698745
50,141.299999999999,40.4052705775941
51,169.899999999998,40.6494111853137
52,153.449999999997,40.0390596660147
53,179.150000000001,39.7644014823302
54,164.600000000002,41.0156220968931
55,179.849999999999,40.5273408814539
56,175.649999999998,40.3137178496993
57,166.049999999999,40.4052705775941
58,200.150000000001,38.0859348042579
59,172.049999999999,40.1611299698745
60,161.450000000001,39.855954210225
61,182.099999999999,39.3981905707508
62,234.600000000002,37.5976535888187
63,170.299999999999,39.9780245140848
64,184.399999999998,40.8630342170684
65,159.5,41.4733857363674
66,134.75,40.3747530016292
67,162.799999999999,39.2150851149611
68,159.850000000002,38.6047335956621
69,187.400000000001,36.1328099425011
