"Sweep (n)","RR (ms)"
1,NA
2,317.5
3,289
4,291.75
5,310.45
6,311.95
7,312.2
8,290.45
9,295.9
10,276.85
11,295.75
12,298.55
13,311.95
14,313.35
15,282.45
16,313.200000000001
17,288.549999999999
18,294.200000000001
19,304.2
20,292.75
21,272.2
22,299.099999999999
23,295.150000000001
24,295.8
25,302.549999999999
26,295.8
27,300.25
28,301.450000000001
29,272.75
30,305.25
31,304.75
32,297.799999999999
33,305.9
34,305.4
35,308.400000000001
36,301.049999999999
37,315.85
38,294.049999999999
39,312.9
40,301.75
41,294.9
42,297.450000000001
43,287.950000000001
44,304.4
45,318.049999999999
46,282.5
47,285
48,291.25
49,303.15
50,299.25
51,322.25
52,307.25
53,305
54,322.200000000001
55,308.4
56,309.599999999999
57,295.800000000003
58,332.399999999998
59,315.350000000002
60,291.649999999998
61,307.400000000001
62,298
63,295.649999999998
64,6697.75
65,332.400000000001
66,363
67,361.549999999999
68,352.450000000001
69,351.549999999999
70,347.349999999999
71,353.5
72,353.25
73,339.200000000001
74,342.400000000001
75,332.149999999998
76,330.5
77,333.300000000003
78,320.849999999999
79,322.899999999998
80,330.150000000001
81,316.75
82,317.650000000001
83,321.799999999999
84,337.450000000001
85,318
86,316.349999999999
87,319.400000000001
88,317.599999999999
89,319.199999999997
90,315.800000000003
91,323.099999999999
92,326.450000000004
93,317.899999999994
94,263.75
95,306.650000000001
96,313.800000000003
97,309.099999999999
98,311.599999999999
99,297.650000000001
100,314
101,309.25
102,317.949999999997
103,332.550000000003
104,318.449999999997
105,308.200000000004
106,304.449999999997
107,317.400000000001
108,306.949999999997
109,322.600000000006
110,314.599999999999
111,318.599999999999
112,317.150000000001
113,318.299999999996
114,306.350000000006
115,302
116,318.449999999997
117,321.349999999999
118,322.050000000003
119,329.799999999996
120,297.75
121,310.900000000001
122,318.599999999999
123,312.700000000004
124,327.549999999996
125,317.5
126,334.150000000001
127,312.599999999999
128,327.150000000001
129,322.5
130,327.550000000003
131,331.449999999997
132,326.449999999997
133,324.25
134,322.850000000006
135,325.099999999999
136,323.900000000001
137,313.299999999996
138,335.75
139,323.300000000003
140,322.299999999996
141,314.5
142,316.950000000004
143,310.299999999996
144,320.75
145,313.100000000006
146,334.199999999997
147,329.449999999997
148,329.900000000001
149,320.550000000003
150,335.199999999997
151,323.150000000001
152,312.25
153,322.900000000001
154,336.650000000001
155,329.5
156,331.099999999999
157,339.299999999996
158,329.650000000001
159,335.5
