"Sweep (n)","RR (ms)"
1,NA
2,315.15
3,324.45
4,330.35
5,327.65
6,318.35
7,318.9
8,317.6
9,309.55
10,308.55
11,315.45
12,306.7
13,301.5
14,299.05
15,297.6
16,301.599999999999
17,289.400000000001
18,302.25
19,303.25
20,294.549999999999
21,291.8
22,303.900000000001
23,299.5
24,293.65
25,295.8
26,293.599999999999
27,291.95
28,290.35
29,282.299999999999
30,297.6
31,296.4
32,298.150000000001
33,302.15
34,283.25
35,279
36,291.299999999999
37,303.700000000001
38,296.9
39,296.549999999999
40,295.4
41,288.950000000001
42,292.549999999999
43,282.5
44,289.900000000001
45,294.849999999999
46,294.450000000001
47,294.9
48,295.200000000001
49,298.1
50,299.799999999999
51,281.35
52,298.5
53,286.75
54,281.549999999999
55,284.049999999999
56,287
57,274.049999999999
58,290.700000000001
59,284.350000000002
60,285.899999999998
61,285.5
62,285.200000000001
63,289.799999999999
64,281.650000000001
65,286.700000000001
66,283.099999999999
67,293.599999999999
68,272.800000000003
69,277.699999999997
70,288.200000000001
71,291.850000000002
72,284.849999999999
73,277.700000000001
74,285.950000000001
75,281.049999999999
76,286.25
77,280.899999999998
78,284.100000000002
79,289.25
80,282.599999999999
81,280.950000000001
82,281.25
83,282.599999999999
84,283.299999999999
85,289.200000000001
86,283.700000000001
87,284.799999999999
88,281.650000000001
89,283.700000000001
90,287.849999999999
91,288.049999999999
92,280.549999999999
93,284.700000000001
94,292.200000000001
95,282.549999999999
96,282.75
97,286.5
98,283.549999999999
99,287.550000000003
100,281.449999999997
101,280.900000000001
102,289.400000000001
103,284.699999999997
104,284.5
105,283.050000000003
106,281.249999999996
107,275.200000000001
108,287.950000000001
109,289.400000000001
110,274.75
111,271.599999999999
112,275
113,285
114,273.75
115,273.599999999999
116,286.099999999999
117,287.950000000004
118,285.5
119,283.150000000001
120,288.599999999999
121,296.25
122,288.099999999999
123,288.199999999997
124,270.400000000001
125,290.25
126,279.75
127,282.550000000003
128,276.5
129,270
130,287.099999999999
131,267.300000000003
132,266.949999999997
133,284.199999999997
134,266.25
135,279.350000000006
136,283.599999999999
137,270.650000000001
138,281.699999999997
139,266.349999999999
140,270.099999999999
141,267.600000000006
142,269
143,272.849999999999
144,264.650000000001
145,269.199999999997
146,274.050000000003
147,269.549999999996
148,268.349999999999
149,269.300000000003
150,281.050000000003
151,269.449999999997
152,264.199999999997
153,272.150000000001
154,262.800000000003
155,262.099999999999
156,271.400000000001
157,263.399999999994
158,271.550000000003
159,275
160,268.300000000003
161,267.099999999999
162,271.099999999999
163,278.25
164,264.25
165,262.599999999999
166,263.800000000003
167,267.75
168,257.099999999999
169,263.699999999997
170,270.400000000001
171,265.849999999999
172,268.5
173,262.75
174,268.900000000001
175,262.550000000003
176,261.299999999996
177,259.200000000004
178,269.799999999996
179,270.600000000006
180,268.699999999997
181,274.800000000003
182,268.699999999997
183,266.900000000001
184,255.299999999996
185,260.900000000001
186,250.700000000004
187,255
188,252.199999999997
189,261.349999999999
190,260.099999999999
191,259.550000000003
192,259.349999999999
193,255.550000000003
194,264.650000000001
195,259.949999999997
196,264.599999999999
197,255.150000000001
198,260.599999999999
199,266
200,249.599999999999
201,249.200000000004
202,262.849999999999
203,256.25
204,255.199999999997
205,258.75
206,266.75
207,260.200000000004
208,259.150000000001
209,260.549999999996
210,253.400000000001
211,262.099999999999
212,262.450000000004
213,261.949999999997
214,259.75
215,260.849999999999
216,245.700000000004
217,260.549999999996
218,255.150000000001
219,266.599999999999
220,247.599999999999
221,254.25
222,258.25
223,257.200000000004
224,248.349999999999
225,261.699999999997
226,263.300000000003
227,273.199999999997
228,261.900000000001
229,247.5
230,254.699999999997
231,243.600000000006
232,247.899999999994
233,255.200000000004
234,250.25
235,246.25
236,257.599999999999
237,256.850000000006
238,262.649999999994
239,249.050000000003
240,249.550000000003
241,243
242,263.199999999997
243,254.75
244,260.300000000003
245,261
246,257.099999999991
247,252.5
248,261.300000000003
249,258.850000000006
250,266.449999999997
251,247.699999999997
252,267.050000000003
253,252.949999999997
254,257.350000000006
255,258
256,260.699999999997
257,258.899999999994
258,253.650000000009
259,262.649999999994
260,258.550000000003
261,253.300000000003
262,265.349999999991
263,257.300000000003
264,255.899999999994
265,255.75
266,259.050000000003
267,263.850000000006
268,258.800000000003
269,269.199999999997
270,258.449999999997
271,251.300000000003
272,253.649999999994
273,260.600000000006
274,268.649999999994
275,262.100000000006
276,251
277,265.800000000003
278,272.049999999988
279,262.600000000006
280,257.149999999994
281,275.900000000009
282,261.699999999997
283,258.5
284,268.550000000003
285,270.5
286,254.349999999991
287,259.650000000009
288,248.800000000003
289,257.449999999997
290,258.550000000003
291,257.25
292,261.049999999988
293,258.5
294,259.900000000009
295,254.699999999997
296,279.25
297,275.199999999997
298,247.900000000009
299,263.5
300,267.649999999994
301,260.100000000006
302,261.299999999988
303,253.550000000003
304,253.75
305,282.100000000006
306,257.849999999991
307,259
308,278.450000000012
309,259.5
310,259.849999999991
311,254.600000000006
312,257.949999999997
313,257.949999999997
314,257.699999999997
315,252.350000000006
316,266.899999999994
317,251.5
318,260.200000000012
319,252.699999999997
320,255.099999999991
321,260.600000000006
322,254.099999999991
323,249.5
324,277.550000000003
325,253.800000000003
326,254.100000000006
327,257.199999999997
328,260.099999999991
329,247.75
330,261
331,261.5
332,258.300000000003
333,257.350000000006
334,260.800000000003
335,256.899999999994
336,256.899999999994
337,268.350000000006
338,251.5
339,260.300000000003
340,273.649999999994
341,256.100000000006
342,259.449999999997
343,265.300000000003
344,242.800000000003
345,255.899999999994
346,249.899999999994
347,249.700000000012
348,263.799999999988
349,262.100000000006
350,263.050000000003
351,271.5
352,258.899999999994
353,259.300000000003
354,248.75
355,260.949999999997
356,262.100000000006
357,266.349999999991
358,258.650000000009
359,270.649999999994
360,267.75
361,250.699999999997
