"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,151.65,179.443346674071
2,201.7,176.391589077573
3,190.85,184.326158828467
4,224.75,192.871080098661
5,195.1,186.157213385519
6,126.55,196.533189213565
7,144,165.405261730933
8,147.85,137.329091843025
9,108.35,170.898425404654
10,132.55,148.315419190468
11,150.8,153.808582864189
12,130.9,153.808582865587
13,131.85,142.822255515448
14,228.4,175.170886038177
15,169.15,191.650377062676
16,178.849999999999,178.832995157211
17,173.95,186.157213388905
18,175.95,196.533189213565
19,214.95,169.677722364506
20,204.9,176.391589076771
21,204.299999999999,178.222643637903
22,175.25,191.040025543368
23,182.700000000001,197.143540729275
24,261.5,185.546861862847
25,165.1,190.429674024061
26,173,192.260728581984
27,194.900000000001,182.495104266419
28,188.449999999999,182.495104273058
29,165.049999999999,191.040025543368
30,200.85,195.312486171418
31,143.449999999999,196.533189217139
32,205.150000000001,178.222643631419
33,217.25,187.98826793999
34,167.35,183.105455785705
35,192.25,184.93651035029
36,206.299999999999,195.312486178524
37,166.75,184.326158824276
38,188.300000000001,186.157213382133
39,191.5,191.650377062676
40,190.049999999999,183.715807311674
41,202.5,187.377916420704
42,164.15,194.091783132847
43,225.049999999999,189.208970985445
44,178.15,195.312486178524
45,184.25,194.091783139908
46,158.600000000002,199.584946799157
47,185.600000000002,183.715807311674
48,193.099999999999,189.819322504753
49,233.149999999998,194.091783139908
50,182.149999999998,191.040025543368
51,171.450000000001,192.871080101292
52,179.549999999999,193.4814316206
53,201.149999999998,184.93651035029
54,199.650000000001,195.312486178524
55,174.75,195.312486178524
56,193.950000000001,197.753892255755
57,197,181.274401234442
58,154.950000000001,187.377916427521
59,161.5,182.495104273058
60,200.900000000001,182.495104273058
61,173.5,184.936510336834
62,186.049999999999,192.260728581984
63,164.099999999999,181.88475275375
64,148.75,191.650377062676
65,196.900000000001,195.922837683576
66,213.049999999999,176.391589079979
67,208.400000000001,191.040025529469
68,185.149999999998,184.326158830982
69,214.549999999999,196.533189217139
70,177.5,187.988267946829
71,165.899999999998,186.157213388905
72,168.299999999999,184.93651035029
72,553.099999999999,184.93651035029
73,159.399999999998,188.598619466137
74,190.25,169.677722367592
75,182.299999999999,178.222643637903
76,178.25,185.546861856097
77,177.150000000001,191.650377062676
78,249.950000000001,191.040025543368
79,148.400000000001,166.625964771053
80,144.900000000001,172.729479964132
81,118.599999999999,176.391589079979
82,168,165.405261744472
83,141,178.832995144199
84,135.100000000006,167.236316278193
85,130.949999999997,158.081043512245
86,108.5,155.029285915483
87,163.25,162.963855643349
88,129.400000000001,154.41893437366
89,121.75,162.353504124085
90,121.25,157.470691992892
91,118.75,153.808582876778
92,134.649999999994,147.705067683255
93,169.950000000004,156.24998893145
94,134.050000000003,147.705067661762
95,141.150000000001,156.249988954188
96,140.800000000003,146.484364623235
97,143.099999999999,155.639637412187
98,162.300000000003,152.587879815869
99,184.549999999996,145.263661605846
100,181.25,157.470691992892
101,138.200000000004,153.198231335133
102,153,145.874013125199
103,139.400000000001,140.991200949863
104,137.199999999997,126.342764505925
105,211.099999999999,109.252921948162
106,189.100000000006,149.536122219552
107,119.199999999997,149.536122241312
108,244.799999999996,123.901358428516
109,139.75,146.484364623235
110,210.949999999997,142.211904009085
111,178.800000000003,139.770497911336
112,117.300000000003,127.563467526067
113,151.349999999999,139.160146392073
114,190.800000000003,133.666982718702
115,522.75,144.653310086494
116,162.599999999999,146.484364644551
117,145.299999999996,132.446279699448
118,123.150000000001,134.277334237965
119,154.050000000003,134.887685757229
120,172.149999999994,126.953116025277
121,139.949999999997,139.770497911336
122,129.300000000003,121.459952333432
123,158.449999999997,123.291006891222
124,142.400000000001,139.770497911336
125,160.400000000001,120.849600814169
126,126,127.56346754463
127,131.299999999996,129.394522102687
128,173.550000000003,129.394522083857
129,172.949999999997,131.835928160911
130,433.349999999999,131.835928180096
131,111.5,126.953116006803
132,171.900000000001,120.849600814169
133,231.25,105.590812832582
134,135.900000000001,134.887685776857
135,216.050000000003,106.201164351845
136,172.400000000001,123.901358428516
137,145.550000000003,117.187491698588
138,187.849999999999,104.980461313318
139,158.349999999999,141.601552469127
140,155,112.30467954448
141,150.650000000001,124.511709929749
142,148.75,126.953116006803
143,151.100000000006,114.13573410227
144,138.200000000004,119.628897775642
145,151.850000000006,114.746085621534
146,154.799999999996,130.004873622039
147,199.200000000004,104.980461313318
148,231.100000000006,109.863273467426
149,364.100000000006,98.8769461206834
150,122.699999999997,130.004873622039
151,143.700000000004,136.718740315019
152,160.549999999996,133.0566312188
153,163.400000000001,144.653310065444
154,136.899999999994,115.966788676936
155,221,108.642570428899
156,158.099999999999,128.784170583334
157,172.949999999997,114.746085638232
158,114.800000000003,143.432607026917
159,165.699999999997,112.304679560822
160,511.150000000001,121.459952333432
161,227.550000000003,114.13573410227
162,194.299999999996,115.356437157584
163,157.549999999996,120.239249312402
164,190.050000000003,134.277334237965
165,268.050000000003,106.201164351845
166,233.800000000003,93.3837824473121
167,237.800000000003,123.291006891222
168,176.599999999999,128.17381904533
169,144.800000000003,133.056631199438
170,254.599999999999,117.187491698588
171,150.699999999997,139.160146412323
172,922.599999999999,130.615225122384
172,922.650000000001,130.615225122384
173,563.300000000003,120.849600814169
174,207.400000000001,120.849600814169
175,182,149.536122219552
176,222.550000000003,114.13573410227
177,208.899999999994,128.784170602075
178,165.949999999997,122.680655407664
179,160.25,127.563467526067
180,351.800000000003,136.108388795756
181,188,122.070303888223
182,264.949999999997,91.5527278895216
183,409.300000000003,129.394522083857
184,182.050000000003,114.746085621534
185,204.399999999994,140.991200990897
186,185.199999999997,124.511709929749
187,192.150000000009,136.718740315019
188,175,106.811515871109
189,225.850000000006,111.083976505953
190,212.450000000012,127.563467526067
191,228.850000000006,130.004873603121
192,252.299999999988,118.408194771576
193,257.349999999991,98.2665946300192
194,217.850000000006,117.797843217851
195,290,153.198231335133
196,213.949999999997,136.108388835368
197,225.600000000006,119.628897775642
198,219.699999999997,133.056631199438
199,235.049999999988,105.590812863313
200,164.25,139.770497911336
201,169.849999999991,128.784170564594
202,174.5,128.17381904533
203,272.5,138.549794872809
204,683.25,119.628897775642
205,176.25,150.146473738815
206,207,154.41893437366
207,254.600000000006,144.653310065444
208,810.850000000006,128.17381904533
209,284.400000000009,115.966788660061
210,211.650000000009,134.887685757229
211,166.75,153.808582854396
212,197.050000000003,131.835928160911
213,194,143.432607068662
214,193.900000000009,142.822255507654
215,242.899999999994,148.315419224191
216,233.050000000003,147.705067661762
217,173,155.639637412187
218,156.050000000003,139.770497911336
219,234.199999999997,131.225576641648
220,148.650000000009,148.315419181025
221,173.899999999994,147.705067661762
222,144.199999999997,141.601552510338
222,453.699999999997,141.601552510338
223,243.349999999991,134.887685796486
224,225.75,139.770497952015
225,238.199999999997,125.732413004869
226,171.599999999991,150.756825258079
